TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-23,1,-11,1,12,1,17,1,-18,1,0,1,-6,1,-45,1,-35,1,-25,1,-13,1,-7,1
2,-23,1,-12,1,11,1,17,1,-17,1,-1,1,-5,1,-44,1,-35,1,-26,1,-12,1,-6,1
3,-23,1,-14,1,9,1,18,1,-16,1,-3,1,-5,1,-45,1,-34,1,-24,1,-11,1,-4,1
4,-22,1,-15,1,7,1,18,1,-15,1,-4,1,-6,1,-44,1,-34,1,-23,1,-10,1,-4,1
5,-22,1,-12,1,10,1,17,1,-16,1,-1,1,-5,1,-43,1,-34,1,-24,1,-11,1,-5,1
6,-23,1,-11,1,12,1,17,1,-18,1,0,1,-5,1,-44,1,-35,1,-24,1,-13,1,-5,1
7,-25,1,-9,1,16,1,17,1,-21,1,3,1,-7,1,-45,1,-36,1,-24,1,-12,1,-5,1
8,-23,1,-11,1,12,1,17,1,-18,1,0,1,-6,1,-45,1,-34,1,-22,1,-12,1,-4,1
9,-20,1,-12,1,8,1,16,1,-14,1,-2,1,-5,1,-44,1,-34,1,-22,1,-12,1,-4,1
10,-20,1,-12,1,8,1,16,1,-14,1,-2,1,-6,1,-44,1,-34,1,-22,1,-12,1,-4,1
11,-21,1,-13,1,8,1,17,1,-15,1,-3,1,-5,1,-44,1,-35,1,-22,1,-12,1,-5,1
12,-21,1,-12,1,9,1,16,1,-15,1,-2,1,-5,1,-46,1,-36,1,-23,1,-12,1,-5,1
13,-22,1,-14,1,8,1,18,1,-15,1,-3,1,-5,1,-46,1,-37,1,-23,1,-13,1,-5,1
14,-22,1,-15,1,7,1,18,1,-15,1,-4,1,-4,1,-45,1,-36,1,-22,1,-13,1,-5,1
15,-21,1,-13,1,8,1,17,1,-15,1,-3,1,-4,1,-44,1,-35,1,-22,1,-12,1,-3,1
16,-20,1,-12,1,8,1,16,1,-14,1,-2,1,-4,1,-44,1,-36,1,-22,1,-13,1,-4,1
17,-20,1,-12,1,8,1,16,1,-14,1,-2,1,-4,1,-44,1,-36,1,-22,1,-13,1,-4,1
