TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-52,1,12,1,64,1,20,1,-58,1,38,1,14,1,20,1,56,1,61,1,14,1,84,1
2,-52,1,13,1,65,1,19,1,-58,1,39,1,12,1,18,1,56,1,60,1,15,1,83,1
3,-53,1,10,1,63,1,21,1,-58,1,36,1,12,1,18,1,56,1,58,1,14,1,81,1
4,-53,1,10,1,63,1,21,1,-58,1,36,1,12,1,16,1,56,1,57,1,16,1,81,1
5,-51,1,9,1,60,1,21,1,-55,1,34,1,13,1,17,1,57,1,60,1,23,1,81,1
6,-51,1,8,1,59,1,21,1,-55,1,33,1,14,1,19,1,58,1,62,1,28,1,82,1
7,-52,1,7,1,59,1,22,1,-55,1,33,1,12,1,18,1,58,1,61,1,27,1,80,1
8,-51,1,10,1,61,1,20,1,-56,1,35,1,14,1,18,1,58,1,56,1,23,1,75,1
9,-48,1,14,1,62,1,17,1,-55,1,38,1,17,1,20,1,59,1,50,1,19,1,69,1
10,-46,1,15,1,61,1,15,1,-53,1,38,1,18,1,19,1,56,1,44,1,18,1,63,1
11,-44,1,13,1,57,1,15,1,-50,1,35,1,15,1,16,1,52,1,41,1,20,1,61,1
12,-47,1,10,1,57,1,18,1,-52,1,33,1,12,1,15,1,50,1,47,1,24,1,59,1
13,-48,1,8,1,56,1,20,1,-52,1,32,1,9,1,15,1,50,1,51,1,26,1,58,1
14,-49,1,7,1,56,1,21,1,-52,1,31,1,10,1,19,1,52,1,54,1,28,1,59,1
15,-57,1,6,1,63,1,25,1,-60,1,34,1,12,1,22,1,54,1,56,1,32,1,61,1
16,-57,1,4,1,61,1,26,1,-59,1,32,1,12,1,22,1,55,1,58,1,35,1,62,1
17,-51,1,5,1,56,1,23,1,-53,1,30,1,12,1,19,1,52,1,59,1,36,1,64,1
18,-49,1,7,1,56,1,21,1,-52,1,31,1,12,1,16,1,51,1,58,1,35,1,63,1
19,-53,1,6,1,59,1,23,1,-56,1,32,1,11,1,14,1,47,1,56,1,33,1,59,1
20,-47,1,11,1,58,1,18,1,-52,1,34,1,9,1,10,1,42,1,52,1,31,1,53,1
21,-52,1,11,1,63,1,20,1,-57,1,37,1,9,1,10,1,44,1,52,1,32,1,52,1
22,-57,1,11,1,68,1,23,1,-62,1,39,1,10,1,14,1,49,1,56,1,39,1,54,1
23,-57,1,11,1,68,1,23,1,-62,1,39,1,11,1,15,1,53,1,56,1,41,1,53,1
24,-50,1,12,1,62,1,19,1,-56,1,37,1,10,1,16,1,56,1,55,1,42,1,51,1
25,-43,1,10,1,53,1,16,1,-48,1,31,1,8,1,12,1,53,1,48,1,42,1,49,1
26,-49,1,9,1,58,1,20,1,-53,1,33,1,11,1,13,1,52,1,40,1,42,1,49,1
27,-54,1,4,1,58,1,25,1,-56,1,31,1,11,1,13,1,49,1,30,1,38,1,47,1
28,-55,1,-2,1,53,1,28,1,-54,1,25,1,9,1,9,1,47,1,30,1,34,1,44,1
29,-53,1,5,1,58,1,24,1,-55,1,31,1,15,1,12,1,50,1,44,1,40,1,47,1
30,-53,1,6,1,59,1,23,1,-56,1,32,1,15,1,14,1,52,1,52,1,43,1,45,1
31,-55,1,10,1,65,1,22,1,-60,1,37,1,15,1,17,1,54,1,57,1,45,1,43,1
32,-53,1,13,1,66,1,20,1,-59,1,39,1,16,1,21,1,57,1,65,1,49,1,45,1
33,-47,1,13,1,60,1,17,1,-53,1,36,1,17,1,24,1,56,1,67,1,51,1,43,1
34,-47,1,10,1,57,1,18,1,-52,1,33,1,18,1,23,1,55,1,66,1,55,1,41,1
35,-52,1,5,1,57,1,23,1,-54,1,31,1,19,1,24,1,56,1,65,1,59,1,38,1
36,-60,1,-1,1,59,1,30,1,-60,1,29,1,20,1,22,1,58,1,64,1,62,1,35,1
37,-59,1,-4,1,55,1,31,1,-57,1,25,1,20,1,21,1,57,1,60,1,64,1,34,1
38,-50,1,-2,1,48,1,26,1,-49,1,23,1,20,1,16,1,54,1,56,1,64,1,31,1
39,-40,1,1,1,41,1,19,1,-40,1,21,1,19,1,14,1,55,1,55,1,65,1,28,1
40,-47,1,-2,1,45,1,24,1,-46,1,21,1,20,1,15,1,58,1,58,1,68,1,23,1
41,-49,1,-6,1,43,1,27,1,-46,1,18,1,20,1,17,1,56,1,56,1,66,1,16,1
42,-55,1,-10,1,45,1,32,1,-50,1,17,1,20,1,18,1,55,1,55,1,64,1,13,1
43,-58,1,-8,1,50,1,33,1,-54,1,21,1,23,1,22,1,54,1,55,1,67,1,14,1
44,-56,1,-10,1,46,1,33,1,-51,1,18,1,25,1,22,1,50,1,49,1,66,1,12,1
45,-51,1,-12,1,39,1,31,1,-45,1,13,1,25,1,19,1,47,1,47,1,64,1,8,1
46,-50,1,-16,1,34,1,33,1,-42,1,9,1,22,1,14,1,44,1,44,1,62,1,5,1
47,-49,1,-17,1,32,1,33,1,-41,1,7,1,21,1,14,1,41,1,44,1,62,1,3,1
48,-46,1,-19,1,27,1,32,1,-37,1,4,1,18,1,12,1,38,1,42,1,59,1,1,1
49,-47,1,-20,1,27,1,33,1,-37,1,3,1,21,1,15,1,38,1,39,1,60,1,-2,1
50,-58,1,-21,1,37,1,39,1,-48,1,8,1,26,1,20,1,42,1,38,1,65,1,-7,1
51,-67,1,-26,1,41,1,46,1,-54,1,7,1,23,1,20,1,42,1,31,1,66,1,-12,1
52,-69,1,-29,1,40,1,49,1,-55,1,5,1,18,1,20,1,40,1,29,1,64,1,-17,1
53,-60,1,-26,1,34,1,43,1,-47,1,4,1,17,1,18,1,37,1,33,1,65,1,-19,1
54,-58,1,-23,1,35,1,40,1,-47,1,6,1,18,1,19,1,36,1,33,1,66,1,-20,1
55,-59,1,-23,1,36,1,41,1,-48,1,6,1,18,1,19,1,38,1,34,1,63,1,-24,1
56,-55,1,-20,1,35,1,37,1,-45,1,7,1,20,1,17,1,37,1,33,1,63,1,-26,1
57,-58,1,-24,1,34,1,41,1,-46,1,5,1,20,1,18,1,36,1,34,1,64,1,-30,1
58,-60,1,-24,1,36,1,42,1,-48,1,6,1,20,1,23,1,38,1,36,1,66,1,-32,1
59,-62,1,-23,1,39,1,42,1,-51,1,8,1,22,1,30,1,42,1,37,1,70,1,-31,1
60,-65,1,-23,1,42,1,44,1,-54,1,9,1,25,1,31,1,41,1,39,1,74,1,-32,1
61,-59,1,-23,1,36,1,41,1,-48,1,6,1,22,1,24,1,35,1,38,1,73,1,-38,1
62,-54,1,-21,1,33,1,37,1,-44,1,6,1,21,1,22,1,31,1,35,1,72,1,-42,1
63,-51,1,-20,1,31,1,35,1,-41,1,5,1,20,1,22,1,30,1,31,1,70,1,-45,1
64,-50,1,-19,1,31,1,34,1,-41,1,6,1,20,1,25,1,32,1,29,1,70,1,-44,1
65,-52,1,-20,1,32,1,36,1,-42,1,6,1,20,1,27,1,32,1,29,1,71,1,-44,1
66,-58,1,-24,1,34,1,41,1,-46,1,5,1,20,1,29,1,32,1,29,1,72,1,-43,1
67,-56,1,-21,1,35,1,38,1,-46,1,7,1,23,1,30,1,32,1,30,1,73,1,-42,1
68,-58,1,-26,1,32,1,42,1,-45,1,3,1,21,1,24,1,26,1,25,1,70,1,-44,1
69,-61,1,-27,1,34,1,44,1,-48,1,3,1,19,1,26,1,24,1,25,1,70,1,-44,1
70,-62,1,-29,1,33,1,45,1,-48,1,2,1,15,1,30,1,22,1,24,1,70,1,-46,1
71,-58,1,-27,1,31,1,42,1,-45,1,2,1,14,1,32,1,21,1,21,1,72,1,-48,1
72,-54,1,-25,1,29,1,39,1,-42,1,2,1,14,1,34,1,20,1,20,1,74,1,-48,1
73,-51,1,-24,1,27,1,37,1,-39,1,1,1,13,1,34,1,21,1,22,1,76,1,-48,1
74,-50,1,-22,1,28,1,36,1,-39,1,3,1,13,1,31,1,20,1,20,1,75,1,-50,1
75,-49,1,-19,1,30,1,34,1,-40,1,5,1,12,1,29,1,20,1,19,1,75,1,-51,1
76,-53,1,-20,1,33,1,36,1,-43,1,6,1,10,1,28,1,20,1,19,1,74,1,-54,1
77,-56,1,-20,1,36,1,38,1,-46,1,8,1,8,1,31,1,21,1,21,1,75,1,-55,1
78,-52,1,-19,1,33,1,35,1,-43,1,7,1,8,1,34,1,24,1,24,1,75,1,-56,1
79,-49,1,-17,1,32,1,33,1,-41,1,7,1,10,1,38,1,31,1,27,1,75,1,-58,1
80,-50,1,-21,1,29,1,35,1,-40,1,4,1,11,1,44,1,42,1,32,1,78,1,-59,1
81,-48,1,-20,1,28,1,34,1,-38,1,4,1,13,1,48,1,56,1,38,1,85,1,-58,1
82,-46,1,-17,1,29,1,31,1,-38,1,6,1,14,1,52,1,72,1,50,1,94,1,-57,1
83,-38,1,-5,1,33,1,21,1,-36,1,14,1,15,1,55,1,88,1,65,1,105,1,-51,1
84,-37,1,1,1,38,1,18,1,-37,1,19,1,12,1,57,1,104,1,78,1,115,1,-46,1
85,-38,1,7,1,45,1,15,1,-41,1,26,1,6,1,58,1,116,1,89,1,123,1,-40,1
86,-28,1,15,1,43,1,6,1,-35,1,29,1,-3,1,57,1,124,1,100,1,133,1,-33,1
87,-31,1,22,1,53,1,4,1,-42,1,37,1,-12,1,61,1,136,1,123,1,152,1,-19,1
88,-32,1,27,1,59,1,2,1,-45,1,43,1,-21,1,67,1,148,1,151,1,174,1,-4,1
89,-22,1,35,1,57,1,-6,1,-39,1,46,1,-32,1,70,1,156,1,182,1,196,1,8,1
90,-6,1,43,1,49,1,-18,1,-27,1,46,1,-46,1,70,1,162,1,210,1,219,1,23,1
91,1,1,49,1,48,1,-25,1,-23,1,49,1,-59,1,71,1,169,1,237,1,243,1,37,1
92,8,1,51,1,43,1,-29,1,-17,1,47,1,-73,1,68,1,171,1,261,1,265,1,51,1
93,18,1,53,1,35,1,-35,1,-8,1,44,1,-86,1,61,1,168,1,279,1,283,1,62,1
