TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-16,1,-6,1,10,1,11,1,-13,1,2,1,-2,1,-28,1,-14,1,-23,1,-20,1,-3,1
2,-15,1,-5,1,10,1,10,1,-13,1,2,1,-2,1,-28,1,-15,1,-23,1,-19,1,-4,1
3,-15,1,-5,1,10,1,10,1,-13,1,2,1,-2,1,-29,1,-15,1,-24,1,-19,1,-4,1
4,-16,1,-4,1,12,1,10,1,-14,1,4,1,-1,1,-29,1,-14,1,-24,1,-19,1,-5,1
5,-15,1,-4,1,11,1,9,1,-13,1,3,1,-1,1,-29,1,-14,1,-24,1,-19,1,-5,1
6,-16,1,-5,1,11,1,10,1,-14,1,3,1,-1,1,-29,1,-14,1,-24,1,-18,1,-4,1
7,-16,1,-6,1,10,1,11,1,-13,1,2,1,0,1,-28,1,-14,1,-23,1,-18,1,-4,1
8,-16,1,-7,1,9,1,11,1,-13,1,1,1,0,1,-28,1,-14,1,-23,1,-18,1,-4,1
9,-16,1,-5,1,11,1,10,1,-14,1,3,1,1,1,-29,1,-14,1,-23,1,-18,1,-4,1
10,-16,1,-4,1,12,1,10,1,-14,1,4,1,1,1,-29,1,-14,1,-23,1,-18,1,-4,1
11,-17,1,-5,1,12,1,11,1,-15,1,3,1,1,1,-28,1,-14,1,-23,1,-18,1,-4,1
12,-17,1,-5,1,12,1,11,1,-15,1,3,1,0,1,-28,1,-14,1,-23,1,-18,1,-4,1
13,-16,1,-5,1,11,1,10,1,-14,1,3,1,0,1,-28,1,-13,1,-23,1,-18,1,-5,1
14,-17,1,-5,1,12,1,11,1,-15,1,3,1,0,1,-27,1,-13,1,-23,1,-18,1,-3,1
15,-17,1,-7,1,10,1,12,1,-14,1,1,1,0,1,-27,1,-13,1,-23,1,-18,1,-3,1
16,-17,1,-8,1,9,1,12,1,-13,1,0,1,-1,1,-27,1,-13,1,-23,1,-18,1,-4,1
17,-17,1,-10,1,7,1,13,1,-12,1,-2,1,-1,1,-27,1,-13,1,-23,1,-17,1,-4,1
18,-17,1,-10,1,7,1,13,1,-12,1,-2,1,-1,1,-27,1,-14,1,-23,1,-17,1,-4,1
19,-17,1,-9,1,8,1,13,1,-13,1,-1,1,-2,1,-28,1,-15,1,-24,1,-17,1,-5,1
20,-17,1,-9,1,8,1,13,1,-13,1,-1,1,-1,1,-28,1,-15,1,-24,1,-17,1,-5,1
21,-17,1,-9,1,8,1,13,1,-13,1,-1,1,-1,1,-28,1,-14,1,-24,1,-17,1,-5,1
22,-18,1,-9,1,9,1,13,1,-14,1,0,1,0,1,-28,1,-14,1,-24,1,-18,1,-5,1
23,-18,1,-8,1,10,1,13,1,-14,1,1,1,0,1,-27,1,-14,1,-24,1,-18,1,-5,1
24,-17,1,-6,1,11,1,11,1,-14,1,2,1,-1,1,-27,1,-14,1,-24,1,-19,1,-5,1
25,-17,1,-6,1,11,1,11,1,-14,1,2,1,-1,1,-27,1,-14,1,-24,1,-19,1,-4,1
26,-16,1,-7,1,9,1,11,1,-13,1,1,1,-1,1,-27,1,-14,1,-24,1,-19,1,-4,1
27,-16,1,-8,1,8,1,12,1,-12,1,0,1,-2,1,-27,1,-14,1,-23,1,-19,1,-5,1
28,-17,1,-8,1,9,1,12,1,-13,1,0,1,-2,1,-27,1,-14,1,-23,1,-20,1,-5,1
29,-17,1,-9,1,8,1,13,1,-13,1,-1,1,-1,1,-27,1,-15,1,-22,1,-19,1,-5,1
30,-17,1,-8,1,9,1,12,1,-13,1,0,1,-2,1,-28,1,-15,1,-23,1,-18,1,-5,1
31,-18,1,-7,1,11,1,12,1,-15,1,2,1,-2,1,-28,1,-15,1,-23,1,-18,1,-5,1
32,-18,1,-7,1,11,1,12,1,-15,1,2,1,-1,1,-27,1,-14,1,-23,1,-18,1,-5,1
33,-18,1,-8,1,10,1,13,1,-14,1,1,1,-1,1,-26,1,-14,1,-23,1,-18,1,-4,1
34,-18,1,-7,1,11,1,12,1,-15,1,2,1,0,1,-26,1,-14,1,-23,1,-18,1,-5,1
