TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-19,1,4,1,23,1,7,1,-21,1,13,1,-11,1,-13,1,-23,1,-28,1,-24,1,-18,1
2,-18,1,4,1,22,1,7,1,-20,1,13,1,-11,1,-14,1,-24,1,-27,1,-23,1,-18,1
3,-18,1,4,1,22,1,7,1,-20,1,13,1,-10,1,-14,1,-23,1,-27,1,-22,1,-17,1
4,-18,1,4,1,22,1,7,1,-20,1,13,1,-10,1,-13,1,-23,1,-28,1,-23,1,-16,1
5,-17,1,4,1,21,1,6,1,-19,1,12,1,-9,1,-14,1,-24,1,-28,1,-22,1,-16,1
6,-17,1,5,1,22,1,6,1,-19,1,13,1,-9,1,-13,1,-23,1,-27,1,-22,1,-16,1
7,-18,1,5,1,23,1,6,1,-20,1,14,1,-9,1,-13,1,-23,1,-28,1,-22,1,-15,1
8,-17,1,5,1,22,1,6,1,-19,1,13,1,-9,1,-12,1,-22,1,-27,1,-22,1,-16,1
9,-16,1,5,1,21,1,5,1,-18,1,13,1,-8,1,-12,1,-21,1,-28,1,-21,1,-15,1
10,-16,1,7,1,23,1,4,1,-19,1,15,1,-9,1,-11,1,-22,1,-29,1,-20,1,-15,1
11,-16,1,8,1,24,1,4,1,-20,1,16,1,-8,1,-11,1,-22,1,-29,1,-20,1,-15,1
12,-15,1,9,1,24,1,3,1,-19,1,16,1,-7,1,-10,1,-21,1,-28,1,-20,1,-14,1
13,-15,1,10,1,25,1,2,1,-20,1,17,1,-7,1,-9,1,-22,1,-28,1,-19,1,-14,1
14,-15,1,11,1,26,1,2,1,-20,1,18,1,-6,1,-8,1,-21,1,-28,1,-18,1,-13,1
15,-14,1,11,1,25,1,1,1,-19,1,18,1,-6,1,-8,1,-19,1,-27,1,-18,1,-13,1
16,-13,1,12,1,25,1,0,1,-19,1,18,1,-5,1,-7,1,-18,1,-27,1,-17,1,-13,1
17,-13,1,12,1,25,1,0,1,-19,1,18,1,-4,1,-7,1,-17,1,-28,1,-17,1,-13,1
18,-12,1,13,1,25,1,0,1,-18,1,19,1,-4,1,-7,1,-16,1,-27,1,-16,1,-13,1
19,-12,1,14,1,26,1,-1,1,-19,1,20,1,-4,1,-6,1,-16,1,-27,1,-16,1,-13,1
20,-12,1,15,1,27,1,-1,1,-19,1,21,1,-3,1,-5,1,-14,1,-27,1,-15,1,-12,1
21,-12,1,16,1,28,1,-2,1,-20,1,22,1,-2,1,-4,1,-13,1,-26,1,-14,1,-12,1
22,-12,1,15,1,27,1,-1,1,-19,1,21,1,-1,1,-3,1,-13,1,-26,1,-14,1,-10,1
23,-13,1,14,1,27,1,0,1,-20,1,20,1,-1,1,-3,1,-12,1,-25,1,-15,1,-10,1
24,-13,1,14,1,27,1,0,1,-20,1,20,1,-2,1,-3,1,-12,1,-24,1,-15,1,-10,1
25,-12,1,14,1,26,1,-1,1,-19,1,20,1,-1,1,-1,1,-12,1,-24,1,-14,1,-10,1
26,-11,1,14,1,25,1,-1,1,-18,1,19,1,-1,1,-1,1,-11,1,-24,1,-14,1,-11,1
27,-10,1,15,1,25,1,-2,1,-17,1,20,1,-1,1,-1,1,-10,1,-24,1,-14,1,-10,1
28,-9,1,15,1,24,1,-3,1,-16,1,19,1,-2,1,0,1,-10,1,-23,1,-13,1,-10,1
29,-8,1,16,1,24,1,-4,1,-16,1,20,1,-2,1,0,1,-9,1,-22,1,-12,1,-10,1
30,-8,1,17,1,25,1,-4,1,-16,1,21,1,-3,1,1,1,-8,1,-20,1,-12,1,-9,1
31,-8,1,18,1,26,1,-5,1,-17,1,22,1,-3,1,2,1,-8,1,-18,1,-11,1,-8,1
32,-6,1,18,1,24,1,-6,1,-15,1,21,1,-3,1,3,1,-7,1,-18,1,-10,1,-7,1
33,-6,1,18,1,24,1,-6,1,-15,1,21,1,-5,1,2,1,-7,1,-17,1,-10,1,-7,1
34,-5,1,18,1,23,1,-6,1,-14,1,20,1,-6,1,2,1,-7,1,-17,1,-9,1,-6,1
35,-4,1,18,1,22,1,-7,1,-13,1,20,1,-6,1,3,1,-6,1,-16,1,-8,1,-6,1
36,-4,1,18,1,22,1,-7,1,-13,1,20,1,-7,1,3,1,-6,1,-15,1,-7,1,-6,1
37,-4,1,17,1,21,1,-6,1,-12,1,19,1,-7,1,2,1,-6,1,-17,1,-7,1,-6,1
38,-4,1,16,1,20,1,-6,1,-12,1,18,1,-9,1,1,1,-7,1,-17,1,-8,1,-6,1
39,-4,1,14,1,18,1,-5,1,-11,1,16,1,-10,1,0,1,-8,1,-18,1,-9,1,-8,1
40,-5,1,13,1,18,1,-4,1,-11,1,15,1,-11,1,-1,1,-10,1,-19,1,-10,1,-8,1
41,-6,1,11,1,17,1,-2,1,-11,1,14,1,-12,1,-2,1,-11,1,-20,1,-11,1,-9,1
42,-6,1,10,1,16,1,-2,1,-11,1,13,1,-12,1,-2,1,-12,1,-21,1,-12,1,-10,1
43,-7,1,9,1,16,1,-1,1,-11,1,12,1,-12,1,-3,1,-13,1,-22,1,-12,1,-10,1
44,-7,1,8,1,15,1,0,1,-11,1,11,1,-13,1,-4,1,-13,1,-23,1,-12,1,-11,1
45,-6,1,8,1,14,1,-1,1,-10,1,11,1,-12,1,-5,1,-14,1,-24,1,-12,1,-11,1
46,-7,1,7,1,14,1,0,1,-10,1,10,1,-12,1,-6,1,-14,1,-25,1,-13,1,-12,1
47,-7,1,6,1,13,1,0,1,-10,1,9,1,-13,1,-7,1,-15,1,-25,1,-13,1,-12,1
48,-8,1,6,1,14,1,1,1,-11,1,10,1,-13,1,-8,1,-16,1,-26,1,-13,1,-12,1
49,-8,1,5,1,13,1,1,1,-10,1,9,1,-13,1,-9,1,-18,1,-28,1,-15,1,-13,1
50,-10,1,4,1,14,1,3,1,-12,1,9,1,-13,1,-10,1,-18,1,-29,1,-16,1,-13,1
51,-10,1,4,1,14,1,3,1,-12,1,9,1,-14,1,-11,1,-21,1,-30,1,-16,1,-13,1
52,-10,1,4,1,14,1,3,1,-12,1,9,1,-15,1,-12,1,-21,1,-30,1,-17,1,-14,1
53,-11,1,3,1,14,1,4,1,-12,1,8,1,-16,1,-12,1,-21,1,-32,1,-18,1,-14,1
54,-12,1,2,1,14,1,5,1,-13,1,8,1,-15,1,-12,1,-22,1,-32,1,-18,1,-16,1
55,-13,1,1,1,14,1,6,1,-13,1,7,1,-16,1,-12,1,-22,1,-33,1,-18,1,-16,1
56,-14,1,1,1,15,1,6,1,-14,1,8,1,-15,1,-12,1,-22,1,-33,1,-18,1,-16,1
57,-16,1,1,1,17,1,7,1,-16,1,9,1,-15,1,-12,1,-23,1,-33,1,-19,1,-18,1
58,-17,1,1,1,18,1,8,1,-17,1,9,1,-15,1,-13,1,-23,1,-35,1,-19,1,-17,1
59,-18,1,0,1,18,1,9,1,-18,1,9,1,-13,1,-13,1,-22,1,-35,1,-19,1,-17,1
60,-20,1,0,1,20,1,10,1,-20,1,10,1,-13,1,-13,1,-23,1,-35,1,-21,1,-17,1
61,-21,1,-1,1,20,1,11,1,-21,1,9,1,-13,1,-14,1,-23,1,-36,1,-20,1,-17,1
62,-20,1,-2,1,18,1,11,1,-19,1,8,1,-13,1,-14,1,-23,1,-36,1,-20,1,-17,1
63,-20,1,-2,1,18,1,11,1,-19,1,8,1,-14,1,-13,1,-24,1,-36,1,-20,1,-17,1
64,-21,1,-3,1,18,1,12,1,-20,1,7,1,-14,1,-13,1,-24,1,-35,1,-21,1,-18,1
65,-21,1,-3,1,18,1,12,1,-20,1,7,1,-14,1,-14,1,-24,1,-36,1,-20,1,-18,1
66,-20,1,-4,1,16,1,12,1,-18,1,6,1,-15,1,-14,1,-24,1,-35,1,-20,1,-18,1
67,-21,1,-4,1,17,1,12,1,-19,1,6,1,-15,1,-15,1,-24,1,-35,1,-20,1,-19,1
