TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-9,1,4,1,13,1,2,1,-11,1,8,1,-3,1,4,1,-6,1,-22,1,-84,1,-22,1
2,-10,1,6,1,16,1,2,1,-13,1,11,1,-2,1,4,1,-4,1,-22,1,-83,1,-21,1
3,-10,1,9,1,19,1,0,1,-14,1,14,1,-3,1,4,1,-3,1,-20,1,-81,1,-18,1
4,-7,1,12,1,19,1,-2,1,-13,1,15,1,-3,1,3,1,-3,1,-21,1,-83,1,-17,1
5,-6,1,13,1,19,1,-3,1,-12,1,16,1,-4,1,4,1,-4,1,-21,1,-84,1,-17,1
6,-7,1,14,1,21,1,-3,1,-14,1,17,1,-3,1,5,1,-4,1,-19,1,-85,1,-15,1
7,-9,1,14,1,23,1,-2,1,-16,1,18,1,-3,1,4,1,-4,1,-19,1,-85,1,-15,1
8,-11,1,13,1,24,1,-1,1,-17,1,18,1,-3,1,4,1,-5,1,-20,1,-89,1,-17,1
9,-10,1,14,1,24,1,-2,1,-17,1,19,1,-3,1,2,1,-5,1,-21,1,-90,1,-19,1
10,-8,1,14,1,22,1,-3,1,-15,1,18,1,-3,1,0,1,-4,1,-21,1,-88,1,-18,1
11,-5,1,14,1,19,1,-4,1,-12,1,16,1,-5,1,-1,1,-5,1,-22,1,-88,1,-20,1
12,-6,1,14,1,20,1,-4,1,-13,1,17,1,-5,1,-1,1,-4,1,-23,1,-87,1,-20,1
13,-8,1,14,1,22,1,-3,1,-15,1,18,1,-5,1,0,1,-3,1,-21,1,-85,1,-18,1
14,-7,1,16,1,23,1,-4,1,-15,1,19,1,-5,1,1,1,-3,1,-19,1,-84,1,-16,1
15,-6,1,17,1,23,1,-5,1,-14,1,20,1,-3,1,2,1,-2,1,-19,1,-85,1,-15,1
16,-10,1,18,1,28,1,-4,1,-19,1,23,1,-3,1,2,1,-2,1,-18,1,-84,1,-14,1
17,-11,1,19,1,30,1,-4,1,-20,1,24,1,-4,1,1,1,-4,1,-19,1,-85,1,-16,1
18,-10,1,18,1,28,1,-4,1,-19,1,23,1,-4,1,0,1,-5,1,-21,1,-87,1,-18,1
19,-8,1,19,1,27,1,-5,1,-17,1,23,1,-5,1,-1,1,-6,1,-23,1,-87,1,-18,1
20,-6,1,18,1,24,1,-6,1,-15,1,21,1,-6,1,-2,1,-7,1,-23,1,-86,1,-17,1
21,-6,1,17,1,23,1,-5,1,-14,1,20,1,-6,1,-1,1,-6,1,-24,1,-87,1,-19,1
22,-8,1,15,1,23,1,-3,1,-15,1,19,1,-6,1,0,1,-6,1,-26,1,-86,1,-18,1
