TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-18,1,-22,1,-4,1,20,1,-7,1,-13,1,-5,1,-26,1,-29,1,-14,1,-6,1,-14,1
2,-12,1,-18,1,-6,1,15,1,-3,1,-12,1,-1,1,-23,1,-26,1,-11,1,-3,1,-10,1
3,-10,1,-16,1,-6,1,13,1,-2,1,-11,1,-1,1,-24,1,-26,1,-10,1,-3,1,-10,1
4,-10,1,-15,1,-5,1,12,1,-3,1,-10,1,-2,1,-23,1,-26,1,-11,1,-4,1,-10,1
5,-13,1,-18,1,-5,1,15,1,-4,1,-12,1,-3,1,-23,1,-26,1,-11,1,-4,1,-10,1
6,-10,1,-16,1,-6,1,13,1,-2,1,-11,1,-3,1,-23,1,-26,1,-12,1,-4,1,-10,1
7,-10,1,-16,1,-6,1,13,1,-2,1,-11,1,-3,1,-23,1,-26,1,-12,1,-3,1,-10,1
8,-11,1,-16,1,-5,1,13,1,-3,1,-11,1,-3,1,-23,1,-26,1,-12,1,-4,1,-10,1
9,-9,1,-16,1,-7,1,12,1,-1,1,-12,1,-4,1,-23,1,-27,1,-12,1,-4,1,-9,1
10,-11,1,-19,1,-8,1,15,1,-2,1,-14,1,-4,1,-25,1,-27,1,-12,1,-5,1,-10,1
11,-15,1,-21,1,-6,1,18,1,-5,1,-14,1,-4,1,-25,1,-27,1,-11,1,-5,1,-9,1
12,-18,1,-25,1,-7,1,21,1,-6,1,-16,1,-4,1,-25,1,-27,1,-13,1,-6,1,-10,1
13,-17,1,-23,1,-6,1,20,1,-6,1,-15,1,-4,1,-25,1,-27,1,-13,1,-5,1,-11,1
14,-10,1,-18,1,-8,1,14,1,-1,1,-13,1,-3,1,-24,1,-26,1,-13,1,-5,1,-10,1
15,-8,1,-15,1,-7,1,11,1,-1,1,-11,1,-1,1,-23,1,-24,1,-10,1,-3,1,-9,1
16,-11,1,-16,1,-5,1,13,1,-3,1,-11,1,-2,1,-22,1,-25,1,-10,1,-4,1,-9,1
17,-15,1,-19,1,-4,1,17,1,-6,1,-12,1,-4,1,-24,1,-27,1,-12,1,-6,1,-11,1
18,-18,1,-20,1,-2,1,19,1,-8,1,-11,1,-4,1,-24,1,-27,1,-13,1,-7,1,-11,1
19,-14,1,-19,1,-5,1,16,1,-5,1,-12,1,-6,1,-26,1,-28,1,-13,1,-8,1,-11,1
20,-10,1,-16,1,-6,1,13,1,-2,1,-11,1,-5,1,-26,1,-28,1,-13,1,-6,1,-11,1
21,-12,1,-18,1,-6,1,15,1,-3,1,-12,1,-3,1,-25,1,-26,1,-11,1,-4,1,-8,1
22,-13,1,-18,1,-5,1,15,1,-4,1,-12,1,-2,1,-23,1,-24,1,-10,1,-4,1,-7,1
23,-15,1,-17,1,-2,1,16,1,-7,1,-10,1,-4,1,-26,1,-26,1,-12,1,-6,1,-9,1
24,-18,1,-21,1,-3,1,19,1,-8,1,-12,1,-5,1,-28,1,-28,1,-15,1,-9,1,-12,1
25,-16,1,-20,1,-4,1,18,1,-6,1,-12,1,-4,1,-27,1,-27,1,-14,1,-9,1,-11,1
26,-15,1,-20,1,-5,1,17,1,-5,1,-13,1,-4,1,-28,1,-28,1,-15,1,-8,1,-11,1
27,-12,1,-18,1,-6,1,15,1,-3,1,-12,1,-3,1,-27,1,-29,1,-15,1,-8,1,-11,1
28,-7,1,-14,1,-7,1,10,1,0,1,-11,1,-2,1,-26,1,-27,1,-14,1,-7,1,-10,1
29,-4,1,-13,1,-9,1,8,1,2,1,-11,1,-2,1,-25,1,-26,1,-14,1,-8,1,-11,1
30,-7,1,-14,1,-7,1,10,1,0,1,-11,1,-3,1,-26,1,-26,1,-14,1,-10,1,-11,1
31,-8,1,-15,1,-7,1,11,1,-1,1,-11,1,-6,1,-28,1,-28,1,-16,1,-18,1,-12,1
32,-12,1,-19,1,-7,1,15,1,-3,1,-13,1,-5,1,-28,1,-28,1,-16,1,-24,1,-12,1
33,-17,1,-22,1,-5,1,19,1,-6,1,-14,1,-5,1,-27,1,-28,1,-16,1,-25,1,-12,1
34,-15,1,-19,1,-4,1,17,1,-6,1,-12,1,-5,1,-28,1,-28,1,-16,1,-27,1,-11,1
35,-12,1,-14,1,-2,1,13,1,-5,1,-8,1,-3,1,-27,1,-28,1,-13,1,-26,1,-9,1
36,-8,1,-14,1,-6,1,11,1,-1,1,-10,1,-4,1,-27,1,-28,1,-13,1,-27,1,-9,1
37,-11,1,-18,1,-7,1,14,1,-2,1,-13,1,-1,1,-25,1,-26,1,-11,1,-26,1,-7,1
38,-13,1,-19,1,-6,1,16,1,-4,1,-13,1,-1,1,-25,1,-26,1,-12,1,-28,1,-8,1
39,-12,1,-19,1,-7,1,15,1,-3,1,-13,1,-4,1,-25,1,-26,1,-13,1,-30,1,-9,1
40,-16,1,-21,1,-5,1,18,1,-6,1,-13,1,-4,1,-25,1,-26,1,-13,1,-29,1,-9,1
41,-21,1,-28,1,-7,1,24,1,-7,1,-18,1,-5,1,-26,1,-28,1,-14,1,-31,1,-9,1
42,-22,1,-30,1,-8,1,26,1,-7,1,-19,1,-6,1,-27,1,-29,1,-15,1,-32,1,-11,1
43,-24,1,-32,1,-8,1,28,1,-8,1,-20,1,-6,1,-27,1,-28,1,-14,1,-31,1,-10,1
44,-18,1,-26,1,-8,1,22,1,-5,1,-17,1,-7,1,-27,1,-30,1,-16,1,-33,1,-12,1
45,-17,1,-24,1,-7,1,20,1,-5,1,-16,1,-5,1,-26,1,-29,1,-16,1,-33,1,-11,1
46,-19,1,-22,1,-3,1,20,1,-8,1,-13,1,-3,1,-24,1,-26,1,-14,1,-31,1,-10,1
47,-16,1,-16,1,0,1,16,1,-8,1,-8,1,0,1,-21,1,-22,1,-12,1,-28,1,-6,1
48,-9,1,-11,1,-2,1,10,1,-4,1,-7,1,2,1,-19,1,-20,1,-9,1,-26,1,-4,1
49,-7,1,-9,1,-2,1,8,1,-3,1,-6,1,2,1,-19,1,-20,1,-8,1,-26,1,-4,1
50,-9,1,-9,1,0,1,9,1,-5,1,-5,1,2,1,-20,1,-19,1,-8,1,-25,1,-3,1
51,-12,1,-13,1,-1,1,12,1,-6,1,-7,1,3,1,-19,1,-19,1,-7,1,-25,1,-2,1
52,-13,1,-12,1,1,1,12,1,-7,1,-6,1,3,1,-20,1,-19,1,-7,1,-26,1,-3,1
53,-9,1,-11,1,-2,1,10,1,-4,1,-7,1,2,1,-21,1,-20,1,-8,1,-27,1,-3,1
54,-13,1,-15,1,-2,1,14,1,-6,1,-9,1,0,1,-24,1,-23,1,-12,1,-29,1,-6,1
55,-15,1,-18,1,-3,1,16,1,-6,1,-11,1,0,1,-23,1,-21,1,-11,1,-29,1,-6,1
56,-14,1,-16,1,-2,1,15,1,-6,1,-9,1,3,1,-20,1,-20,1,-9,1,-28,1,-4,1
57,-15,1,-16,1,-1,1,15,1,-7,1,-9,1,1,1,-19,1,-20,1,-9,1,-27,1,-4,1
58,-10,1,-12,1,-2,1,11,1,-4,1,-7,1,2,1,-19,1,-19,1,-8,1,-27,1,-4,1
59,-5,1,-7,1,-2,1,6,1,-2,1,-5,1,5,1,-16,1,-17,1,-5,1,-24,1,-1,1
60,-7,1,-7,1,0,1,7,1,-4,1,-4,1,6,1,-15,1,-16,1,-5,1,-23,1,0,1
61,-6,1,-5,1,1,1,5,1,-4,1,-2,1,6,1,-14,1,-14,1,-3,1,-21,1,2,1
62,-2,1,-1,1,1,1,1,1,-2,1,0,1,6,1,-13,1,-14,1,-2,1,-20,1,4,1
63,-2,1,2,1,4,1,0,1,-3,1,3,1,1,1,-18,1,-17,1,-5,1,-23,1,1,1
64,-6,1,-3,1,3,1,4,1,-5,1,0,1,0,1,-19,1,-17,1,-5,1,-23,1,2,1
65,-5,1,-4,1,1,1,4,1,-3,1,-2,1,0,1,-18,1,-17,1,-5,1,-23,1,3,1
66,-6,1,-3,1,3,1,4,1,-5,1,0,1,0,1,-18,1,-17,1,-3,1,-22,1,3,1
67,-3,1,-1,1,2,1,2,1,-3,1,0,1,0,1,-16,1,-15,1,-2,1,-20,1,3,1
68,2,1,3,1,1,1,-2,1,1,1,2,1,-2,1,-16,1,-15,1,-1,1,-20,1,4,1
69,4,1,4,1,0,1,-4,1,2,1,2,1,-5,1,-16,1,-15,1,-1,1,-19,1,6,1
70,4,1,5,1,1,1,-4,1,2,1,3,1,-7,1,-17,1,-15,1,0,1,-18,1,6,1
71,-1,1,1,1,2,1,0,1,-1,1,1,1,-9,1,-17,1,-15,1,0,1,-18,1,6,1
72,-4,1,-3,1,1,1,3,1,-3,1,-1,1,-9,1,-18,1,-15,1,-1,1,-18,1,6,1
73,0,1,-2,1,-2,1,1,1,1,1,-2,1,-8,1,-18,1,-15,1,-1,1,-17,1,7,1
74,0,1,-2,1,-2,1,1,1,1,1,-2,1,-8,1,-18,1,-16,1,-2,1,-19,1,5,1
75,-3,1,-6,1,-3,1,4,1,0,1,-5,1,-8,1,-20,1,-18,1,-4,1,-20,1,4,1
76,-6,1,-11,1,-5,1,8,1,-1,1,-8,1,-10,1,-23,1,-21,1,-7,1,-23,1,3,1
77,-3,1,-8,1,-5,1,5,1,1,1,-7,1,-8,1,-22,1,-21,1,-7,1,-23,1,3,1
78,-1,1,-6,1,-5,1,3,1,2,1,-6,1,-8,1,-22,1,-21,1,-7,1,-23,1,3,1
79,-1,1,-7,1,-6,1,4,1,2,1,-7,1,-10,1,-23,1,-22,1,-8,1,-24,1,0,1
80,-4,1,-9,1,-5,1,6,1,0,1,-7,1,-11,1,-25,1,-22,1,-8,1,-23,1,0,1
81,-6,1,-10,1,-4,1,8,1,-1,1,-7,1,-10,1,-24,1,-21,1,-8,1,-23,1,1,1
82,-9,1,-13,1,-4,1,11,1,-3,1,-9,1,-11,1,-25,1,-23,1,-9,1,-25,1,0,1
83,-15,1,-15,1,0,1,15,1,-8,1,-8,1,-9,1,-24,1,-23,1,-9,1,-25,1,0,1
