TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-19,1,-20,1,-1,1,19,1,-9,1,-11,1,9,1,-17,1,-21,1,-19,1,-17,1,-29,1
2,-19,1,-20,1,-1,1,19,1,-9,1,-11,1,8,1,-18,1,-21,1,-19,1,-17,1,-28,1
3,-19,1,-20,1,-1,1,19,1,-9,1,-11,1,8,1,-18,1,-21,1,-18,1,-17,1,-28,1
4,-19,1,-20,1,-1,1,19,1,-9,1,-11,1,8,1,-18,1,-21,1,-18,1,-17,1,-28,1
5,-19,1,-21,1,-2,1,20,1,-9,1,-12,1,8,1,-17,1,-21,1,-18,1,-17,1,-29,1
6,-18,1,-21,1,-3,1,19,1,-8,1,-12,1,9,1,-15,1,-20,1,-18,1,-18,1,-28,1
7,-17,1,-22,1,-5,1,19,1,-6,1,-14,1,9,1,-10,1,-18,1,-18,1,-18,1,-28,1
8,-15,1,-23,1,-8,1,19,1,-4,1,-16,1,10,1,-4,1,-16,1,-17,1,-18,1,-28,1
9,-14,1,-23,1,-9,1,18,1,-3,1,-16,1,12,1,4,1,-13,1,-15,1,-18,1,-29,1
10,-12,1,-22,1,-10,1,17,1,-1,1,-16,1,15,1,16,1,-8,1,-13,1,-18,1,-28,1
11,-10,1,-21,1,-11,1,15,1,0,1,-16,1,19,1,30,1,-1,1,-10,1,-16,1,-27,1
12,-7,1,-17,1,-10,1,12,1,1,1,-14,1,23,1,45,1,7,1,-5,1,-14,1,-26,1
13,-4,1,-11,1,-7,1,7,1,1,1,-9,1,28,1,63,1,19,1,2,1,-8,1,-22,1
14,-1,1,-4,1,-3,1,2,1,1,1,-4,1,34,1,85,1,32,1,12,1,-1,1,-15,1
15,4,1,3,1,-1,1,-3,1,3,1,1,1,39,1,108,1,48,1,25,1,9,1,-7,1
16,10,1,15,1,5,1,-12,1,3,1,10,1,40,1,123,1,64,1,41,1,23,1,5,1
17,16,1,32,1,16,1,-24,1,0,1,24,1,39,1,128,1,78,1,58,1,41,1,23,1
18,18,1,52,1,34,1,-35,1,-8,1,43,1,38,1,121,1,91,1,77,1,62,1,44,1
19,18,1,73,1,55,1,-45,1,-18,1,64,1,37,1,107,1,102,1,95,1,85,1,67,1
20,18,1,92,1,74,1,-55,1,-28,1,83,1,30,1,79,1,109,1,111,1,107,1,89,1
21,18,1,105,1,87,1,-61,1,-34,1,96,1,14,1,38,1,109,1,122,1,126,1,109,1
22,16,1,115,1,99,1,-65,1,-41,1,107,1,-4,1,-13,1,103,1,130,1,142,1,126,1
23,12,1,122,1,110,1,-67,1,-49,1,116,1,-20,1,-66,1,97,1,135,1,154,1,136,1
24,6,1,128,1,122,1,-67,1,-58,1,125,1,-32,1,-117,1,87,1,136,1,161,1,141,1
25,0,1,128,1,128,1,-64,1,-64,1,128,1,-40,1,-162,1,73,1,131,1,160,1,141,1
26,-8,1,115,1,123,1,-53,1,-65,1,119,1,-45,1,-196,1,52,1,115,1,145,1,130,1
27,-14,1,89,1,103,1,-37,1,-58,1,96,1,-51,1,-216,1,25,1,89,1,119,1,110,1
28,-18,1,59,1,77,1,-20,1,-47,1,68,1,-53,1,-226,1,-2,1,58,1,87,1,82,1
29,-24,1,29,1,53,1,-2,1,-38,1,41,1,-51,1,-228,1,-29,1,24,1,52,1,51,1
30,-26,1,6,1,32,1,10,1,-29,1,19,1,-51,1,-226,1,-51,1,-4,1,22,1,24,1
31,-28,1,-12,1,16,1,20,1,-22,1,2,1,-52,1,-220,1,-66,1,-24,1,0,1,1,1
32,-28,1,-28,1,0,1,28,1,-14,1,-14,1,-52,1,-209,1,-72,1,-37,1,-16,1,-17,1
33,-29,1,-42,1,-13,1,35,1,-8,1,-28,1,-51,1,-194,1,-73,1,-46,1,-28,1,-31,1
34,-29,1,-52,1,-23,1,40,1,-3,1,-38,1,-50,1,-176,1,-73,1,-51,1,-36,1,-40,1
35,-28,1,-58,1,-30,1,43,1,1,1,-44,1,-48,1,-158,1,-72,1,-53,1,-42,1,-47,1
36,-26,1,-59,1,-33,1,42,1,3,1,-46,1,-45,1,-137,1,-70,1,-53,1,-43,1,-49,1
37,-24,1,-58,1,-34,1,41,1,5,1,-46,1,-41,1,-119,1,-66,1,-52,1,-43,1,-50,1
38,-21,1,-55,1,-34,1,38,1,6,1,-45,1,-37,1,-103,1,-63,1,-50,1,-42,1,-48,1
39,-19,1,-51,1,-32,1,35,1,6,1,-42,1,-32,1,-89,1,-59,1,-48,1,-40,1,-47,1
40,-17,1,-47,1,-30,1,32,1,6,1,-39,1,-26,1,-74,1,-53,1,-45,1,-37,1,-45,1
41,-14,1,-44,1,-30,1,29,1,8,1,-37,1,-19,1,-60,1,-46,1,-40,1,-33,1,-42,1
42,-13,1,-41,1,-28,1,27,1,7,1,-35,1,-15,1,-47,1,-40,1,-36,1,-30,1,-38,1
43,-12,1,-39,1,-27,1,25,1,7,1,-33,1,-10,1,-37,1,-35,1,-33,1,-26,1,-35,1
44,-11,1,-36,1,-25,1,23,1,7,1,-31,1,-7,1,-29,1,-30,1,-30,1,-23,1,-33,1
45,-11,1,-33,1,-22,1,22,1,5,1,-28,1,-3,1,-22,1,-26,1,-26,1,-20,1,-31,1
46,-10,1,-30,1,-20,1,20,1,5,1,-25,1,0,1,-17,1,-22,1,-23,1,-19,1,-28,1
47,-10,1,-27,1,-17,1,18,1,3,1,-22,1,1,1,-13,1,-19,1,-19,1,-17,1,-26,1
48,-10,1,-25,1,-15,1,17,1,2,1,-20,1,3,1,-9,1,-16,1,-16,1,-16,1,-25,1
49,-10,1,-23,1,-13,1,16,1,1,1,-18,1,5,1,-7,1,-14,1,-15,1,-15,1,-24,1
50,-10,1,-22,1,-12,1,16,1,1,1,-17,1,6,1,-5,1,-13,1,-15,1,-14,1,-22,1
51,-10,1,-22,1,-12,1,16,1,1,1,-17,1,7,1,-4,1,-12,1,-15,1,-13,1,-22,1
52,-10,1,-21,1,-11,1,15,1,0,1,-16,1,8,1,-3,1,-12,1,-15,1,-13,1,-22,1
53,-10,1,-21,1,-11,1,15,1,0,1,-16,1,9,1,-2,1,-11,1,-14,1,-13,1,-22,1
54,-11,1,-21,1,-10,1,16,1,-1,1,-16,1,9,1,-1,1,-11,1,-13,1,-13,1,-20,1
55,-10,1,-20,1,-10,1,15,1,0,1,-15,1,10,1,0,1,-11,1,-12,1,-13,1,-21,1
56,-10,1,-20,1,-10,1,15,1,0,1,-15,1,10,1,0,1,-11,1,-12,1,-13,1,-21,1
57,-10,1,-20,1,-10,1,15,1,0,1,-15,1,11,1,1,1,-11,1,-11,1,-12,1,-21,1
58,-10,1,-20,1,-10,1,15,1,0,1,-15,1,11,1,2,1,-11,1,-11,1,-12,1,-20,1
59,-11,1,-19,1,-8,1,15,1,-2,1,-14,1,11,1,3,1,-11,1,-11,1,-11,1,-20,1
60,-11,1,-19,1,-8,1,15,1,-2,1,-14,1,11,1,3,1,-11,1,-12,1,-11,1,-21,1
61,-10,1,-19,1,-9,1,14,1,-1,1,-14,1,11,1,3,1,-10,1,-12,1,-11,1,-20,1
62,-10,1,-19,1,-9,1,14,1,-1,1,-14,1,11,1,4,1,-10,1,-12,1,-11,1,-20,1
63,-10,1,-18,1,-8,1,14,1,-1,1,-13,1,12,1,4,1,-10,1,-12,1,-10,1,-19,1
64,-10,1,-18,1,-8,1,14,1,-1,1,-13,1,12,1,4,1,-9,1,-11,1,-10,1,-19,1
65,-10,1,-18,1,-8,1,14,1,-1,1,-13,1,12,1,5,1,-9,1,-11,1,-10,1,-19,1
66,-10,1,-17,1,-7,1,13,1,-2,1,-12,1,12,1,5,1,-9,1,-11,1,-10,1,-18,1
67,-9,1,-17,1,-8,1,13,1,-1,1,-13,1,12,1,6,1,-9,1,-10,1,-10,1,-17,1
68,-8,1,-16,1,-8,1,12,1,0,1,-12,1,11,1,7,1,-9,1,-10,1,-9,1,-17,1
69,-8,1,-16,1,-8,1,12,1,0,1,-12,1,12,1,7,1,-9,1,-9,1,-9,1,-17,1
70,-7,1,-15,1,-8,1,11,1,0,1,-12,1,11,1,7,1,-9,1,-9,1,-8,1,-17,1
71,-7,1,-15,1,-8,1,11,1,0,1,-12,1,11,1,8,1,-9,1,-8,1,-7,1,-17,1
72,-7,1,-15,1,-8,1,11,1,0,1,-12,1,11,1,9,1,-9,1,-8,1,-6,1,-18,1
73,-7,1,-15,1,-8,1,11,1,0,1,-12,1,11,1,9,1,-9,1,-8,1,-6,1,-18,1
74,-7,1,-14,1,-7,1,10,1,0,1,-11,1,11,1,9,1,-8,1,-8,1,-6,1,-17,1
75,-7,1,-14,1,-7,1,10,1,0,1,-11,1,11,1,10,1,-8,1,-7,1,-6,1,-16,1
76,-7,1,-13,1,-6,1,10,1,-1,1,-10,1,11,1,11,1,-8,1,-7,1,-6,1,-15,1
77,-7,1,-13,1,-6,1,10,1,-1,1,-10,1,11,1,11,1,-7,1,-6,1,-6,1,-15,1
78,-7,1,-12,1,-5,1,9,1,-1,1,-9,1,11,1,11,1,-7,1,-5,1,-6,1,-15,1
79,-6,1,-12,1,-6,1,9,1,0,1,-9,1,11,1,12,1,-7,1,-5,1,-5,1,-15,1
80,-6,1,-12,1,-6,1,9,1,0,1,-9,1,11,1,13,1,-6,1,-5,1,-5,1,-14,1
81,-5,1,-12,1,-7,1,8,1,1,1,-10,1,11,1,13,1,-5,1,-4,1,-4,1,-14,1
82,-5,1,-11,1,-6,1,8,1,0,1,-9,1,11,1,14,1,-4,1,-4,1,-4,1,-14,1
83,-4,1,-11,1,-7,1,7,1,1,1,-9,1,11,1,14,1,-4,1,-4,1,-3,1,-13,1
84,-4,1,-10,1,-6,1,7,1,1,1,-8,1,11,1,15,1,-3,1,-4,1,-3,1,-13,1
85,-4,1,-10,1,-6,1,7,1,1,1,-8,1,11,1,15,1,-3,1,-5,1,-3,1,-13,1
86,-4,1,-9,1,-5,1,6,1,0,1,-7,1,11,1,16,1,-3,1,-5,1,-3,1,-13,1
87,-4,1,-8,1,-4,1,6,1,0,1,-6,1,11,1,18,1,-3,1,-5,1,-3,1,-13,1
88,-3,1,-7,1,-4,1,5,1,0,1,-6,1,11,1,18,1,-3,1,-5,1,-3,1,-12,1
89,-3,1,-7,1,-4,1,5,1,0,1,-6,1,11,1,18,1,-2,1,-4,1,-2,1,-12,1
90,-3,1,-6,1,-3,1,4,1,0,1,-5,1,11,1,19,1,-1,1,-4,1,-2,1,-11,1
91,-3,1,-6,1,-3,1,4,1,0,1,-5,1,10,1,19,1,-1,1,-3,1,-2,1,-11,1
92,-3,1,-6,1,-3,1,4,1,0,1,-5,1,10,1,20,1,0,1,-2,1,-1,1,-9,1
93,-3,1,-6,1,-3,1,4,1,0,1,-5,1,9,1,21,1,0,1,-2,1,-1,1,-9,1
94,-3,1,-6,1,-3,1,4,1,0,1,-5,1,9,1,21,1,1,1,-1,1,0,1,-8,1
95,-2,1,-5,1,-3,1,3,1,0,1,-4,1,9,1,22,1,1,1,-1,1,0,1,-7,1
96,-2,1,-4,1,-2,1,3,1,0,1,-3,1,9,1,22,1,2,1,0,1,1,1,-6,1
97,-2,1,-4,1,-2,1,3,1,0,1,-3,1,9,1,23,1,2,1,0,1,1,1,-5,1
98,-1,1,-3,1,-2,1,2,1,0,1,-3,1,9,1,24,1,3,1,1,1,1,1,-5,1
99,-1,1,-2,1,-1,1,1,1,0,1,-2,1,8,1,25,1,4,1,1,1,2,1,-4,1
100,0,1,-1,1,-1,1,0,1,0,1,-1,1,7,1,26,1,5,1,2,1,3,1,-3,1
101,1,1,0,1,-1,1,0,1,1,1,0,1,6,1,27,1,7,1,4,1,3,1,-2,1
102,2,1,0,1,-2,1,-1,1,2,1,-1,1,5,1,28,1,8,1,5,1,4,1,-1,1
103,2,1,0,1,-2,1,-1,1,2,1,-1,1,5,1,29,1,8,1,6,1,5,1,0,1
104,3,1,1,1,-2,1,-2,1,3,1,0,1,5,1,30,1,9,1,7,1,6,1,0,1
105,4,1,2,1,-2,1,-3,1,3,1,0,1,5,1,31,1,10,1,8,1,7,1,2,1
106,4,1,3,1,-1,1,-3,1,3,1,1,1,5,1,32,1,11,1,10,1,8,1,3,1
107,5,1,4,1,-1,1,-4,1,3,1,2,1,5,1,33,1,12,1,11,1,9,1,4,1
108,5,1,5,1,0,1,-5,1,3,1,3,1,5,1,34,1,13,1,12,1,11,1,5,1
109,6,1,5,1,-1,1,-5,1,4,1,2,1,5,1,35,1,14,1,13,1,12,1,7,1
110,7,1,6,1,-1,1,-6,1,4,1,3,1,4,1,36,1,14,1,14,1,13,1,8,1
111,8,1,7,1,-1,1,-7,1,5,1,3,1,3,1,37,1,15,1,16,1,14,1,9,1
112,9,1,8,1,-1,1,-8,1,5,1,4,1,3,1,38,1,16,1,17,1,15,1,10,1
113,10,1,10,1,0,1,-10,1,5,1,5,1,2,1,40,1,17,1,18,1,16,1,11,1
114,10,1,11,1,1,1,-10,1,5,1,6,1,1,1,41,1,18,1,19,1,18,1,14,1
115,11,1,12,1,1,1,-11,1,5,1,7,1,0,1,42,1,19,1,20,1,19,1,15,1
116,12,1,12,1,0,1,-12,1,6,1,6,1,-1,1,43,1,20,1,20,1,20,1,16,1
117,13,1,14,1,1,1,-13,1,6,1,8,1,-2,1,44,1,20,1,21,1,22,1,18,1
118,15,1,15,1,0,1,-15,1,8,1,8,1,-3,1,45,1,21,1,22,1,23,1,20,1
119,15,1,16,1,1,1,-15,1,7,1,9,1,-3,1,46,1,22,1,24,1,25,1,22,1
120,17,1,18,1,1,1,-17,1,8,1,10,1,-4,1,47,1,23,1,25,1,27,1,23,1
121,18,1,19,1,1,1,-18,1,9,1,10,1,-5,1,48,1,24,1,26,1,29,1,25,1
122,19,1,20,1,1,1,-19,1,9,1,11,1,-6,1,50,1,25,1,28,1,30,1,28,1
123,20,1,21,1,1,1,-20,1,10,1,11,1,-7,1,51,1,26,1,30,1,32,1,30,1
124,22,1,23,1,1,1,-22,1,11,1,12,1,-7,1,52,1,27,1,31,1,34,1,31,1
125,23,1,24,1,1,1,-23,1,11,1,13,1,-8,1,53,1,28,1,32,1,35,1,33,1
126,23,1,25,1,2,1,-24,1,11,1,14,1,-9,1,54,1,29,1,33,1,37,1,35,1
127,24,1,26,1,2,1,-25,1,11,1,14,1,-11,1,54,1,30,1,35,1,39,1,37,1
128,26,1,28,1,2,1,-27,1,12,1,15,1,-12,1,55,1,31,1,36,1,40,1,39,1
129,27,1,30,1,3,1,-28,1,12,1,17,1,-13,1,56,1,32,1,37,1,42,1,40,1
130,28,1,32,1,4,1,-30,1,12,1,18,1,-14,1,57,1,33,1,38,1,44,1,42,1
131,29,1,33,1,4,1,-31,1,13,1,19,1,-15,1,57,1,33,1,40,1,46,1,45,1
132,30,1,34,1,4,1,-32,1,13,1,19,1,-16,1,58,1,33,1,40,1,48,1,46,1
133,31,1,35,1,4,1,-33,1,14,1,20,1,-18,1,58,1,34,1,41,1,49,1,48,1
134,33,1,37,1,4,1,-35,1,15,1,21,1,-19,1,59,1,34,1,42,1,51,1,50,1
135,34,1,38,1,4,1,-36,1,15,1,21,1,-19,1,60,1,34,1,43,1,52,1,52,1
136,35,1,39,1,4,1,-37,1,16,1,22,1,-21,1,60,1,35,1,43,1,54,1,53,1
137,36,1,40,1,4,1,-38,1,16,1,22,1,-22,1,60,1,35,1,44,1,55,1,55,1
138,37,1,41,1,4,1,-39,1,17,1,23,1,-23,1,61,1,35,1,45,1,55,1,57,1
139,38,1,43,1,5,1,-40,1,17,1,24,1,-24,1,61,1,36,1,45,1,56,1,59,1
140,38,1,44,1,6,1,-41,1,16,1,25,1,-25,1,61,1,36,1,46,1,57,1,61,1
141,39,1,45,1,6,1,-42,1,17,1,26,1,-26,1,61,1,37,1,47,1,59,1,62,1
142,39,1,46,1,7,1,-42,1,16,1,27,1,-26,1,61,1,37,1,47,1,60,1,63,1
143,39,1,46,1,7,1,-42,1,16,1,27,1,-27,1,61,1,37,1,47,1,61,1,64,1
144,40,1,46,1,6,1,-43,1,17,1,26,1,-27,1,61,1,38,1,48,1,62,1,66,1
145,41,1,47,1,6,1,-44,1,18,1,27,1,-27,1,61,1,38,1,48,1,63,1,67,1
