TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,28,1,27,1,-1,1,-27,1,15,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
2,29,1,27,1,-2,1,-28,1,16,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
3,30,1,28,1,-2,1,-29,1,16,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
4,29,1,28,1,-1,1,-28,1,15,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
5,30,1,29,1,-1,1,-29,1,16,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
6,29,1,29,1,0,1,-29,1,15,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
7,29,1,30,1,1,1,-29,1,14,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
8,29,1,29,1,0,1,-29,1,15,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
9,29,1,29,1,0,1,-29,1,15,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
10,28,1,29,1,1,1,-28,1,14,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
11,29,1,29,1,0,1,-29,1,15,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
12,30,1,30,1,0,1,-30,1,15,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
13,31,1,30,1,-1,1,-30,1,16,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
14,31,1,30,1,-1,1,-30,1,16,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
15,32,1,30,1,-2,1,-31,1,17,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
16,31,1,30,1,-1,1,-30,1,16,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
17,31,1,30,1,-1,1,-30,1,16,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
18,30,1,30,1,0,1,-30,1,15,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
19,30,1,31,1,1,1,-30,1,15,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
20,30,1,31,1,1,1,-30,1,15,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
21,31,1,31,1,0,1,-31,1,16,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
22,33,1,31,1,-2,1,-32,1,18,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
23,35,1,32,1,-3,1,-33,1,19,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
24,35,1,31,1,-4,1,-33,1,20,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
25,36,1,31,1,-5,1,-33,1,21,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
26,34,1,31,1,-3,1,-32,1,19,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
27,33,1,31,1,-2,1,-32,1,18,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
28,33,1,32,1,-1,1,-32,1,17,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
29,33,1,32,1,-1,1,-32,1,17,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
30,32,1,32,1,0,1,-32,1,16,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
31,32,1,32,1,0,1,-32,1,16,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
32,34,1,32,1,-2,1,-33,1,18,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
33,35,1,31,1,-4,1,-33,1,20,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
34,36,1,31,1,-5,1,-33,1,21,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
35,36,1,31,1,-5,1,-33,1,21,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
36,35,1,31,1,-4,1,-33,1,20,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
37,34,1,32,1,-2,1,-33,1,18,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
38,33,1,32,1,-1,1,-32,1,17,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
39,33,1,33,1,0,1,-33,1,17,1,17,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
40,34,1,33,1,-1,1,-33,1,18,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
41,34,1,33,1,-1,1,-33,1,18,1,16,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
42,35,1,32,1,-3,1,-33,1,19,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
43,36,1,32,1,-4,1,-34,1,20,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
44,37,1,32,1,-5,1,-34,1,21,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
45,37,1,31,1,-6,1,-34,1,22,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
46,36,1,31,1,-5,1,-33,1,21,1,13,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
47,35,1,31,1,-4,1,-33,1,20,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
48,34,1,31,1,-3,1,-32,1,19,1,14,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
49,34,1,32,1,-2,1,-33,1,18,1,15,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1,-32768,1
