TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,21,1,43,1,22,1,-32,1,0,1,33,1,-38,1,28,1,43,1,23,1,-3,1,16,1
2,20,1,39,1,19,1,-29,1,1,1,29,1,-38,1,28,1,43,1,25,1,-3,1,16,1
3,20,1,40,1,20,1,-30,1,0,1,30,1,-39,1,25,1,41,1,24,1,-3,1,16,1
4,19,1,41,1,22,1,-30,1,-1,1,32,1,-38,1,23,1,39,1,23,1,-4,1,15,1
5,20,1,40,1,20,1,-30,1,0,1,30,1,-38,1,22,1,39,1,23,1,-5,1,15,1
6,20,1,42,1,22,1,-31,1,-1,1,32,1,-35,1,23,1,40,1,24,1,-4,1,16,1
7,22,1,45,1,23,1,-33,1,0,1,34,1,-33,1,24,1,41,1,25,1,-3,1,17,1
8,22,1,46,1,24,1,-34,1,-1,1,35,1,-31,1,24,1,42,1,25,1,-2,1,17,1
9,21,1,47,1,26,1,-34,1,-2,1,37,1,-30,1,23,1,42,1,25,1,-2,1,17,1
10,22,1,44,1,22,1,-33,1,0,1,33,1,-28,1,22,1,40,1,24,1,-2,1,18,1
11,22,1,42,1,20,1,-32,1,1,1,31,1,-27,1,21,1,39,1,24,1,-3,1,17,1
12,21,1,40,1,19,1,-30,1,1,1,30,1,-24,1,22,1,39,1,23,1,-3,1,17,1
13,21,1,37,1,16,1,-29,1,3,1,27,1,-22,1,22,1,39,1,22,1,-3,1,16,1
14,22,1,35,1,13,1,-28,1,5,1,24,1,-22,1,20,1,37,1,21,1,-5,1,15,1
15,19,1,33,1,14,1,-26,1,3,1,24,1,-20,1,20,1,37,1,21,1,-6,1,14,1
16,17,1,32,1,15,1,-24,1,1,1,24,1,-18,1,22,1,38,1,21,1,-5,1,14,1
17,14,1,32,1,18,1,-23,1,-2,1,25,1,-17,1,18,1,34,1,18,1,-9,1,10,1
18,14,1,30,1,16,1,-22,1,-1,1,23,1,-15,1,17,1,34,1,18,1,-9,1,11,1
19,11,1,28,1,17,1,-19,1,-3,1,23,1,-12,1,18,1,34,1,19,1,-9,1,11,1
20,9,1,26,1,17,1,-17,1,-4,1,22,1,-11,1,18,1,34,1,18,1,-10,1,10,1
21,9,1,23,1,14,1,-16,1,-2,1,19,1,-10,1,18,1,32,1,17,1,-11,1,8,1
22,8,1,20,1,12,1,-14,1,-2,1,16,1,-10,1,18,1,31,1,15,1,-13,1,7,1
23,9,1,18,1,9,1,-13,1,0,1,14,1,-8,1,18,1,31,1,13,1,-13,1,5,1
24,8,1,15,1,7,1,-11,1,1,1,11,1,-4,1,17,1,31,1,13,1,-14,1,6,1
25,6,1,14,1,8,1,-10,1,-1,1,11,1,-4,1,16,1,28,1,11,1,-14,1,6,1
26,4,1,13,1,9,1,-8,1,-2,1,11,1,-2,1,16,1,28,1,10,1,-15,1,5,1
27,4,1,12,1,8,1,-8,1,-2,1,10,1,0,1,14,1,26,1,8,1,-16,1,4,1
28,4,1,12,1,8,1,-8,1,-2,1,10,1,0,1,13,1,25,1,7,1,-17,1,3,1
29,2,1,11,1,9,1,-6,1,-3,1,10,1,1,1,12,1,25,1,7,1,-18,1,3,1
30,1,1,10,1,9,1,-5,1,-4,1,10,1,2,1,12,1,25,1,6,1,-19,1,3,1
