LabelType,Lead,StartX,StartY,EndX,EndY,Author,CreateDate
P0,II,24,0,84,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,458,0,518,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,899,0,959,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,1334,0,1394,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,1756,0,1816,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,2195,0,2255,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,2636,0,2696,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,3060,0,3120,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,3490,0,3550,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,3933,0,3993,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,4371,0,4431,0,SYSTEM,2025-02-28 6:59:42 PM
P0,II,4794,0,4854,0,SYSTEM,2025-02-28 6:59:42 PM
