TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-21,1,1,1,22,1,10,1,-21,1,11,1,-3,1,-37,1,-33,1,-23,1,-13,1,-11,1
2,-21,1,1,1,22,1,10,1,-21,1,11,1,-3,1,-36,1,-33,1,-22,1,-12,1,-11,1
3,-21,1,1,1,22,1,10,1,-21,1,11,1,-3,1,-36,1,-33,1,-23,1,-13,1,-11,1
4,-22,1,1,1,23,1,10,1,-22,1,12,1,-3,1,-36,1,-33,1,-23,1,-13,1,-12,1
5,-22,1,1,1,23,1,10,1,-22,1,12,1,-2,1,-37,1,-33,1,-24,1,-14,1,-12,1
6,-22,1,1,1,23,1,10,1,-22,1,12,1,-2,1,-37,1,-33,1,-24,1,-14,1,-12,1
7,-22,1,1,1,23,1,10,1,-22,1,12,1,-2,1,-36,1,-33,1,-24,1,-13,1,-12,1
8,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-36,1,-33,1,-24,1,-13,1,-12,1
9,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-35,1,-33,1,-24,1,-13,1,-12,1
10,-20,1,2,1,22,1,9,1,-21,1,12,1,-2,1,-35,1,-32,1,-23,1,-13,1,-11,1
11,-19,1,2,1,21,1,8,1,-20,1,11,1,-2,1,-35,1,-33,1,-24,1,-13,1,-11,1
12,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-35,1,-33,1,-23,1,-13,1,-10,1
13,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-36,1,-33,1,-23,1,-13,1,-10,1
14,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-36,1,-33,1,-24,1,-13,1,-11,1
15,-19,1,2,1,21,1,8,1,-20,1,11,1,-3,1,-37,1,-33,1,-23,1,-14,1,-11,1
16,-19,1,3,1,22,1,8,1,-20,1,12,1,-4,1,-37,1,-34,1,-24,1,-14,1,-12,1
17,-20,1,2,1,22,1,9,1,-21,1,12,1,-4,1,-36,1,-34,1,-24,1,-14,1,-12,1
18,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-36,1,-34,1,-22,1,-12,1,-11,1
19,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-36,1,-33,1,-23,1,-13,1,-11,1
20,-20,1,2,1,22,1,9,1,-21,1,12,1,-2,1,-36,1,-33,1,-23,1,-13,1,-11,1
21,-21,1,2,1,23,1,9,1,-22,1,12,1,-3,1,-36,1,-34,1,-23,1,-14,1,-12,1
22,-22,1,1,1,23,1,10,1,-22,1,12,1,-3,1,-36,1,-34,1,-23,1,-14,1,-12,1
23,-23,1,1,1,24,1,11,1,-23,1,12,1,-2,1,-36,1,-34,1,-23,1,-14,1,-12,1
24,-21,1,1,1,22,1,10,1,-21,1,11,1,-2,1,-36,1,-33,1,-23,1,-14,1,-11,1
25,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-36,1,-33,1,-23,1,-14,1,-11,1
26,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-36,1,-33,1,-24,1,-14,1,-12,1
27,-22,1,2,1,24,1,10,1,-23,1,13,1,-1,1,-36,1,-33,1,-23,1,-14,1,-12,1
28,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-36,1,-33,1,-23,1,-14,1,-12,1
29,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-37,1,-33,1,-23,1,-14,1,-12,1
30,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-37,1,-33,1,-23,1,-14,1,-11,1
31,-20,1,3,1,23,1,8,1,-21,1,13,1,-3,1,-37,1,-34,1,-24,1,-14,1,-12,1
32,-20,1,2,1,22,1,9,1,-21,1,12,1,-2,1,-37,1,-33,1,-23,1,-14,1,-11,1
33,-22,1,2,1,24,1,10,1,-23,1,13,1,-2,1,-36,1,-33,1,-23,1,-14,1,-11,1
34,-20,1,2,1,22,1,9,1,-21,1,12,1,-2,1,-36,1,-33,1,-24,1,-14,1,-10,1
35,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-36,1,-33,1,-24,1,-14,1,-10,1
36,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-35,1,-33,1,-23,1,-14,1,-10,1
37,-21,1,2,1,23,1,9,1,-22,1,12,1,-2,1,-35,1,-33,1,-23,1,-13,1,-10,1
38,-21,1,1,1,22,1,10,1,-21,1,11,1,-2,1,-35,1,-33,1,-22,1,-13,1,-9,1
39,-20,1,1,1,21,1,9,1,-20,1,11,1,-2,1,-36,1,-33,1,-22,1,-14,1,-9,1
40,-21,1,1,1,22,1,10,1,-21,1,11,1,-2,1,-36,1,-33,1,-22,1,-14,1,-9,1
41,-21,1,1,1,22,1,10,1,-21,1,11,1,-2,1,-36,1,-33,1,-22,1,-14,1,-10,1
42,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-36,1,-33,1,-22,1,-14,1,-10,1
43,-20,1,2,1,22,1,9,1,-21,1,12,1,-3,1,-36,1,-33,1,-22,1,-14,1,-10,1
44,-20,1,2,1,22,1,9,1,-21,1,12,1,-2,1,-35,1,-33,1,-21,1,-13,1,-9,1
45,-20,1,2,1,22,1,9,1,-21,1,12,1,-2,1,-35,1,-32,1,-21,1,-13,1,-9,1
46,-19,1,2,1,21,1,8,1,-20,1,11,1,-1,1,-34,1,-31,1,-21,1,-13,1,-8,1
47,-20,1,2,1,22,1,9,1,-21,1,12,1,-1,1,-34,1,-31,1,-20,1,-13,1,-8,1
48,-19,1,2,1,21,1,8,1,-20,1,11,1,-2,1,-34,1,-32,1,-21,1,-13,1,-8,1
49,-19,1,4,1,23,1,7,1,-21,1,13,1,-2,1,-33,1,-31,1,-20,1,-12,1,-8,1
50,-17,1,4,1,21,1,6,1,-19,1,12,1,-2,1,-33,1,-31,1,-20,1,-12,1,-8,1
51,-17,1,4,1,21,1,6,1,-19,1,12,1,-2,1,-34,1,-31,1,-20,1,-11,1,-7,1
52,-15,1,4,1,19,1,5,1,-17,1,11,1,-3,1,-33,1,-31,1,-20,1,-11,1,-8,1
53,-15,1,6,1,21,1,4,1,-18,1,13,1,-1,1,-33,1,-30,1,-19,1,-11,1,-8,1
54,-16,1,5,1,21,1,5,1,-18,1,13,1,0,1,-32,1,-29,1,-19,1,-11,1,-8,1
55,-17,1,5,1,22,1,6,1,-19,1,13,1,1,1,-31,1,-28,1,-19,1,-11,1,-8,1
56,-16,1,5,1,21,1,5,1,-18,1,13,1,2,1,-30,1,-27,1,-18,1,-10,1,-7,1
57,-15,1,7,1,22,1,4,1,-18,1,14,1,4,1,-29,1,-26,1,-17,1,-9,1,-7,1
58,-15,1,8,1,23,1,3,1,-19,1,15,1,5,1,-28,1,-26,1,-17,1,-8,1,-7,1
59,-15,1,8,1,23,1,3,1,-19,1,15,1,5,1,-27,1,-26,1,-16,1,-7,1,-6,1
60,-14,1,10,1,24,1,2,1,-19,1,17,1,5,1,-27,1,-25,1,-15,1,-7,1,-6,1
61,-14,1,10,1,24,1,2,1,-19,1,17,1,5,1,-27,1,-25,1,-15,1,-7,1,-6,1
62,-14,1,10,1,24,1,2,1,-19,1,17,1,4,1,-27,1,-25,1,-17,1,-8,1,-7,1
63,-14,1,9,1,23,1,2,1,-18,1,16,1,4,1,-27,1,-25,1,-16,1,-8,1,-7,1
64,-14,1,8,1,22,1,3,1,-18,1,15,1,4,1,-26,1,-24,1,-16,1,-8,1,-7,1
65,-13,1,8,1,21,1,2,1,-17,1,14,1,4,1,-25,1,-24,1,-15,1,-7,1,-7,1
66,-13,1,7,1,20,1,3,1,-16,1,13,1,2,1,-26,1,-24,1,-15,1,-7,1,-7,1
67,-12,1,7,1,19,1,2,1,-15,1,13,1,1,1,-27,1,-25,1,-16,1,-7,1,-7,1
68,-12,1,7,1,19,1,2,1,-15,1,13,1,0,1,-28,1,-25,1,-16,1,-8,1,-7,1
69,-13,1,6,1,19,1,3,1,-16,1,12,1,-1,1,-28,1,-25,1,-16,1,-8,1,-6,1
70,-13,1,7,1,20,1,3,1,-16,1,13,1,-3,1,-29,1,-25,1,-15,1,-8,1,-5,1
71,-10,1,10,1,20,1,0,1,-15,1,15,1,-4,1,-29,1,-24,1,-14,1,-5,1,-3,1
72,-8,1,13,1,21,1,-2,1,-14,1,17,1,-7,1,-30,1,-24,1,-14,1,-4,1,-3,1
73,-6,1,15,1,21,1,-4,1,-13,1,18,1,-9,1,-30,1,-23,1,-12,1,-3,1,-1,1
74,-6,1,14,1,20,1,-4,1,-13,1,17,1,-10,1,-30,1,-23,1,-12,1,-3,1,-1,1
75,-7,1,13,1,20,1,-3,1,-13,1,16,1,-10,1,-32,1,-24,1,-13,1,-4,1,-2,1
76,-7,1,13,1,20,1,-3,1,-13,1,16,1,-11,1,-33,1,-26,1,-15,1,-5,1,-2,1
77,-9,1,11,1,20,1,-1,1,-14,1,15,1,-10,1,-33,1,-26,1,-15,1,-6,1,-3,1
78,-7,1,9,1,16,1,-1,1,-11,1,12,1,-11,1,-35,1,-28,1,-16,1,-7,1,-4,1
79,-7,1,8,1,15,1,0,1,-11,1,11,1,-11,1,-36,1,-29,1,-17,1,-7,1,-5,1
80,-7,1,8,1,15,1,0,1,-11,1,11,1,-9,1,-35,1,-29,1,-18,1,-7,1,-5,1
81,-8,1,8,1,16,1,0,1,-12,1,12,1,-10,1,-35,1,-29,1,-18,1,-8,1,-6,1
82,-8,1,8,1,16,1,0,1,-12,1,12,1,-9,1,-36,1,-29,1,-18,1,-7,1,-6,1
83,-8,1,8,1,16,1,0,1,-12,1,12,1,-9,1,-36,1,-30,1,-18,1,-7,1,-5,1
