TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-16,1,-24,1,-8,1,20,1,-4,1,-16,1,7,1,-28,1,-42,1,-33,1,-7,1,-4,1
2,-14,1,-21,1,-7,1,17,1,-4,1,-14,1,7,1,-29,1,-43,1,-34,1,-9,1,-6,1
3,-16,1,-21,1,-5,1,18,1,-6,1,-13,1,8,1,-28,1,-43,1,-32,1,-8,1,-6,1
4,-15,1,-18,1,-3,1,16,1,-6,1,-11,1,9,1,-28,1,-43,1,-32,1,-8,1,-5,1
5,-12,1,-15,1,-3,1,13,1,-5,1,-9,1,8,1,-27,1,-42,1,-31,1,-7,1,-5,1
6,-12,1,-16,1,-4,1,14,1,-4,1,-10,1,8,1,-27,1,-41,1,-30,1,-7,1,-5,1
7,-13,1,-17,1,-4,1,15,1,-5,1,-11,1,9,1,-27,1,-42,1,-31,1,-8,1,-6,1
8,-13,1,-16,1,-3,1,14,1,-5,1,-10,1,10,1,-27,1,-41,1,-30,1,-7,1,-7,1
9,-13,1,-17,1,-4,1,15,1,-5,1,-11,1,12,1,-26,1,-39,1,-28,1,-6,1,-5,1
10,-12,1,-17,1,-5,1,14,1,-4,1,-11,1,11,1,-26,1,-40,1,-28,1,-6,1,-6,1
11,-14,1,-15,1,-1,1,14,1,-7,1,-8,1,11,1,-26,1,-41,1,-28,1,-6,1,-6,1
12,-15,1,-16,1,-1,1,15,1,-7,1,-9,1,10,1,-26,1,-40,1,-26,1,-6,1,-6,1
13,-13,1,-17,1,-4,1,15,1,-5,1,-11,1,5,1,-30,1,-44,1,-28,1,-9,1,-8,1
14,-11,1,-14,1,-3,1,12,1,-4,1,-9,1,4,1,-30,1,-43,1,-28,1,-7,1,-6,1
15,-11,1,-12,1,-1,1,11,1,-5,1,-7,1,5,1,-27,1,-40,1,-25,1,-3,1,-1,1
16,-9,1,-10,1,-1,1,9,1,-4,1,-6,1,5,1,-27,1,-39,1,-24,1,-2,1,-1,1
17,-7,1,-10,1,-3,1,8,1,-2,1,-7,1,3,1,-27,1,-37,1,-22,1,-2,1,0,1
18,-7,1,-9,1,-2,1,8,1,-3,1,-6,1,2,1,-27,1,-38,1,-22,1,-2,1,0,1
19,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,0,1,-27,1,-38,1,-22,1,-2,1,-1,1
20,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,0,1,-26,1,-37,1,-21,1,-2,1,0,1
21,-6,1,-11,1,-5,1,8,1,-1,1,-8,1,0,1,-25,1,-36,1,-19,1,-1,1,1,1
22,-2,1,-12,1,-10,1,7,1,4,1,-11,1,-2,1,-26,1,-37,1,-20,1,-2,1,0,1
23,-2,1,-9,1,-7,1,5,1,2,1,-8,1,-4,1,-28,1,-38,1,-21,1,-4,1,0,1
24,0,1,-12,1,-12,1,6,1,6,1,-12,1,-4,1,-30,1,-40,1,-24,1,-6,1,-1,1
25,0,1,-14,1,-14,1,7,1,7,1,-14,1,-4,1,-29,1,-42,1,-25,1,-6,1,-2,1
26,-4,1,-13,1,-9,1,8,1,2,1,-11,1,-2,1,-29,1,-40,1,-24,1,-5,1,-1,1
27,-4,1,-14,1,-10,1,9,1,3,1,-12,1,-1,1,-28,1,-40,1,-23,1,-5,1,-1,1
28,-1,1,-8,1,-7,1,4,1,3,1,-8,1,-2,1,-29,1,-40,1,-22,1,-6,1,-3,1
29,-2,1,-9,1,-7,1,5,1,2,1,-8,1,-1,1,-26,1,-37,1,-20,1,-4,1,-1,1
30,-2,1,-12,1,-10,1,7,1,4,1,-11,1,-2,1,-27,1,-38,1,-20,1,-5,1,-1,1
31,-2,1,-14,1,-12,1,8,1,5,1,-13,1,-2,1,-29,1,-39,1,-22,1,-8,1,-3,1
32,-1,1,-15,1,-14,1,8,1,6,1,-15,1,-1,1,-28,1,-39,1,-20,1,-7,1,-1,1
33,-2,1,-16,1,-14,1,9,1,6,1,-15,1,-1,1,-29,1,-39,1,-20,1,-8,1,-1,1
34,-1,1,-13,1,-12,1,7,1,5,1,-13,1,-2,1,-29,1,-41,1,-20,1,-9,1,-1,1
35,-3,1,-12,1,-9,1,7,1,3,1,-11,1,-2,1,-30,1,-40,1,-19,1,-8,1,0,1
36,-5,1,-11,1,-6,1,8,1,0,1,-9,1,-1,1,-29,1,-39,1,-17,1,-7,1,1,1
