TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,9,1,-2,1,-11,1,-3,1,10,1,-6,1,14,1,0,1,14,1,-10,1,-9,1,-16,1
2,9,1,-2,1,-11,1,-3,1,10,1,-6,1,15,1,0,1,16,1,-10,1,-8,1,-16,1
3,10,1,-1,1,-11,1,-4,1,10,1,-6,1,15,1,0,1,17,1,-10,1,-8,1,-16,1
4,9,1,-1,1,-10,1,-4,1,9,1,-5,1,15,1,0,1,18,1,-11,1,-9,1,-17,1
5,7,1,-1,1,-8,1,-3,1,7,1,-4,1,15,1,-2,1,18,1,-11,1,-9,1,-17,1
6,8,1,-1,1,-9,1,-3,1,8,1,-5,1,15,1,-2,1,19,1,-11,1,-10,1,-17,1
7,7,1,-1,1,-8,1,-3,1,7,1,-4,1,14,1,-2,1,20,1,-11,1,-10,1,-17,1
8,6,1,-2,1,-8,1,-2,1,7,1,-5,1,14,1,-3,1,19,1,-11,1,-9,1,-18,1
9,5,1,-3,1,-8,1,-1,1,6,1,-5,1,14,1,-3,1,20,1,-10,1,-9,1,-18,1
10,6,1,-3,1,-9,1,-1,1,7,1,-6,1,13,1,-3,1,22,1,-11,1,-9,1,-18,1
11,5,1,-2,1,-7,1,-1,1,6,1,-4,1,13,1,-3,1,22,1,-11,1,-10,1,-19,1
12,5,1,-2,1,-7,1,-1,1,6,1,-4,1,13,1,-2,1,23,1,-10,1,-9,1,-18,1
13,5,1,-2,1,-7,1,-1,1,6,1,-4,1,13,1,-1,1,24,1,-10,1,-9,1,-16,1
14,5,1,-3,1,-8,1,-1,1,6,1,-5,1,13,1,-1,1,25,1,-10,1,-9,1,-16,1
15,6,1,-2,1,-8,1,-2,1,7,1,-5,1,13,1,-1,1,24,1,-10,1,-8,1,-16,1
16,7,1,-2,1,-9,1,-2,1,8,1,-5,1,12,1,-1,1,23,1,-11,1,-8,1,-16,1
17,9,1,-1,1,-10,1,-4,1,9,1,-5,1,12,1,-1,1,24,1,-10,1,-7,1,-17,1
18,11,1,0,1,-11,1,-5,1,11,1,-5,1,12,1,-1,1,25,1,-8,1,-7,1,-16,1
19,9,1,1,1,-8,1,-5,1,9,1,-3,1,12,1,-1,1,24,1,-8,1,-8,1,-16,1
20,9,1,3,1,-6,1,-6,1,8,1,-1,1,12,1,-2,1,25,1,-6,1,-9,1,-15,1
21,9,1,6,1,-3,1,-7,1,6,1,2,1,12,1,-1,1,27,1,-5,1,-7,1,-14,1
22,10,1,10,1,0,1,-10,1,5,1,5,1,12,1,-1,1,27,1,-5,1,-6,1,-13,1
23,8,1,13,1,5,1,-10,1,2,1,9,1,10,1,-2,1,27,1,-5,1,-6,1,-13,1
24,6,1,13,1,7,1,-9,1,0,1,10,1,10,1,-2,1,27,1,-6,1,-6,1,-13,1
25,5,1,11,1,6,1,-8,1,0,1,9,1,9,1,-1,1,28,1,-6,1,-5,1,-12,1
26,2,1,10,1,8,1,-6,1,-3,1,9,1,8,1,-2,1,27,1,-6,1,-6,1,-13,1
27,2,1,11,1,9,1,-6,1,-3,1,10,1,7,1,-2,1,27,1,-5,1,-5,1,-13,1
28,5,1,13,1,8,1,-9,1,-1,1,11,1,5,1,-3,1,27,1,-5,1,-4,1,-12,1
29,7,1,13,1,6,1,-10,1,1,1,10,1,4,1,-4,1,26,1,-5,1,-5,1,-13,1
30,8,1,12,1,4,1,-10,1,2,1,8,1,3,1,-5,1,24,1,-6,1,-6,1,-14,1
31,8,1,8,1,0,1,-8,1,4,1,4,1,2,1,-6,1,25,1,-7,1,-7,1,-15,1
