TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-13,1,-16,1,-3,1,14,1,-5,1,-10,1,-3,1,-2,1,-9,1,-19,1,-14,1,-6,1
2,-14,1,-14,1,0,1,14,1,-7,1,-7,1,-5,1,-4,1,-11,1,-19,1,-14,1,-6,1
3,-14,1,-13,1,1,1,13,1,-8,1,-6,1,-5,1,-4,1,-11,1,-19,1,-14,1,-6,1
4,-14,1,-12,1,2,1,13,1,-8,1,-5,1,-5,1,-5,1,-12,1,-19,1,-14,1,-6,1
5,-13,1,-11,1,2,1,12,1,-8,1,-5,1,-5,1,-5,1,-12,1,-19,1,-14,1,-5,1
6,-13,1,-13,1,0,1,13,1,-7,1,-7,1,-5,1,-5,1,-12,1,-19,1,-14,1,-6,1
7,-13,1,-15,1,-2,1,14,1,-6,1,-9,1,-4,1,-4,1,-11,1,-19,1,-14,1,-5,1
8,-12,1,-16,1,-4,1,14,1,-4,1,-10,1,-4,1,-3,1,-11,1,-20,1,-14,1,-5,1
9,-12,1,-17,1,-5,1,14,1,-4,1,-11,1,-4,1,-3,1,-11,1,-20,1,-14,1,-6,1
10,-13,1,-19,1,-6,1,16,1,-4,1,-13,1,-4,1,-2,1,-10,1,-19,1,-13,1,-5,1
11,-14,1,-17,1,-3,1,15,1,-6,1,-10,1,-4,1,-2,1,-10,1,-19,1,-13,1,-6,1
12,-13,1,-14,1,-1,1,13,1,-6,1,-8,1,-4,1,-3,1,-11,1,-19,1,-14,1,-6,1
13,-12,1,-13,1,-1,1,12,1,-6,1,-7,1,-4,1,-3,1,-10,1,-18,1,-13,1,-6,1
14,-13,1,-12,1,1,1,12,1,-7,1,-6,1,-5,1,-4,1,-10,1,-18,1,-13,1,-7,1
15,-12,1,-10,1,2,1,11,1,-7,1,-4,1,-5,1,-4,1,-10,1,-19,1,-13,1,-7,1
16,-11,1,-9,1,2,1,10,1,-7,1,-4,1,-3,1,-3,1,-10,1,-18,1,-12,1,-6,1
17,-12,1,-12,1,0,1,12,1,-6,1,-6,1,-3,1,-3,1,-10,1,-18,1,-12,1,-5,1
18,-13,1,-12,1,1,1,12,1,-7,1,-6,1,-3,1,-2,1,-10,1,-18,1,-13,1,-5,1
19,-10,1,-12,1,-2,1,11,1,-4,1,-7,1,-3,1,-1,1,-10,1,-18,1,-13,1,-6,1
20,-10,1,-14,1,-4,1,12,1,-3,1,-9,1,-2,1,-1,1,-10,1,-18,1,-14,1,-6,1
21,-11,1,-14,1,-3,1,12,1,-4,1,-9,1,-3,1,-1,1,-10,1,-18,1,-14,1,-5,1
22,-12,1,-13,1,-1,1,12,1,-6,1,-7,1,-4,1,-2,1,-9,1,-18,1,-14,1,-6,1
23,-12,1,-11,1,1,1,11,1,-7,1,-5,1,-3,1,-2,1,-7,1,-17,1,-13,1,-5,1
24,-11,1,-9,1,2,1,10,1,-7,1,-4,1,-2,1,-2,1,-7,1,-17,1,-13,1,-4,1
25,-11,1,-7,1,4,1,9,1,-8,1,-2,1,-3,1,-2,1,-7,1,-18,1,-13,1,-4,1
26,-11,1,-7,1,4,1,9,1,-8,1,-2,1,-2,1,0,1,-6,1,-16,1,-11,1,-4,1
27,-10,1,-7,1,3,1,8,1,-7,1,-2,1,-1,1,1,1,-5,1,-15,1,-11,1,-4,1
28,-9,1,-8,1,1,1,8,1,-5,1,-4,1,-2,1,1,1,-5,1,-15,1,-11,1,-2,1
29,-8,1,-7,1,1,1,7,1,-5,1,-3,1,-2,1,2,1,-4,1,-14,1,-10,1,-2,1
30,-7,1,-8,1,-1,1,7,1,-3,1,-5,1,-1,1,3,1,-2,1,-12,1,-9,1,-1,1
31,-7,1,-6,1,1,1,6,1,-4,1,-3,1,-1,1,3,1,-2,1,-11,1,-8,1,-1,1
32,-7,1,-4,1,3,1,5,1,-5,1,-1,1,-1,1,3,1,-1,1,-10,1,-7,1,-1,1
33,-7,1,-4,1,3,1,5,1,-5,1,-1,1,0,1,3,1,-1,1,-10,1,-6,1,-1,1
34,-6,1,-3,1,3,1,4,1,-5,1,0,1,0,1,4,1,-1,1,-10,1,-5,1,0,1
35,-6,1,-1,1,5,1,3,1,-6,1,2,1,0,1,3,1,-1,1,-10,1,-5,1,0,1
36,-5,1,-2,1,3,1,3,1,-4,1,0,1,0,1,4,1,-1,1,-9,1,-4,1,0,1
37,-3,1,-4,1,-1,1,3,1,-1,1,-3,1,0,1,6,1,-1,1,-7,1,-3,1,1,1
38,-2,1,-4,1,-2,1,3,1,0,1,-3,1,-1,1,6,1,-1,1,-7,1,-3,1,2,1
39,0,1,-4,1,-4,1,2,1,2,1,-4,1,-2,1,6,1,0,1,-6,1,-2,1,3,1
40,1,1,-5,1,-6,1,2,1,3,1,-5,1,-2,1,6,1,0,1,-5,1,-1,1,4,1
41,1,1,-3,1,-4,1,1,1,2,1,-3,1,-5,1,5,1,0,1,-6,1,-1,1,4,1
42,3,1,0,1,-3,1,-1,1,3,1,-1,1,-7,1,2,1,-1,1,-7,1,-1,1,4,1
43,4,1,1,1,-3,1,-2,1,4,1,-1,1,-9,1,0,1,-2,1,-7,1,-1,1,4,1
44,4,1,3,1,-1,1,-3,1,3,1,1,1,-12,1,-1,1,-2,1,-6,1,-1,1,5,1
45,5,1,5,1,0,1,-5,1,3,1,3,1,-14,1,-3,1,-3,1,-7,1,-1,1,5,1
46,4,1,4,1,0,1,-4,1,2,1,2,1,-15,1,-4,1,-3,1,-7,1,-1,1,5,1
47,3,1,1,1,-2,1,-2,1,3,1,0,1,-15,1,-4,1,-3,1,-8,1,-1,1,5,1
48,2,1,1,1,-1,1,-1,1,2,1,0,1,-16,1,-5,1,-4,1,-9,1,-1,1,5,1
49,1,1,0,1,-1,1,0,1,1,1,0,1,-16,1,-7,1,-5,1,-10,1,-1,1,5,1
50,1,1,-2,1,-3,1,0,1,2,1,-2,1,-15,1,-7,1,-5,1,-10,1,-1,1,5,1
51,1,1,-1,1,-2,1,0,1,1,1,-1,1,-15,1,-8,1,-6,1,-11,1,-2,1,5,1
52,1,1,0,1,-1,1,0,1,1,1,0,1,-15,1,-9,1,-7,1,-13,1,-3,1,3,1
53,1,1,-3,1,-4,1,1,1,2,1,-3,1,-14,1,-7,1,-8,1,-13,1,-4,1,3,1
54,1,1,-4,1,-5,1,1,1,3,1,-4,1,-14,1,-7,1,-9,1,-13,1,-5,1,2,1
55,1,1,-4,1,-5,1,1,1,3,1,-4,1,-15,1,-7,1,-11,1,-14,1,-6,1,0,1
56,-1,1,-7,1,-6,1,4,1,2,1,-7,1,-14,1,-8,1,-13,1,-16,1,-8,1,0,1
57,-3,1,-11,1,-8,1,7,1,2,1,-10,1,-12,1,-8,1,-13,1,-16,1,-9,1,-1,1
