LabelType,Lead,StartX,StartY,EndX,EndY,Author,CreateDate
P0,II,32,0,92,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,488,0,548,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,943,0,1003,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,1389,0,1449,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,1851,0,1911,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,2318,0,2378,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,2783,0,2843,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,3229,0,3289,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,3691,0,3751,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,4162,0,4222,0,SYSTEM,2025-02-28 6:59:24 PM
P0,II,4616,0,4676,0,SYSTEM,2025-02-28 6:59:24 PM
