TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,0,1,25,1,25,1,-12,1,-12,1,25,1,-11,1,-36,1,-48,1,-26,1,-34,1,-31,1
2,1,1,27,1,26,1,-14,1,-12,1,27,1,-12,1,-35,1,-48,1,-27,1,-34,1,-31,1
3,1,1,28,1,27,1,-14,1,-13,1,28,1,-11,1,-36,1,-47,1,-27,1,-34,1,-31,1
4,3,1,27,1,24,1,-15,1,-10,1,26,1,-12,1,-36,1,-48,1,-26,1,-32,1,-28,1
5,5,1,28,1,23,1,-16,1,-9,1,26,1,-12,1,-36,1,-47,1,-26,1,-30,1,-26,1
6,3,1,29,1,26,1,-16,1,-11,1,28,1,-11,1,-36,1,-46,1,-25,1,-30,1,-26,1
7,6,1,29,1,23,1,-17,1,-8,1,26,1,-10,1,-35,1,-46,1,-24,1,-30,1,-26,1
8,5,1,32,1,27,1,-18,1,-11,1,30,1,-7,1,-32,1,-45,1,-23,1,-30,1,-26,1
9,9,1,34,1,25,1,-21,1,-8,1,30,1,-6,1,-32,1,-46,1,-22,1,-30,1,-26,1
10,11,1,37,1,26,1,-24,1,-7,1,32,1,-4,1,-31,1,-44,1,-21,1,-29,1,-26,1
11,10,1,41,1,31,1,-25,1,-10,1,36,1,-3,1,-30,1,-43,1,-21,1,-28,1,-25,1
12,10,1,40,1,30,1,-25,1,-10,1,35,1,-2,1,-29,1,-41,1,-18,1,-27,1,-24,1
13,11,1,39,1,28,1,-25,1,-8,1,34,1,-3,1,-29,1,-40,1,-19,1,-26,1,-24,1
14,12,1,37,1,25,1,-24,1,-6,1,31,1,-5,1,-30,1,-41,1,-21,1,-27,1,-23,1
15,12,1,37,1,25,1,-24,1,-6,1,31,1,-5,1,-32,1,-43,1,-21,1,-28,1,-25,1
16,14,1,35,1,21,1,-24,1,-3,1,28,1,-6,1,-32,1,-44,1,-20,1,-27,1,-25,1
17,14,1,34,1,20,1,-24,1,-3,1,27,1,-5,1,-32,1,-44,1,-20,1,-26,1,-25,1
18,15,1,36,1,21,1,-25,1,-3,1,29,1,-5,1,-30,1,-40,1,-19,1,-24,1,-24,1
19,19,1,36,1,17,1,-27,1,1,1,27,1,-5,1,-30,1,-39,1,-18,1,-24,1,-24,1
20,22,1,38,1,16,1,-30,1,3,1,27,1,-5,1,-29,1,-37,1,-16,1,-22,1,-21,1
21,23,1,41,1,18,1,-32,1,3,1,30,1,-9,1,-29,1,-38,1,-16,1,-21,1,-19,1
22,25,1,42,1,17,1,-33,1,4,1,30,1,-9,1,-27,1,-36,1,-15,1,-20,1,-18,1
23,26,1,40,1,14,1,-33,1,6,1,27,1,-10,1,-29,1,-38,1,-15,1,-21,1,-19,1
24,25,1,39,1,14,1,-32,1,6,1,27,1,-12,1,-27,1,-36,1,-15,1,-19,1,-18,1
25,28,1,40,1,12,1,-34,1,8,1,26,1,-16,1,-30,1,-38,1,-15,1,-20,1,-19,1
26,27,1,39,1,12,1,-33,1,8,1,26,1,-19,1,-33,1,-39,1,-17,1,-21,1,-20,1
27,24,1,37,1,13,1,-30,1,6,1,25,1,-19,1,-37,1,-42,1,-19,1,-23,1,-22,1
28,24,1,36,1,12,1,-30,1,6,1,24,1,-18,1,-37,1,-42,1,-19,1,-25,1,-23,1
29,25,1,34,1,9,1,-29,1,8,1,22,1,-18,1,-36,1,-42,1,-19,1,-24,1,-23,1
30,28,1,34,1,6,1,-31,1,11,1,20,1,-16,1,-32,1,-39,1,-17,1,-23,1,-21,1
31,29,1,34,1,5,1,-31,1,12,1,20,1,-13,1,-30,1,-37,1,-15,1,-21,1,-21,1
32,29,1,34,1,5,1,-31,1,12,1,20,1,-13,1,-28,1,-36,1,-15,1,-21,1,-19,1
33,30,1,37,1,7,1,-33,1,12,1,22,1,-13,1,-27,1,-34,1,-13,1,-19,1,-17,1
34,32,1,37,1,5,1,-34,1,14,1,21,1,-15,1,-30,1,-36,1,-14,1,-19,1,-18,1
35,31,1,33,1,2,1,-32,1,15,1,18,1,-15,1,-30,1,-36,1,-14,1,-19,1,-18,1
36,33,1,34,1,1,1,-33,1,16,1,18,1,-15,1,-30,1,-35,1,-12,1,-18,1,-18,1
37,32,1,32,1,0,1,-32,1,16,1,16,1,-14,1,-29,1,-34,1,-12,1,-18,1,-18,1
38,32,1,30,1,-2,1,-31,1,17,1,14,1,-14,1,-29,1,-35,1,-14,1,-20,1,-18,1
39,32,1,30,1,-2,1,-31,1,17,1,14,1,-13,1,-28,1,-35,1,-13,1,-19,1,-16,1
40,31,1,32,1,1,1,-31,1,15,1,17,1,-12,1,-27,1,-34,1,-12,1,-18,1,-16,1
41,31,1,30,1,-1,1,-30,1,16,1,15,1,-10,1,-27,1,-31,1,-11,1,-17,1,-15,1
42,27,1,29,1,2,1,-28,1,13,1,16,1,-10,1,-27,1,-32,1,-12,1,-17,1,-15,1
43,25,1,28,1,3,1,-26,1,11,1,16,1,-11,1,-30,1,-34,1,-15,1,-20,1,-17,1
44,22,1,25,1,3,1,-23,1,10,1,14,1,-10,1,-28,1,-33,1,-15,1,-20,1,-18,1
45,24,1,26,1,2,1,-25,1,11,1,14,1,-9,1,-27,1,-34,1,-14,1,-18,1,-17,1
46,21,1,26,1,5,1,-23,1,8,1,16,1,-6,1,-26,1,-32,1,-13,1,-19,1,-16,1
47,20,1,21,1,1,1,-20,1,10,1,11,1,-6,1,-27,1,-35,1,-15,1,-22,1,-19,1
48,18,1,18,1,0,1,-18,1,9,1,9,1,-5,1,-28,1,-37,1,-18,1,-24,1,-21,1
49,12,1,13,1,1,1,-12,1,6,1,7,1,-6,1,-30,1,-38,1,-20,1,-26,1,-23,1
50,13,1,15,1,2,1,-14,1,6,1,9,1,-6,1,-29,1,-38,1,-21,1,-26,1,-23,1
51,17,1,16,1,-1,1,-16,1,9,1,8,1,-5,1,-29,1,-36,1,-20,1,-25,1,-23,1
52,17,1,13,1,-4,1,-15,1,11,1,5,1,-6,1,-30,1,-38,1,-21,1,-25,1,-22,1
53,15,1,13,1,-2,1,-14,1,9,1,6,1,-7,1,-32,1,-40,1,-22,1,-26,1,-23,1
54,14,1,15,1,1,1,-14,1,7,1,8,1,-8,1,-33,1,-40,1,-23,1,-26,1,-23,1
55,14,1,13,1,-1,1,-13,1,8,1,6,1,-6,1,-31,1,-39,1,-23,1,-26,1,-23,1
56,15,1,12,1,-3,1,-13,1,9,1,5,1,-7,1,-32,1,-38,1,-22,1,-25,1,-23,1
57,15,1,16,1,1,1,-15,1,7,1,9,1,-9,1,-33,1,-40,1,-25,1,-27,1,-25,1
58,16,1,20,1,4,1,-18,1,6,1,12,1,-9,1,-34,1,-39,1,-23,1,-27,1,-26,1
59,16,1,17,1,1,1,-16,1,8,1,9,1,-7,1,-32,1,-38,1,-21,1,-26,1,-23,1
60,17,1,15,1,-2,1,-16,1,10,1,7,1,-3,1,-30,1,-36,1,-19,1,-24,1,-21,1
61,19,1,18,1,-1,1,-18,1,10,1,9,1,-3,1,-28,1,-36,1,-19,1,-24,1,-21,1
62,22,1,21,1,-1,1,-21,1,12,1,10,1,-5,1,-30,1,-37,1,-19,1,-24,1,-21,1
63,22,1,24,1,2,1,-23,1,10,1,13,1,-5,1,-30,1,-36,1,-19,1,-22,1,-20,1
64,21,1,20,1,-1,1,-20,1,11,1,10,1,-5,1,-29,1,-35,1,-18,1,-21,1,-19,1
65,22,1,22,1,0,1,-22,1,11,1,11,1,-5,1,-29,1,-34,1,-18,1,-21,1,-19,1
66,21,1,23,1,2,1,-22,1,10,1,13,1,-4,1,-29,1,-34,1,-19,1,-23,1,-20,1
67,20,1,18,1,-2,1,-19,1,11,1,8,1,-5,1,-31,1,-36,1,-20,1,-25,1,-21,1
68,20,1,19,1,-1,1,-19,1,11,1,9,1,-6,1,-31,1,-36,1,-21,1,-25,1,-22,1
69,20,1,20,1,0,1,-20,1,10,1,10,1,-5,1,-30,1,-35,1,-20,1,-25,1,-21,1
70,19,1,17,1,-2,1,-18,1,11,1,8,1,-5,1,-29,1,-35,1,-20,1,-24,1,-22,1
71,18,1,17,1,-1,1,-17,1,10,1,8,1,-5,1,-30,1,-35,1,-19,1,-23,1,-22,1
72,18,1,17,1,-1,1,-17,1,10,1,8,1,-6,1,-30,1,-35,1,-19,1,-22,1,-22,1
73,15,1,17,1,2,1,-16,1,7,1,10,1,-7,1,-31,1,-35,1,-20,1,-23,1,-22,1
74,15,1,15,1,0,1,-15,1,8,1,8,1,-6,1,-30,1,-35,1,-21,1,-24,1,-23,1
75,10,1,15,1,5,1,-12,1,3,1,10,1,0,1,-24,1,-32,1,-18,1,-23,1,-23,1
76,8,1,15,1,7,1,-11,1,1,1,11,1,9,1,-15,1,-28,1,-18,1,-24,1,-25,1
77,9,1,16,1,7,1,-12,1,1,1,12,1,14,1,-8,1,-25,1,-17,1,-23,1,-26,1
78,11,1,17,1,6,1,-14,1,3,1,12,1,19,1,0,1,-18,1,-11,1,-20,1,-23,1
79,15,1,17,1,2,1,-16,1,7,1,10,1,24,1,13,1,-6,1,-3,1,-15,1,-18,1
80,22,1,15,1,-7,1,-18,1,15,1,4,1,34,1,33,1,10,1,9,1,-6,1,-12,1
81,26,1,16,1,-10,1,-21,1,18,1,3,1,49,1,59,1,32,1,25,1,4,1,-4,1
82,34,1,22,1,-12,1,-28,1,23,1,5,1,57,1,84,1,59,1,46,1,22,1,8,1
83,46,1,34,1,-12,1,-40,1,29,1,11,1,65,1,110,1,89,1,72,1,41,1,24,1
84,59,1,43,1,-16,1,-51,1,38,1,14,1,66,1,130,1,119,1,101,1,63,1,40,1
85,75,1,56,1,-19,1,-65,1,47,1,19,1,51,1,140,1,147,1,130,1,88,1,61,1
86,90,1,75,1,-15,1,-82,1,53,1,30,1,22,1,138,1,172,1,160,1,114,1,85,1
87,105,1,93,1,-12,1,-99,1,59,1,41,1,-12,1,125,1,190,1,184,1,138,1,108,1
88,119,1,118,1,-1,1,-118,1,60,1,59,1,-56,1,90,1,190,1,199,1,158,1,130,1
89,134,1,145,1,11,1,-139,1,62,1,78,1,-103,1,49,1,183,1,209,1,176,1,150,1
90,136,1,149,1,13,1,-142,1,62,1,81,1,-130,1,16,1,176,1,211,1,183,1,158,1
91,127,1,144,1,17,1,-135,1,55,1,81,1,-147,1,-12,1,165,1,205,1,181,1,158,1
92,112,1,124,1,12,1,-118,1,50,1,68,1,-152,1,-33,1,145,1,183,1,160,1,141,1
93,94,1,97,1,3,1,-95,1,46,1,50,1,-156,1,-62,1,102,1,139,1,120,1,109,1
94,70,1,78,1,8,1,-74,1,31,1,43,1,-159,1,-107,1,40,1,80,1,74,1,75,1
95,46,1,59,1,13,1,-52,1,17,1,36,1,-162,1,-150,1,-24,1,22,1,29,1,41,1
96,19,1,35,1,16,1,-27,1,2,1,26,1,-164,1,-192,1,-88,1,-33,1,-12,1,7,1
97,1,1,16,1,15,1,-8,1,-7,1,16,1,-177,1,-237,1,-148,1,-80,1,-46,1,-20,1
98,-15,1,0,1,15,1,7,1,-15,1,7,1,-187,1,-267,1,-193,1,-116,1,-71,1,-39,1
99,-30,1,-16,1,14,1,23,1,-22,1,-1,1,-188,1,-279,1,-220,1,-139,1,-90,1,-56,1
100,-36,1,-23,1,13,1,29,1,-25,1,-5,1,-188,1,-275,1,-225,1,-148,1,-100,1,-66,1
101,-38,1,-25,1,13,1,31,1,-26,1,-6,1,-182,1,-265,1,-221,1,-148,1,-103,1,-71,1
102,-40,1,-26,1,14,1,33,1,-27,1,-6,1,-177,1,-252,1,-212,1,-146,1,-105,1,-75,1
103,-44,1,-33,1,11,1,38,1,-28,1,-11,1,-169,1,-236,1,-203,1,-144,1,-108,1,-79,1
104,-48,1,-32,1,16,1,40,1,-32,1,-8,1,-158,1,-219,1,-192,1,-139,1,-106,1,-81,1
105,-51,1,-26,1,25,1,38,1,-38,1,-1,1,-140,1,-195,1,-170,1,-123,1,-97,1,-76,1
106,-47,1,-14,1,33,1,30,1,-40,1,9,1,-119,1,-169,1,-148,1,-106,1,-85,1,-68,1
107,-39,1,-3,1,36,1,21,1,-38,1,16,1,-101,1,-146,1,-128,1,-90,1,-74,1,-59,1
108,-34,1,1,1,35,1,16,1,-34,1,18,1,-82,1,-122,1,-107,1,-74,1,-61,1,-49,1
109,-30,1,5,1,35,1,12,1,-32,1,20,1,-61,1,-97,1,-86,1,-58,1,-49,1,-38,1
110,-23,1,9,1,32,1,7,1,-27,1,20,1,-45,1,-76,1,-68,1,-44,1,-38,1,-32,1
111,-17,1,8,1,25,1,4,1,-21,1,16,1,-35,1,-60,1,-56,1,-36,1,-33,1,-29,1
112,-14,1,6,1,20,1,4,1,-17,1,13,1,-26,1,-50,1,-49,1,-33,1,-32,1,-28,1
