TS,Reading
1,-0.5
2,-0.1
3,-0.1
4,-0.2
5,-0.3
6,-0.3
7,-0.3
8,-0.3
9,-0.4
10,-0.4
11,-0.4
12,-0.4
13,-0.4
14,-0.3
15,-0.1
16,-0.2
17,-0.4
18,-0.4
19,-0.6
20,-0.5
21,-0.3
22,-0.2
23,-0.4
24,-0.5
25,-0.4
26,-0.4
27,-0.3
28,-0.2
29,-0.2
30,-0.3
31,-0.6
32,-0.5
33,-0.5
34,-0.5
35,-0.3
36,-0.4
37,-0.1
38,-0.1
39,-0.4
40,-0.4
41,-0.5
42,-0.6
43,-0.6
44,-0.7
45,-0.5
46,-0.3
47,0
48,0.2
49,0.2
50,0.2
51,0.3
52,0.3
53,0.2
54,0
55,0
56,0.3
57,0.1
58,0.2
59,0.5
60,0.6
61,0.6
62,0.6
63,0.1
64,0
65,0
66,0
67,0
68,-0.2
69,-0.5
70,-0.7
71,-0.9
72,-0.9
73,-0.8
74,-0.8
75,-0.8
76,-1
77,-0.8
78,-0.8
79,-1
80,-1.1
81,-1
82,-1.1
83,-0.9
84,-0.7
85,-0.7
86,-0.8
87,-0.8
88,-0.7
89,-0.6
90,-0.6
91,-0.5
92,-0.4
93,-0.3
94,-0.6
95,-0.7
96,-0.4
97,-0.4
98,-0.5
99,-0.7
100,-0.7
101,-0.9
102,-0.9
103,-0.8
104,-0.8
105,-0.8
106,-0.8
107,-0.7
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.6
114,-0.7
115,-0.6
116,-0.4
117,-0.4
118,-0.4
119,-0.1
120,0.4
121,1.1
122,1.8
123,2.1
124,2.2
125,2.2
126,1.8
127,1.8
128,1.4
129,0.1
130,-1.5
131,-3.5
132,-5.5
133,-7.4
134,-9.3
135,-10.9
136,-12.9
137,-15
138,-16.8
139,-17.9
140,-18.3
141,-18.4
142,-18.4
143,-18.4
144,-18.2
145,-17.7
146,-17
147,-16
148,-14.9
149,-13.4
150,-11.7
151,-9.5
152,-7.7
153,-6.4
154,-5.4
155,-4.6
156,-3.8
157,-3.1
158,-2.5
159,-1.8
160,-1.4
161,-0.9
162,-0.7
163,-0.6
164,-0.6
165,-0.4
166,-0.4
167,-0.4
168,-0.2
169,0
170,0.1
171,0
172,0
173,0.1
174,0.1
175,0.2
176,0.4
177,0.3
178,0.1
179,0.1
180,0.2
181,0.3
182,0.3
183,0.5
184,0.4
185,0.4
186,0.3
187,0.1
188,0.2
189,0.5
190,0.6
191,0.5
192,0.7
193,0.7
194,0.6
195,0.8
196,0.6
197,0.6
198,0.7
199,0.8
200,0.8
201,0.7
202,0.6
203,0.7
204,0.8
205,0.9
206,0.9
207,0.9
208,1.2
209,1.3
210,1.1
211,1.2
212,1.3
213,1.2
214,0.9
215,0.8
216,1.1
217,1.2
218,1.1
219,1.2
220,1.3
221,1.3
222,1.2
223,1.2
224,1.1
225,1.2
226,1.1
227,1.1
228,1.3
229,1.5
230,1.6
231,1.5
232,1.5
233,1.6
234,1.4
235,1.5
236,1.6
237,1.8
238,1.8
239,1.7
240,1.7
241,1.7
242,1.7
243,1.6
244,1.6
245,1.8
246,1.8
247,1.8
248,2.1
249,2.4
250,2.5
251,2.5
252,2.3
253,2.1
254,2.1
255,2.2
256,2.2
257,2.1
258,1.9
259,1.9
260,1.8
261,1.8
262,2
263,2.1
264,1.9
265,1.7
266,1.7
267,1.7
268,1.7
269,1.7
270,1.6
271,1.4
272,1.5
273,1.4
274,1.3
275,1.3
276,1.2
277,1.1
278,1.1
279,1.2
280,1.2
281,1.3
282,1.2
283,1.2
284,1
285,1
286,0.9
287,0.8
288,0.6
289,0.8
290,0.9
291,0.9
292,1
293,0.9
294,0.6
295,0.6
296,0.8
297,0.8
298,0.6
299,0.5
300,0.6
301,0.8
302,0.8
303,0.8
304,0.8
305,0.6
306,0.4
307,0.3
308,0.3
309,0.4
310,0.5
311,0.7
312,0.7
313,0.4
314,0.2
315,0.1
316,0.2
317,0.3
318,0.2
319,0
320,-0.1
321,0
322,0.1
323,0
324,0.1
325,0.3
326,0.4
327,0.5
328,0.3
329,0.1
330,-0.1
331,-0.1
332,-0.2
333,-0.2
334,-0.1
335,0
336,0
337,0.1
338,0
339,0.1
340,-0.1
341,-0.2
342,-0.1
343,-0.3
344,-0.2
345,-0.2
346,-0.2
347,-0.1
348,0
349,-0.1
350,-0.1
351,-0.1
352,-0.2
353,0
354,0
355,0
356,0
357,0.2
358,0
359,0
360,0
361,0
362,0
363,-0.1
364,-0.3
365,-0.2
366,-0.1
367,-0.2
368,-0.1
369,-0.2
370,-0.2
371,-0.1
372,-0.2
373,-0.2
374,-0.3
375,-0.3
376,-0.2
377,-0.1
378,0.1
379,0
380,0
381,0.1
382,0.1
383,0.2
384,0.2
385,0
386,-0.1
387,0
388,0.1
389,0
390,0
391,-0.1
392,0
393,0
394,-0.1
395,-0.1
396,-0.3
397,-0.3
398,-0.2
399,-0.1
400,0
401,-0.1
402,-0.3
403,-0.3
404,-0.3
405,-0.3
406,-0.1
407,-0.2
408,-0.3
409,-0.3
410,-0.3
411,-0.3
412,-0.2
413,-0.2
414,-0.3
415,-0.5
416,-0.4
417,-0.4
418,-0.4
419,-0.2
420,0
421,0
422,-0.1
423,-0.1
424,-0.2
425,-0.4
426,-0.2
427,-0.4
428,-0.4
429,-0.3
430,-0.2
431,-0.4
432,-0.4
433,-0.6
434,-0.8
435,-0.7
436,-0.6
437,-0.5
438,-0.5
439,-0.4
440,-0.3
441,-0.4
442,-0.6
443,-0.6
444,-0.6
445,-0.6
446,-0.4
447,-0.3
448,-0.3
449,-0.5
450,-0.7
451,-0.6
452,-0.4
453,-0.4
454,-0.5
455,-0.6
456,-0.6
457,-0.5
458,-0.7
459,-1
460,-1
461,-0.9
462,-0.7
463,-0.5
464,-0.5
465,-0.5
466,-0.3
467,-0.3
468,-0.5
469,-0.6
470,-0.7
471,-0.7
472,-0.7
473,-0.7
474,-0.9
475,-0.9
476,-0.8
477,-0.7
478,-0.7
479,-0.9
480,-1
481,-0.9
482,-0.8
483,-0.9
484,-0.7
485,-0.7
486,-0.7
487,-0.8
488,-0.7
489,-0.6
490,-0.7
491,-0.6
492,-0.6
493,-0.6
494,-0.7
