TS,Reading
1,-2.6
2,-2.3
3,-2.4
4,-2.3
5,-2.3
6,-2.3
7,-2.3
8,-2.3
9,-2.3
10,-2.5
11,-2.5
12,-2.5
13,-2.5
14,-2.4
15,-2.3
16,-2.2
17,-2.4
18,-2.4
19,-2.6
20,-2.6
21,-2.5
22,-2.3
23,-2.6
24,-2.8
25,-2.7
26,-2.8
27,-2.7
28,-2.6
29,-2.5
30,-2.6
31,-2.8
32,-2.8
33,-2.7
34,-2.8
35,-2.7
36,-2.7
37,-2.5
38,-2.5
39,-2.5
40,-2.5
41,-2.6
42,-2.7
43,-2.7
44,-2.7
45,-2.6
46,-2.4
47,-2.1
48,-1.9
49,-1.9
50,-2
51,-1.9
52,-2
53,-2.1
54,-2.4
55,-2.3
56,-2
57,-1.9
58,-1.9
59,-1.6
60,-1.5
61,-1.4
62,-1.3
63,-1.8
64,-1.9
65,-1.8
66,-1.8
67,-1.6
68,-1.6
69,-1.6
70,-1.7
71,-1.7
72,-1.8
73,-1.8
74,-1.8
75,-2
76,-2.3
77,-2.2
78,-2.2
79,-2.3
80,-2.5
81,-2.4
82,-2.5
83,-2.4
84,-2.4
85,-2.3
86,-2.4
87,-2.5
88,-2.4
89,-2.5
90,-2.6
91,-2.7
92,-2.8
93,-2.8
94,-3
95,-3.1
96,-2.9
97,-2.9
98,-3
99,-3.1
100,-3.3
101,-3.4
102,-3.3
103,-3.2
104,-3.4
105,-3.5
106,-3.5
107,-3.4
108,-3.2
109,-3.2
110,-3.2
111,-3.1
112,-3.2
113,-3.4
114,-3.4
115,-3.3
116,-3.2
117,-3.5
118,-3.7
119,-3.9
120,-3.7
121,-3.1
122,-2.1
123,-0.8
124,1
125,3.5
126,6.5
127,9.1
128,10.8
129,12.3
130,14.9
131,17.2
132,17.3
133,16.5
134,14.8
135,13.1
136,9.5
137,4.9
138,0.2
139,-5.2
140,-11.9
141,-18.2
142,-22
143,-23.9
144,-24.7
145,-25
146,-24.6
147,-23.6
148,-22
149,-20.1
150,-18.1
151,-15.7
152,-13.2
153,-11
154,-9.5
155,-8.2
156,-7
157,-6
158,-5.1
159,-4.3
160,-3.8
161,-3.4
162,-3.3
163,-3.2
164,-3.2
165,-2.9
166,-2.9
167,-2.8
168,-2.7
169,-2.4
170,-2.4
171,-2.5
172,-2.4
173,-2.4
174,-2.5
175,-2.2
176,-1.9
177,-2
178,-2.2
179,-2.2
180,-2.1
181,-2
182,-1.9
183,-1.8
184,-1.7
185,-1.6
186,-1.5
187,-1.8
188,-1.7
189,-1.4
190,-1.3
191,-1.4
192,-1.2
193,-1.2
194,-1.3
195,-1.3
196,-1.3
197,-1.2
198,-1
199,-0.9
200,-0.8
201,-0.9
202,-0.9
203,-0.9
204,-0.7
205,-0.6
206,-0.6
207,-0.4
208,-0.1
209,0
210,-0.1
211,-0.1
212,0
213,0
214,-0.1
215,0
216,0.2
217,0.3
218,0.3
219,0.5
220,0.5
221,0.5
222,0.4
223,0.5
224,0.6
225,0.7
226,0.7
227,0.7
228,1
229,1.4
230,1.5
231,1.4
232,1.4
233,1.6
234,1.6
235,1.6
236,1.9
237,2.2
238,2.3
239,2.2
240,2.2
241,2.3
242,2.4
243,2.4
244,2.6
245,2.9
246,3
247,3.1
248,3.5
249,3.9
250,4
251,4.1
252,4
253,3.9
254,4.1
255,4.5
256,4.6
257,4.6
258,4.5
259,4.8
260,4.8
261,4.8
262,5.1
263,5.1
264,5
265,5
266,5.1
267,5.2
268,5.3
269,5.3
270,5.3
271,5.3
272,5.3
273,5.3
274,5.2
275,5.2
276,5.3
277,5.2
278,5.1
279,4.9
280,5
