TS,Reading
1,-2.9
2,-2.6
3,-2.6
4,-2.6
5,-2.6
6,-2.6
7,-2.6
8,-2.6
9,-2.7
10,-2.7
11,-2.7
12,-2.7
13,-2.7
14,-2.6
15,-2.4
16,-2.5
17,-2.7
18,-2.7
19,-2.8
20,-2.8
21,-2.6
22,-2.4
23,-2.6
24,-2.8
25,-2.7
26,-2.8
27,-2.9
28,-2.7
29,-2.6
30,-2.6
31,-2.8
32,-2.8
33,-2.8
34,-2.8
35,-2.8
36,-2.8
37,-2.6
38,-2.6
39,-2.6
40,-2.6
41,-2.8
42,-2.9
43,-2.8
44,-3
45,-2.9
46,-2.6
47,-2.2
48,-2
49,-2
50,-1.9
51,-1.9
52,-1.9
53,-2
54,-2.3
55,-2.1
56,-2
57,-2
58,-1.9
59,-1.7
60,-1.6
61,-1.4
62,-1.4
63,-1.7
64,-1.7
65,-1.7
66,-1.7
67,-1.5
68,-1.5
69,-1.5
70,-1.5
71,-1.5
72,-1.5
73,-1.5
74,-1.6
75,-1.8
76,-2.1
77,-2.1
78,-2.1
79,-2.2
80,-2.2
81,-2.1
82,-2.3
83,-2.3
84,-2.2
85,-2.2
86,-2.3
87,-2.4
88,-2.3
89,-2.3
90,-2.5
91,-2.6
92,-2.5
93,-2.5
94,-2.7
95,-2.9
96,-2.7
97,-2.7
98,-2.8
99,-3
100,-3
101,-3.2
102,-3
103,-3
104,-3.1
105,-3.1
106,-3.1
107,-3.1
108,-3
109,-2.9
110,-2.9
111,-2.8
112,-2.8
113,-2.9
114,-2.9
115,-2.9
116,-2.8
117,-3.1
118,-3.3
119,-3.3
120,-2.9
121,-2.1
122,-1.1
123,0.1
124,1.8
125,4.1
126,7
127,9.5
128,11.2
129,13
130,16.3
131,19.4
132,20.3
133,20.1
134,19
135,17.5
136,13.5
137,8.7
138,3.6
139,-2
140,-9.2
141,-16.3
142,-20.8
143,-22.9
144,-23.7
145,-24.2
146,-24.2
147,-23.4
148,-21.9
149,-20
150,-17.9
151,-15.2
152,-12.6
153,-10.6
154,-8.9
155,-7.7
156,-6.7
157,-5.6
158,-4.8
159,-4
160,-3.5
161,-3
162,-2.8
163,-2.7
164,-2.8
165,-2.5
166,-2.6
167,-2.6
168,-2.4
169,-2.1
170,-2.1
171,-2.1
172,-2.1
173,-2.1
174,-2.1
175,-1.8
176,-1.6
177,-1.8
178,-2
179,-1.9
180,-1.7
181,-1.6
182,-1.7
183,-1.4
184,-1.4
185,-1.5
186,-1.4
187,-1.7
188,-1.6
189,-1.3
190,-1.3
191,-1.2
192,-1
193,-1.1
194,-1.2
195,-1.1
196,-1.1
197,-1.1
198,-1
199,-0.8
200,-0.8
201,-1
202,-1
203,-0.9
204,-0.7
205,-0.6
206,-0.6
207,-0.4
208,0
209,0
210,-0.2
211,-0.1
212,0.1
213,0.1
214,0
215,0
216,0.2
217,0.3
218,0.3
219,0.3
220,0.3
221,0.4
222,0.3
223,0.5
224,0.6
225,0.6
226,0.7
227,0.6
228,0.9
229,1.3
230,1.4
231,1.2
232,1.3
233,1.5
234,1.5
235,1.5
236,1.7
237,1.9
238,2
239,2
240,2
241,2.1
242,2.1
243,2.2
244,2.5
245,2.7
246,2.8
247,2.9
248,3.3
249,3.6
250,3.7
251,3.8
252,3.7
253,3.7
254,3.8
255,4.2
256,4.3
257,4.3
258,4.1
259,4.4
260,4.4
261,4.4
262,4.6
263,4.7
264,4.6
265,4.5
266,4.5
267,4.6
268,4.8
269,4.8
270,4.8
271,4.7
272,4.7
273,4.6
274,4.6
275,4.6
276,4.4
277,4.4
278,4.3
279,4.2
280,4.4
281,4.5
282,4.4
283,4.3
284,4.1
285,4
286,3.8
287,3.6
288,3.2
289,3.3
290,3.3
291,3.1
292,3.1
293,2.9
294,2.4
295,2.1
296,2.1
297,2
298,1.5
299,1.3
300,1.3
301,1.4
302,1.1
303,1
304,0.8
305,0.3
306,-0.1
307,-0.4
308,-0.6
309,-0.6
310,-0.7
311,-0.6
312,-0.7
313,-1
314,-1.4
315,-1.6
316,-1.6
317,-1.6
318,-1.8
319,-2
320,-2.2
321,-2.1
322,-2
323,-2
324,-1.9
325,-1.7
326,-1.7
327,-1.7
328,-1.9
329,-2.1
330,-2.2
331,-2.2
332,-2.4
333,-2.3
334,-2.3
335,-2.3
336,-2.3
337,-2.2
338,-2.2
339,-2.2
340,-2.3
341,-2.6
342,-2.5
343,-2.7
344,-2.6
345,-2.6
346,-2.5
347,-2.4
348,-2.4
349,-2.4
350,-2.5
351,-2.6
352,-2.7
353,-2.5
354,-2.5
355,-2.5
356,-2.4
357,-2.3
358,-2.5
359,-2.6
360,-2.5
361,-2.5
362,-2.6
363,-2.7
364,-2.8
365,-2.7
366,-2.6
367,-2.4
368,-2.4
369,-2.5
370,-2.3
371,-2.2
372,-2.2
373,-2.4
374,-2.5
375,-2.4
376,-2.3
377,-2.2
378,-2
379,-2
380,-2
381,-1.9
382,-1.9
383,-1.8
384,-1.8
385,-2
386,-2
387,-2
388,-1.9
389,-1.8
390,-1.8
391,-1.9
392,-1.9
393,-1.9
394,-1.8
395,-1.7
396,-1.9
397,-1.9
398,-1.9
399,-1.8
400,-1.7
401,-1.8
402,-2
403,-2
404,-2
405,-2
406,-1.8
407,-1.8
408,-2
409,-2
410,-2.1
411,-2
412,-1.9
413,-2
414,-2
415,-2.2
416,-2.2
417,-2.2
418,-2.2
419,-2.1
420,-1.8
421,-1.8
422,-2.1
423,-2.1
424,-2.2
425,-2.4
426,-2.3
427,-2.4
428,-2.3
429,-2.3
430,-2.3
431,-2.4
432,-2.5
433,-2.6
434,-2.7
435,-2.7
436,-2.6
437,-2.5
438,-2.5
439,-2.6
440,-2.5
441,-2.6
442,-2.8
443,-2.9
444,-2.7
445,-2.8
446,-2.7
447,-2.6
448,-2.6
449,-2.8
450,-2.9
451,-2.9
452,-2.8
453,-2.7
454,-2.7
455,-2.8
456,-2.8
457,-2.8
458,-2.9
459,-3.2
460,-3.1
461,-3
462,-2.9
463,-2.8
464,-2.8
465,-2.9
466,-2.7
467,-2.7
468,-2.9
469,-2.9
470,-2.9
471,-2.9
472,-2.9
473,-3
474,-3.1
475,-3.1
476,-3
477,-2.9
478,-3.1
479,-3.2
480,-3.4
481,-3.4
482,-3.2
483,-3.1
484,-2.9
485,-2.8
486,-3
487,-3.1
488,-3.1
489,-2.9
490,-3
491,-2.9
492,-2.9
493,-2.9
494,-3
495,-3.2
496,-3.2
497,-3.1
498,-3.1
499,-3.1
500,-3.1
501,-3.2
502,-3.2
503,-3.2
504,-3.2
505,-3.1
506,-3.1
507,-3.1
508,-3
509,-3
510,-3
511,-3.1
512,-3.1
513,-3
514,-3
515,-3
516,-3.2
517,-3.2
518,-3.2
519,-3.1
520,-3.1
521,-3.3
522,-3.3
523,-3.3
524,-3.3
525,-3.2
526,-3.2
527,-3.2
528,-3.2
529,-3
530,-2.9
531,-2.8
532,-2.7
533,-2.6
534,-2.7
535,-2.6
536,-2.5
537,-2.4
538,-2.2
539,-2.2
540,-2.1
541,-2.3
542,-2.5
543,-2.6
544,-2.5
545,-2.5
546,-2.2
547,-1.9
548,-1.9
549,-2
550,-2
551,-2.3
552,-2.5
553,-2.6
554,-2.3
555,-1.9
556,-1.8
557,-2
558,-2.2
559,-2.4
560,-2.5
561,-2.6
