TS,Reading
1,-0.6
2,-0.3
3,-0.3
4,-0.4
5,-0.4
6,-0.4
7,-0.3
8,-0.4
9,-0.4
10,-0.5
11,-0.5
12,-0.6
13,-0.5
14,-0.5
15,-0.3
16,-0.4
17,-0.6
18,-0.7
19,-0.8
20,-0.6
21,-0.4
22,-0.4
23,-0.6
24,-0.9
25,-0.9
26,-0.8
27,-0.8
28,-0.7
29,-0.8
30,-1
31,-1.8
32,-2.4
33,-2.5
34,-2.7
35,-2.6
36,-2.7
37,-2.6
38,-2.8
39,-3
40,-2.9
41,-3.1
42,-3.2
43,-3.1
44,-3.3
45,-3.3
46,-3.1
47,-2.8
48,-2.6
49,-2.6
50,-2.5
51,-2.5
52,-2.6
53,-2.7
54,-2.9
55,-2.9
56,-2.8
57,-2.7
58,-2.7
59,-2.4
60,-2.3
61,-2.1
62,-2
63,-2.3
64,-2.3
65,-2.3
66,-2.2
67,-2
68,-2
69,-1.9
70,-1.8
71,-1.8
72,-1.8
73,-1.7
74,-1.9
75,-2
76,-2.3
77,-2.3
78,-2.3
79,-2.4
80,-2.3
81,-2.3
82,-2.5
83,-2.5
84,-2.3
85,-2.3
86,-2.3
87,-2.4
88,-2.4
89,-2.7
90,-2.8
91,-3
92,-2.9
93,-3
94,-3.1
95,-3.2
96,-3
97,-3
98,-3.2
99,-3.2
100,-3.3
101,-3.4
102,-3.2
103,-3.2
104,-3.3
105,-3.3
106,-3.3
107,-3.3
108,-3.1
109,-3
110,-3.1
111,-2.9
112,-3
113,-3
114,-2.8
115,-2.8
116,-2.8
117,-3.1
118,-3.4
119,-3.4
120,-3.3
121,-3.2
122,-3
123,-2.2
124,-1
125,0.5
126,2.4
127,4.2
128,6.3
129,9.3
130,13.6
131,18
132,21
133,23.4
134,24.7
135,25.3
136,23.8
137,21.5
138,18.9
139,15.4
140,9.6
141,3.4
142,-0.6
143,-2.8
144,-4.4
145,-6
146,-7.6
147,-8.5
148,-8.9
149,-8.7
150,-8.3
151,-7.4
152,-6.6
153,-6
154,-5.5
155,-5.2
156,-4.7
157,-4.3
158,-3.8
159,-3.5
160,-3.3
161,-3
162,-2.9
163,-2.9
164,-3
165,-2.8
