I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-3,21,24,-9,-13,22,-10,-15,-15,0,-8,-1
0,24,24,-12,-12,24,-10,-15,-14,3,-5,2
3,26,23,-14,-10,25,-12,-16,-13,4,-3,4
6,29,23,-17,-8,26,-14,-17,-13,6,-1,6
5,28,23,-16,-9,26,-17,-19,-14,7,-1,7
4,26,22,-15,-9,24,-20,-21,-15,7,-1,7
3,26,23,-14,-10,25,-22,-21,-16,6,-1,6
1,26,25,-13,-12,26,-23,-22,-16,5,-2,5
-2,23,25,-10,-13,24,-24,-23,-19,1,-5,3
-5,19,24,-7,-14,21,-25,-25,-22,-3,-9,-1
-9,15,24,-3,-16,19,-27,-27,-25,-7,-13,-4
-9,13,22,-2,-15,17,-26,-28,-26,-8,-15,-5
-6,15,21,-4,-13,18,-25,-27,-26,-8,-15,-5
-6,14,20,-4,-13,17,-26,-27,-26,-8,-15,-5
-8,9,17,0,-12,13,-27,-28,-28,-10,-17,-7
-10,4,14,3,-12,9,-26,-27,-29,-10,-18,-8
-9,0,9,4,-9,4,-26,-27,-29,-9,-18,-9
-8,-2,6,5,-7,2,-25,-27,-29,-10,-18,-10
-8,-5,3,6,-6,-1,-25,-27,-29,-10,-18,-10
-7,-10,-3,8,-2,-7,-26,-28,-30,-12,-19,-12
-6,-11,-5,8,-1,-8,-25,-27,-28,-11,-18,-11
-3,-11,-8,7,2,-10,-24,-26,-27,-11,-19,-11
-3,-12,-9,7,3,-11,-24,-27,-27,-13,-20,-11
-3,-14,-11,8,4,-13,-24,-28,-28,-14,-22,-12
-1,-14,-13,7,6,-14,-24,-28,-29,-14,-22,-12
1,-14,-15,6,8,-14,-23,-28,-29,-14,-22,-12
0,-15,-15,7,7,-15,-23,-29,-30,-14,-23,-13
-1,-17,-16,9,7,-17,-24,-30,-32,-15,-24,-14
-4,-18,-14,11,5,-16,-25,-30,-32,-17,-24,-16
-6,-18,-12,12,3,-15,-25,-30,-32,-17,-24,-16
-9,-21,-12,15,1,-17,-26,-31,-33,-18,-25,-17
-9,-21,-12,15,1,-17,-26,-31,-33,-18,-25,-17
-8,-21,-13,14,2,-17,-26,-31,-34,-18,-24,-17
-7,-21,-14,14,3,-18,-27,-32,-35,-19,-25,-16
-6,-20,-14,13,4,-17,-26,-31,-35,-19,-25,-16
-5,-20,-15,12,5,-18,-26,-31,-34,-18,-25,-16
-4,-21,-17,12,6,-19,-25,-30,-34,-19,-25,-17
-3,-19,-16,11,6,-18,-24,-29,-33,-18,-25,-17
0,-17,-17,8,8,-17,-22,-27,-31,-17,-23,-17
-1,-18,-17,9,8,-18,-21,-27,-31,-16,-23,-17
-4,-20,-16,12,6,-18,-22,-28,-32,-18,-24,-17
-5,-22,-17,13,6,-20,-22,-30,-32,-19,-25,-17
-7,-24,-17,15,5,-21,-23,-31,-33,-20,-26,-17
-8,-25,-17,16,4,-21,-23,-31,-33,-20,-26,-17
-6,-24,-18,15,6,-21,-23,-30,-33,-20,-27,-17
-6,-24,-18,15,6,-21,-24,-30,-32,-21,-27,-17
-5,-23,-18,14,6,-21,-23,-29,-31,-20,-26,-17
-9,-25,-16,17,3,-21,-24,-29,-32,-20,-26,-17
-15,-30,-15,22,0,-23,-26,-32,-35,-22,-28,-19
-16,-32,-16,24,0,-24,-27,-33,-36,-22,-29,-20
-13,-32,-19,22,3,-26,-26,-32,-35,-21,-29,-19
-9,-28,-19,18,5,-24,-25,-31,-34,-20,-28,-18
-7,-26,-19,16,6,-23,-24,-30,-34,-19,-27,-17
-6,-25,-19,15,6,-22,-24,-29,-33,-19,-26,-17
-5,-24,-19,14,7,-22,-24,-29,-32,-19,-25,-17
-5,-23,-18,14,6,-21,-23,-29,-32,-19,-24,-16
-5,-24,-19,14,7,-22,-23,-28,-32,-19,-24,-16
-6,-23,-17,14,5,-20,-22,-26,-30,-16,-21,-14
-3,-22,-19,12,8,-21,-21,-24,-26,-12,-19,-12
-2,-21,-19,11,8,-20,-20,-22,-23,-8,-16,-10
0,-20,-20,10,10,-20,-20,-20,-19,-5,-15,-8
-1,-19,-18,10,8,-19,-20,-18,-16,-1,-13,-5
-3,-17,-14,10,5,-16,-16,-10,-10,4,-9,-2
-3,-11,-8,7,2,-10,-8,10,10,21,4,8
0,0,0,0,0,0,5,39,41,47,26,25
3,12,9,-7,-3,11,18,62,71,78,52,47
8,28,20,-18,-6,24,32,81,101,116,84,74
11,45,34,-28,-11,40,46,96,133,157,120,105
15,67,52,-41,-18,60,54,107,164,200,157,137
22,91,69,-56,-23,80,51,111,194,245,197,173
32,118,86,-75,-27,102,37,108,220,290,238,211
48,147,99,-97,-25,123,17,98,239,329,275,244
66,166,100,-116,-17,133,-2,89,254,356,302,270
77,173,96,-125,-9,135,-21,80,263,371,318,283
84,173,89,-128,-2,131,-45,59,252,362,315,281
86,165,79,-125,4,122,-77,23,215,325,290,263
80,151,71,-115,5,111,-113,-32,142,251,235,222
68,131,63,-99,3,97,-145,-95,51,157,163,167
55,96,41,-75,7,69,-167,-147,-28,77,99,116
45,58,13,-51,16,36,-181,-183,-89,15,49,74
36,27,-9,-31,23,9,-186,-201,-131,-31,9,40
27,5,-22,-16,25,-8,-182,-204,-152,-60,-18,14
18,-8,-26,-5,22,-17,-170,-197,-159,-76,-37,-6
13,-14,-27,0,20,-20,-154,-182,-155,-82,-49,-19
8,-19,-27,5,17,-23,-137,-163,-143,-81,-53,-27
3,-24,-27,10,15,-25,-119,-142,-125,-75,-52,-31
2,-25,-27,11,14,-26,-101,-119,-104,-65,-49,-30
5,-23,-28,9,16,-25,-82,-95,-83,-53,-44,-27
3,-24,-27,10,15,-25,-66,-77,-66,-44,-40,-25
1,-24,-25,11,13,-24,-52,-62,-54,-37,-38,-23
-3,-25,-22,14,9,-24,-42,-51,-47,-33,-36,-21
-5,-27,-22,16,8,-25,-34,-42,-42,-30,-33,-19
-7,-25,-18,16,5,-22,-27,-34,-38,-26,-30,-16
-9,-26,-17,17,4,-22,-22,-28,-36,-23,-27,-15
-10,-24,-14,17,2,-19,-18,-24,-32,-21,-25,-13
-9,-22,-13,15,2,-18,-14,-19,-28,-18,-23,-13
-9,-21,-12,15,1,-17,-10,-16,-23,-17,-22,-13
-8,-19,-11,13,1,-15,-7,-13,-20,-15,-22,-12
-6,-19,-13,12,3,-16,-5,-10,-18,-14,-21,-12
-5,-18,-13,11,4,-16,-4,-8,-17,-13,-22,-12
-3,-16,-13,9,5,-15,-2,-5,-16,-11,-20,-11
-4,-16,-12,10,4,-14,-1,-3,-16,-11,-21,-11
-6,-18,-12,12,3,-15,0,-2,-17,-11,-21,-11
-5,-16,-11,10,3,-14,1,0,-16,-9,-20,-10
-4,-15,-11,9,3,-13,3,0,-14,-8,-19,-9
-4,-15,-11,9,3,-13,3,0,-13,-7,-19,-9
-5,-17,-12,11,3,-15,3,0,-12,-7,-20,-9
-4,-16,-12,10,4,-14,3,0,-10,-6,-19,-9
-3,-14,-11,8,4,-13,4,1,-9,-5,-18,-8
-4,-15,-11,9,3,-13,4,2,-10,-5,-18,-8
-4,-16,-12,10,4,-14,3,2,-10,-5,-18,-8
-3,-16,-13,9,5,-15,4,3,-10,-4,-18,-8
-6,-17,-11,11,2,-14,4,3,-10,-4,-18,-8
-8,-17,-9,12,0,-13,5,4,-10,-5,-17,-8
-6,-16,-10,11,2,-13,6,4,-10,-4,-17,-8
-2,-12,-10,7,4,-11,6,5,-9,-4,-17,-7
-1,-11,-10,6,4,-11,5,5,-9,-4,-17,-7
-2,-13,-11,7,4,-12,5,5,-9,-4,-18,-8
-1,-13,-12,7,5,-13,6,6,-9,-4,-19,-8
0,-13,-13,6,6,-13,7,7,-8,-3,-18,-7
0,-13,-13,6,6,-13,7,7,-8,-3,-18,-7
-3,-15,-12,9,4,-14,7,7,-7,-3,-18,-7
-7,-16,-9,11,1,-13,7,7,-7,-3,-18,-7
-9,-17,-8,13,-1,-13,7,8,-6,-2,-17,-7
-9,-17,-8,13,-1,-13,7,8,-6,-2,-16,-7
-9,-18,-9,13,0,-14,6,8,-7,-3,-16,-7
-8,-20,-12,14,2,-16,6,8,-7,-3,-17,-8
-6,-20,-14,13,4,-17,6,8,-7,-3,-17,-8
-5,-19,-14,12,4,-17,6,9,-6,-3,-17,-7
-5,-18,-13,11,4,-16,7,10,-5,-3,-18,-6
-3,-16,-13,9,5,-15,8,11,-4,-3,-17,-6
-2,-12,-10,7,4,-11,9,12,-3,-3,-16,-5
-3,-13,-10,8,3,-12,10,13,-2,-2,-16,-5
-2,-12,-10,7,4,-11,10,14,-1,-1,-15,-5
0,-9,-9,4,4,-9,11,16,0,0,-13,-3
0,-10,-10,5,5,-10,12,18,2,2,-12,-3
0,-11,-11,5,5,-11,11,18,2,1,-12,-4
-2,-15,-13,8,5,-14,11,17,1,0,-12,-4
-7,-18,-11,12,2,-15,10,17,1,0,-13,-5
-9,-19,-10,14,0,-15,11,17,2,0,-13,-4
-7,-16,-9,11,1,-13,11,17,3,1,-12,-3
-4,-12,-8,8,2,-10,13,18,5,2,-11,-2
-4,-11,-7,7,1,-9,12,19,4,2,-12,-1
-6,-15,-9,10,1,-12,11,19,2,1,-13,-3
-10,-19,-9,14,-1,-14,11,18,1,0,-15,-5
-7,-19,-12,13,2,-16,13,19,2,1,-14,-5
-8,-21,-13,14,2,-17,13,20,3,0,-14,-5
-7,-20,-13,13,3,-17,13,20,4,1,-13,-4
-3,-16,-13,9,5,-15,15,23,6,3,-12,-3
-3,-15,-12,9,4,-14,15,24,7,4,-12,-3
-5,-16,-11,10,3,-14,15,25,8,3,-12,-3
-6,-16,-10,11,2,-13,14,26,8,3,-12,-4
-6,-16,-10,11,2,-13,14,27,7,3,-13,-4
-5,-17,-12,11,3,-15,14,27,8,3,-13,-4
-4,-16,-12,10,4,-14,16,28,8,4,-12,-3
-4,-16,-12,10,4,-14,17,29,9,4,-12,-3
-6,-16,-10,11,2,-13,18,30,10,5,-12,-3
-6,-14,-8,10,1,-11,19,31,11,5,-12,-3
-4,-12,-8,8,2,-10,19,33,12,5,-11,-3
-2,-9,-7,5,2,-8,20,35,14,6,-9,-2
1,-5,-6,2,3,-5,20,38,16,8,-8,0
2,-6,-8,2,5,-7,21,40,18,10,-7,0
-2,-10,-8,6,3,-9,20,41,19,10,-8,0
-2,-11,-9,6,3,-10,20,42,20,11,-7,0
0,-9,-9,4,4,-9,22,45,22,12,-5,2
3,-7,-10,2,6,-8,25,47,23,14,-3,4
5,-6,-11,0,8,-8,27,49,25,15,-2,5
5,-5,-10,0,7,-7,27,51,27,15,-2,5
5,-5,-10,0,7,-7,29,53,30,16,-2,5
2,-7,-9,2,5,-8,26,54,31,16,-2,3
1,-8,-9,3,5,-8,26,54,31,16,-2,3
0,-8,-8,4,4,-8,26,56,33,17,-1,4
-3,-10,-7,6,2,-9,25,57,34,18,-1,4
-4,-11,-7,7,1,-9,24,59,35,18,-1,4
-4,-8,-4,6,0,-6,26,62,37,20,0,5
-4,-7,-3,5,-1,-5,27,64,39,22,1,6
-5,-8,-3,6,-1,-6,28,66,41,22,2,5
-5,-7,-2,6,-2,-5,28,68,43,23,2,5
-3,-7,-4,5,0,-6,29,70,45,25,3,7
-2,-7,-5,4,1,-6,30,72,47,27,3,9
-1,-6,-5,3,2,-6,30,74,50,28,4,9
-1,-6,-5,3,2,-6,31,76,52,29,5,10
-2,-7,-5,4,1,-6,31,79,53,29,6,11
0,-5,-5,2,2,-5,32,82,56,30,7,11
2,-2,-4,0,3,-3,33,86,59,32,9,12
3,-1,-4,-1,3,-2,34,90,62,34,11,13
5,0,-5,-2,5,-2,34,92,64,36,12,14
3,0,-3,-1,3,-1,35,94,67,38,13,15
1,-1,-2,0,1,-1,36,96,69,39,15,17
1,0,-1,0,1,0,36,98,72,41,16,17
3,1,-2,-2,3,0,37,100,75,43,17,18
5,3,-2,-4,4,1,37,103,78,44,18,19
7,5,-2,-6,5,2,38,106,80,46,20,20
9,6,-3,-7,6,2,38,109,82,48,21,22
11,9,-2,-10,7,4,39,112,85,51,23,25
13,12,-1,-12,7,6,40,115,89,53,25,27
14,13,-1,-13,8,6,40,117,91,56,27,28
14,13,-1,-13,8,6,40,119,94,58,28,29
14,14,0,-14,7,7,41,121,96,60,30,31
13,14,1,-13,6,8,42,123,98,63,31,32
11,13,2,-12,5,8,42,124,99,64,31,31
12,15,3,-13,5,9,42,126,102,67,32,33
11,14,3,-12,4,9,42,127,104,68,33,34
10,13,3,-11,4,8,42,128,106,69,34,35
10,13,3,-11,4,8,40,129,108,70,35,35
12,13,1,-12,6,7,39,130,110,71,37,36
10,11,1,-10,5,6,37,129,111,72,37,35
8,10,2,-9,3,6,37,129,111,72,37,35
9,13,4,-11,3,9,37,130,113,74,40,36
9,15,6,-12,2,11,37,129,113,76,41,37
11,17,6,-14,3,12,37,129,114,77,42,38
11,18,7,-14,2,13,37,128,115,78,43,40
9,16,7,-12,1,12,36,126,114,77,43,39
9,16,7,-12,1,12,35,124,113,77,43,40
9,14,5,-11,2,10,33,122,111,75,42,39
9,14,5,-11,2,10,31,120,109,75,42,39
12,16,4,-14,4,10,31,118,108,76,42,39
13,17,4,-15,5,11,29,115,107,77,42,39
11,17,6,-14,3,12,27,111,104,75,40,38
10,17,7,-13,2,12,25,107,102,74,39,37
10,20,10,-15,0,15,24,103,99,73,39,37
13,23,10,-18,2,17,24,100,97,73,40,38
13,23,10,-18,2,17,21,94,93,69,39,36
12,21,9,-16,2,15,19,87,89,67,38,36
12,21,9,-16,2,15,16,82,85,65,38,36
12,22,10,-17,1,16,14,77,80,62,37,36
13,23,10,-18,2,17,12,72,76,60,36,35
13,23,10,-18,2,17,10,68,72,60,34,35
13,23,10,-18,2,17,8,63,68,58,33,33
11,21,10,-16,1,16,6,58,62,55,31,31
10,21,11,-15,0,16,3,53,58,53,30,29
9,20,11,-14,-1,16,1,48,52,50,28,27
9,20,11,-14,-1,16,0,41,45,46,25,24
7,19,12,-13,-2,16,-2,37,40,42,23,22
7,18,11,-12,-2,15,-3,32,36,38,20,20
8,18,10,-13,-1,14,-4,28,31,34,18,19
10,19,9,-14,1,14,-4,25,28,32,17,20
11,18,7,-14,2,13,-3,22,25,30,15,18
9,15,6,-12,2,11,-4,18,20,27,13,16
5,10,5,-7,0,8,-6,14,15,23,10,13
4,8,4,-6,0,6,-6,12,11,20,8,12
5,6,1,-5,2,4,-7,10,8,18,6,10
5,5,0,-5,3,3,-7,7,5,16,4,8
2,2,0,-2,1,1,-8,4,1,13,2,6
2,1,-1,-1,2,0,-10,1,0,11,0,5
3,2,-1,-2,2,1,-10,0,-2,9,0,5
1,-1,-2,0,1,-1,-11,-3,-5,7,-2,2
-2,-4,-2,3,0,-3,-12,-5,-7,4,-4,0
-2,-5,-3,3,0,-4,-12,-7,-10,2,-6,-1
-3,-6,-3,4,0,-5,-12,-9,-12,0,-8,-2
-1,-5,-4,3,1,-5,-11,-9,-13,0,-8,-3
-4,-8,-4,6,0,-6,-12,-10,-15,-2,-10,-4
-5,-10,-5,7,0,-8,-13,-12,-17,-4,-11,-6
-6,-11,-5,8,-1,-8,-14,-13,-18,-5,-12,-8
-7,-12,-5,9,-1,-9,-15,-14,-19,-6,-13,-9
-7,-13,-6,10,-1,-10,-16,-15,-20,-8,-15,-9
-5,-10,-5,7,0,-8,-14,-15,-21,-8,-15,-9
-4,-9,-5,6,0,-7,-14,-15,-21,-8,-16,-10
-4,-10,-6,7,1,-8,-13,-16,-22,-9,-16,-10
-5,-12,-7,8,1,-10,-12,-17,-23,-10,-18,-12
-6,-14,-8,10,1,-11,-13,-17,-24,-11,-19,-14
-6,-15,-9,10,1,-12,-13,-17,-24,-12,-20,-15
-2,-11,-9,6,3,-10,-12,-16,-24,-11,-19,-14
-1,-9,-8,5,3,-9,-12,-16,-24,-11,-19,-14
0,-7,-7,3,3,-7,-11,-15,-23,-11,-18,-13
-2,-8,-6,5,2,-7,-12,-16,-24,-12,-18,-14
-4,-10,-6,7,1,-8,-13,-18,-25,-14,-20,-14
-6,-12,-6,9,0,-9,-14,-20,-26,-15,-21,-15
-6,-12,-6,9,0,-9,-13,-18,-26,-15,-21,-15
-6,-15,-9,10,1,-12,-13,-18,-26,-15,-22,-15
-6,-17,-11,11,2,-14,-13,-18,-27,-16,-23,-16
-7,-19,-12,13,2,-16,-13,-18,-28,-17,-24,-17
-10,-21,-11,15,0,-16,-15,-18,-29,-18,-25,-18
-13,-24,-11,18,-1,-18,-14,-18,-30,-19,-26,-19
-13,-22,-9,17,-2,-16,-14,-18,-29,-19,-25,-19
-13,-20,-7,16,-3,-14,-14,-18,-29,-19,-25,-19
-17,-21,-4,19,-7,-13,-14,-19,-30,-20,-26,-20
-17,-20,-3,18,-7,-12,-14,-19,-30,-21,-26,-20
-12,-16,-4,14,-4,-10,-13,-19,-30,-21,-26,-20
-8,-17,-9,12,0,-13,-14,-19,-32,-22,-27,-20
-6,-16,-10,11,2,-13,-14,-19,-33,-23,-28,-20
-2,-13,-11,7,4,-12,-12,-17,-31,-21,-27,-19
0,-11,-11,5,5,-11,-10,-16,-30,-19,-27,-18
-2,-13,-11,7,4,-12,-10,-16,-30,-19,-28,-18
-4,-15,-11,9,3,-13,-10,-16,-30,-20,-29,-19
-6,-14,-8,10,1,-11,-9,-16,-30,-20,-29,-18
-6,-13,-7,9,0,-10,-8,-15,-29,-20,-28,-18
-3,-8,-5,5,1,-7,-7,-13,-28,-20,-25,-18
1,-3,-4,1,2,-3,-7,-13,-27,-19,-24,-17
4,-2,-6,-1,5,-4,-6,-12,-28,-19,-23,-18
4,-3,-7,0,5,-5,-6,-12,-28,-20,-24,-19
0,-8,-8,4,4,-8,-8,-13,-31,-21,-25,-21
-3,-12,-9,7,3,-11,-9,-15,-32,-22,-27,-22
-4,-11,-7,7,1,-9,-9,-15,-31,-21,-27,-20
-3,-8,-5,5,1,-7,-8,-14,-29,-20,-27,-19
-3,-8,-5,5,1,-7,-9,-14,-28,-19,-27,-18
-4,-8,-4,6,0,-6,-10,-15,-29,-19,-27,-18
-7,-9,-2,8,-3,-6,-10,-16,-29,-20,-26,-18
-10,-12,-2,11,-4,-7,-11,-16,-30,-21,-26,-19
-7,-9,-2,8,-3,-6,-9,-14,-28,-20,-24,-18
-4,-7,-3,5,-1,-5,-8,-13,-28,-18,-23,-17
-6,-10,-4,8,-1,-7,-9,-14,-28,-18,-23,-18
-7,-10,-3,8,-2,-7,-8,-12,-26,-17,-22,-17
-7,-9,-2,8,-3,-6,-8,-12,-25,-17,-22,-16
-10,-11,-1,10,-5,-6,-9,-12,-26,-17,-23,-16
-11,-13,-2,12,-5,-8,-10,-13,-26,-18,-24,-16
-11,-14,-3,12,-4,-9,-11,-13,-26,-18,-24,-17
-11,-14,-3,12,-4,-9,-12,-13,-26,-18,-23,-17
-9,-12,-3,10,-3,-8,-12,-12,-26,-17,-21,-16
-5,-8,-3,6,-1,-6,-11,-12,-26,-15,-19,-14
-4,-9,-5,6,0,-7,-11,-12,-26,-15,-19,-14
-3,-9,-6,6,1,-8,-13,-13,-26,-16,-19,-15
-1,-7,-6,4,2,-7,-12,-13,-25,-15,-19,-14
0,-5,-5,2,2,-5,-11,-12,-24,-14,-19,-14
0,-4,-4,2,2,-4,-10,-11,-23,-14,-19,-13
-1,-5,-4,3,1,-5,-10,-11,-22,-14,-19,-13
-4,-6,-2,5,-1,-4,-10,-11,-23,-14,-18,-12
-3,-4,-1,3,-1,-3,-9,-10,-22,-12,-16,-11
0,-1,-1,0,0,-1,-9,-9,-22,-11,-15,-10
1,0,-1,0,1,0,-9,-10,-22,-11,-15,-10
-2,-4,-2,3,0,-3,-12,-12,-24,-12,-16,-11
-6,-8,-2,7,-2,-5,-14,-13,-24,-12,-18,-12
-4,-5,-1,4,-2,-3,-13,-12,-23,-11,-17,-11
-5,-6,-1,5,-2,-4,-14,-12,-23,-12,-17,-11
-5,-7,-2,6,-2,-5,-13,-12,-22,-12,-17,-11
-6,-6,0,6,-3,-3,-12,-12,-21,-12,-16,-10
-6,-6,0,6,-3,-3,-11,-11,-21,-11,-15,-10
-5,-5,0,5,-3,-3,-10,-11,-20,-9,-14,-10
-3,-2,1,2,-2,-1,-9,-10,-19,-9,-14,-9
0,0,0,0,0,0,-10,-11,-20,-8,-14,-8
1,0,-1,0,1,0,-9,-10,-19,-7,-14,-7
1,0,-1,0,1,0,-9,-11,-19,-7,-14,-7
4,2,-2,-3,3,0,-9,-10,-18,-5,-13,-5
6,4,-2,-5,4,1,-9,-10,-17,-5,-12,-5
4,1,-3,-2,4,-1,-9,-10,-17,-5,-13,-5
-1,-3,-2,2,0,-3,-11,-11,-18,-7,-15,-7
-1,-3,-2,2,0,-3,-11,-11,-19,-6,-15,-7
1,-2,-3,0,2,-2,-11,-11,-19,-6,-15,-7
1,-3,-4,1,2,-3,-11,-12,-21,-7,-16,-8
0,-5,-5,2,2,-5,-13,-14,-22,-9,-18,-10
0,-5,-5,2,2,-5,-13,-14,-23,-9,-17,-11
-1,-4,-3,2,1,-4,-13,-14,-23,-9,-17,-10
-1,-4,-3,2,1,-4,-14,-14,-23,-7,-16,-9
-2,-5,-3,3,0,-4,-14,-14,-22,-7,-16,-9
-2,-5,-3,3,0,-4,-14,-14,-21,-7,-16,-8
-2,-4,-2,3,0,-3,-14,-14,-21,-6,-15,-7
-3,-6,-3,4,0,-5,-14,-15,-21,-7,-16,-7
-2,-5,-3,3,0,-4,-13,-16,-21,-7,-16,-7
0,-4,-4,2,2,-4,-12,-16,-20,-7,-15,-7
-2,-7,-5,4,1,-6,-14,-17,-21,-7,-17,-9
-6,-10,-4,8,-1,-7,-15,-19,-23,-9,-18,-11
-7,-11,-4,9,-2,-8,-16,-19,-24,-9,-19,-11
-4,-9,-5,6,0,-7,-15,-19,-24,-9,-18,-10
0,-5,-5,2,2,-5,-14,-18,-23,-8,-17,-9
2,-3,-5,0,3,-4,-14,-17,-24,-8,-17,-9
5,0,-5,-2,5,-2,-13,-16,-23,-7,-16,-9
6,1,-5,-3,6,-2,-13,-15,-23,-7,-16,-9
6,0,-6,-3,6,-3,-13,-15,-23,-8,-17,-10
5,-2,-7,-1,6,-4,-15,-16,-24,-9,-17,-11
3,-5,-8,1,5,-6,-15,-17,-25,-10,-18,-12
1,-6,-7,2,4,-6,-15,-18,-25,-10,-18,-12
3,-3,-6,0,4,-4,-14,-17,-24,-9,-17,-12
4,-2,-6,-1,5,-4,-13,-17,-24,-8,-17,-11
2,-2,-4,0,3,-3,-13,-17,-25,-8,-17,-11
-3,-7,-4,5,0,-6,-14,-18,-27,-8,-18,-13
-7,-10,-3,8,-2,-7,-16,-19,-28,-10,-19,-14
-8,-12,-4,10,-2,-8,-17,-20,-28,-11,-19,-14
-7,-11,-4,9,-2,-8,-16,-19,-27,-11,-18,-15
-5,-9,-4,7,-1,-7,-15,-19,-25,-10,-17,-14
-3,-7,-4,5,0,-6,-15,-19,-24,-9,-16,-14
-4,-8,-4,6,0,-6,-15,-19,-25,-10,-17,-14
-6,-11,-5,8,-1,-8,-15,-20,-26,-11,-18,-13
-5,-10,-5,7,0,-8,-15,-20,-27,-11,-18,-13
-5,-11,-6,8,0,-9,-16,-20,-27,-12,-19,-13
-8,-14,-6,11,-1,-10,-18,-22,-28,-13,-20,-14
-7,-14,-7,10,0,-11,-19,-22,-28,-13,-20,-15
-6,-12,-6,9,0,-9,-19,-22,-28,-13,-20,-15
-4,-9,-5,6,0,-7,-18,-21,-27,-12,-19,-15
0,-5,-5,2,2,-5,-16,-21,-27,-11,-19,-15
1,-3,-4,1,2,-3,-15,-20,-26,-11,-18,-14
1,-3,-4,1,2,-3,-15,-19,-27,-11,-20,-14
3,-2,-5,0,4,-3,-14,-19,-27,-11,-20,-14
2,-5,-7,1,4,-6,-15,-19,-28,-11,-21,-15
2,-6,-8,2,5,-7,-15,-20,-27,-12,-21,-14
3,-6,-9,1,6,-7,-15,-20,-26,-11,-19,-12
4,-5,-9,0,6,-7,-15,-20,-26,-10,-18,-12
2,-6,-8,2,5,-7,-16,-21,-26,-10,-18,-12
-1,-8,-7,4,3,-8,-17,-21,-26,-10,-18,-13
-3,-8,-5,5,1,-7,-17,-21,-27,-10,-18,-13
-5,-11,-6,8,0,-9,-18,-22,-28,-12,-20,-16
-6,-10,-4,8,-1,-7,-18,-21,-29,-14,-21,-16
-5,-10,-5,7,0,-8,-17,-21,-29,-14,-22,-17
-5,-10,-5,7,0,-8,-17,-20,-28,-14,-22,-17
-6,-11,-5,8,-1,-8,-17,-21,-28,-14,-22,-17
-7,-12,-5,9,-1,-9,-17,-21,-28,-14,-21,-17
-7,-13,-6,10,-1,-10,-17,-22,-28,-14,-22,-17
-10,-17,-7,13,-2,-12,-18,-24,-30,-16,-23,-18
-12,-18,-6,15,-3,-12,-19,-25,-31,-16,-23,-18
-12,-18,-6,15,-3,-12,-19,-24,-31,-15,-21,-17
-12,-17,-5,14,-4,-11,-19,-24,-31,-15,-21,-17
-12,-18,-6,15,-3,-12,-19,-24,-32,-15,-22,-18
-14,-20,-6,17,-4,-13,-20,-25,-33,-16,-23,-19
-14,-19,-5,16,-5,-12,-20,-24,-34,-15,-22,-19
-9,-14,-5,11,-2,-10,-18,-22,-32,-13,-20,-17
-3,-9,-6,6,1,-8,-16,-22,-29,-12,-18,-16
-1,-9,-8,5,3,-9,-16,-22,-29,-13,-18,-16
-2,-12,-10,7,4,-11,-17,-22,-30,-15,-19,-17
-2,-11,-9,6,3,-10,-17,-21,-29,-15,-19,-18
0,-8,-8,4,4,-8,-15,-20,-29,-15,-18,-17
0,-6,-6,3,3,-6,-15,-19,-28,-14,-18,-16
-3,-9,-6,6,1,-8,-16,-20,-29,-14,-18,-16
-9,-13,-4,11,-3,-9,-18,-21,-30,-14,-20,-17
-16,-19,-3,17,-7,-11,-20,-22,-31,-15,-21,-17
-19,-23,-4,21,-8,-14,-21,-23,-32,-15,-21,-18
-19,-25,-6,22,-7,-16,-21,-23,-32,-15,-21,-18
-15,-23,-8,19,-4,-16,-20,-23,-32,-16,-21,-19
-15,-24,-9,19,-3,-17,-21,-24,-33,-17,-21,-19
-13,-22,-9,17,-2,-16,-20,-24,-33,-16,-21,-19
-12,-20,-8,16,-2,-14,-20,-24,-33,-16,-20,-19
-12,-20,-8,16,-2,-14,-19,-23,-32,-16,-20,-19
-13,-20,-7,16,-3,-14,-19,-23,-32,-17,-21,-20
-13,-20,-7,16,-3,-14,-19,-23,-33,-17,-21,-20
-13,-20,-7,16,-3,-14,-20,-23,-33,-17,-21,-20
-12,-19,-7,15,-3,-13,-20,-22,-32,-15,-20,-19
-10,-17,-7,13,-2,-12,-20,-22,-32,-14,-19,-18
-12,-20,-8,16,-2,-14,-20,-22,-32,-14,-19,-18
-14,-22,-8,18,-3,-15,-20,-23,-32,-14,-19,-18
-15,-23,-8,19,-4,-16,-21,-23,-32,-14,-19,-19
-13,-21,-8,17,-3,-15,-20,-23,-31,-14,-18,-19
-11,-19,-8,15,-2,-14,-20,-23,-30,-14,-17,-19
-13,-20,-7,16,-3,-14,-21,-24,-30,-15,-17,-19
-17,-23,-6,20,-6,-15,-22,-25,-31,-16,-18,-20
-19,-24,-5,21,-7,-15,-22,-26,-31,-16,-19,-21
-19,-25,-6,22,-7,-16,-22,-25,-31,-16,-20,-22
-18,-24,-6,21,-6,-15,-22,-25,-32,-16,-20,-22
-15,-22,-7,18,-4,-15,-21,-23,-32,-16,-19,-21
-12,-19,-7,15,-3,-13,-20,-22,-31,-16,-18,-20
-12,-19,-7,15,-3,-13,-21,-23,-31,-16,-18,-20
-16,-22,-6,19,-5,-14,-22,-25,-33,-18,-20,-21
