I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
2,4,2,-3,0,3,-31,-27,-25,0,-9,-1
1,2,1,-1,0,2,-32,-27,-24,0,-9,-1
3,1,-2,-2,3,0,-32,-26,-22,0,-9,-1
6,1,-5,-3,6,-2,-31,-24,-20,1,-7,0
7,1,-6,-4,7,-2,-30,-22,-19,2,-8,0
5,-1,-6,-2,5,-3,-28,-22,-19,2,-7,1
3,-4,-7,0,5,-5,-26,-21,-19,3,-7,1
3,-7,-10,2,6,-8,-24,-22,-20,2,-9,0
2,-7,-9,2,5,-8,-22,-21,-20,2,-9,0
2,-8,-10,3,6,-9,-22,-22,-20,0,-11,-1
1,-8,-9,3,5,-8,-22,-23,-21,-1,-13,-4
0,-10,-10,5,5,-10,-22,-23,-21,-2,-14,-6
-2,-13,-11,7,4,-12,-24,-25,-23,-5,-17,-8
-2,-14,-12,8,5,-13,-24,-26,-25,-6,-18,-10
-1,-15,-14,8,6,-15,-24,-27,-27,-8,-20,-12
-2,-16,-14,9,6,-15,-24,-28,-29,-9,-21,-14
0,-17,-17,8,8,-17,-23,-29,-30,-11,-22,-15
-3,-21,-18,12,7,-20,-24,-30,-32,-12,-24,-16
-7,-26,-19,16,6,-23,-24,-31,-34,-14,-25,-18
-5,-27,-22,16,8,-25,-25,-30,-33,-13,-25,-18
-4,-27,-23,15,9,-25,-25,-30,-33,-14,-25,-17
-2,-26,-24,14,11,-25,-26,-31,-33,-14,-26,-17
0,-24,-24,12,12,-24,-26,-30,-32,-14,-25,-16
1,-21,-22,10,11,-21,-25,-30,-31,-14,-24,-16
2,-20,-22,9,12,-21,-25,-30,-31,-14,-23,-16
1,-20,-21,9,11,-20,-24,-29,-30,-14,-23,-16
1,-20,-21,9,11,-20,-24,-29,-31,-14,-24,-16
0,-20,-20,10,10,-20,-24,-30,-31,-15,-24,-16
0,-21,-21,10,10,-21,-24,-29,-31,-13,-24,-16
1,-19,-20,9,10,-19,-22,-28,-30,-12,-23,-15
1,-19,-20,9,10,-19,-21,-26,-29,-12,-22,-15
-2,-22,-20,12,9,-21,-21,-26,-29,-11,-22,-15
-4,-23,-19,13,7,-21,-21,-26,-29,-11,-22,-15
-5,-24,-19,14,7,-22,-21,-26,-30,-12,-22,-15
-6,-24,-18,15,6,-21,-21,-26,-30,-13,-23,-16
-7,-25,-18,16,5,-22,-22,-27,-30,-13,-23,-16
-9,-26,-17,17,4,-22,-23,-28,-30,-14,-24,-17
-9,-27,-18,18,4,-23,-23,-28,-30,-14,-25,-16
-8,-26,-18,17,5,-22,-23,-27,-29,-14,-24,-16
-8,-27,-19,17,5,-23,-24,-27,-30,-14,-25,-16
-7,-28,-21,17,7,-25,-24,-28,-31,-16,-26,-18
-4,-27,-23,15,9,-25,-24,-28,-31,-16,-26,-18
-2,-26,-24,14,11,-25,-24,-28,-31,-16,-27,-19
2,-26,-28,12,15,-27,-24,-27,-30,-14,-26,-19
4,-26,-30,11,17,-28,-24,-26,-28,-12,-24,-18
1,-28,-29,13,15,-28,-25,-25,-25,-10,-22,-16
-2,-28,-26,15,12,-27,-22,-22,-20,-6,-19,-13
1,-22,-23,10,12,-22,-19,-17,-15,-2,-16,-10
3,-16,-19,6,11,-17,-12,-6,-5,6,-10,-4
3,-7,-10,2,6,-8,0,17,17,25,4,8
8,3,-5,-5,7,-1,11,44,46,51,24,24
14,18,4,-16,5,11,22,67,75,82,48,45
14,34,20,-24,-3,27,34,85,104,120,80,72
16,52,36,-34,-10,44,47,98,135,161,115,102
20,74,54,-47,-17,64,54,109,166,204,152,134
23,99,76,-61,-26,88,52,112,196,249,193,171
33,125,92,-79,-29,109,38,106,221,293,235,209
48,148,100,-98,-26,124,17,94,239,331,271,242
63,161,98,-112,-17,130,-4,82,253,359,298,267
77,165,88,-121,-5,127,-26,71,261,374,312,280
87,165,78,-126,5,122,-54,47,248,365,309,279
90,160,70,-125,10,115,-88,11,211,329,285,262
82,149,67,-115,8,108,-123,-41,140,258,234,224
63,131,68,-97,-2,100,-153,-100,50,167,166,172
49,98,49,-73,0,74,-173,-150,-29,87,103,122
41,61,20,-51,11,41,-185,-184,-89,24,53,80
33,31,-2,-32,18,15,-186,-202,-128,-21,13,45
23,5,-18,-14,21,-6,-180,-204,-148,-51,-16,18
12,-13,-25,0,18,-19,-169,-198,-156,-70,-38,-4
5,-24,-29,9,17,-26,-155,-183,-153,-78,-53,-20
1,-28,-29,13,15,-28,-137,-162,-141,-77,-58,-28
0,-29,-29,14,14,-29,-118,-138,-123,-70,-58,-32
-2,-29,-27,15,12,-28,-99,-114,-102,-60,-55,-32
-1,-27,-26,14,12,-27,-80,-92,-82,-49,-50,-30
0,-26,-26,13,13,-26,-64,-74,-66,-41,-46,-28
-1,-26,-25,13,12,-26,-51,-61,-56,-37,-44,-28
-3,-26,-23,14,10,-25,-40,-50,-48,-33,-41,-26
-3,-24,-21,13,9,-23,-31,-41,-42,-29,-38,-24
-2,-22,-20,12,9,-21,-23,-34,-38,-26,-35,-22
-1,-19,-18,10,8,-19,-18,-27,-35,-24,-33,-20
1,-16,-17,7,9,-16,-14,-21,-31,-20,-30,-18
-1,-17,-16,9,7,-17,-11,-17,-27,-18,-30,-18
-10,-25,-15,17,2,-20,-11,-16,-26,-20,-31,-20
-15,-29,-14,22,-1,-22,-9,-14,-24,-19,-31,-21
-15,-28,-13,21,-1,-21,-6,-11,-21,-17,-31,-21
-14,-26,-12,20,-1,-19,-3,-8,-18,-15,-30,-19
-12,-24,-12,18,0,-18,0,-6,-16,-14,-29,-18
-11,-23,-12,17,0,-18,0,-5,-15,-14,-29,-18
-10,-23,-13,16,1,-18,0,-4,-15,-13,-28,-17
-10,-23,-13,16,1,-18,0,-3,-15,-13,-28,-17
-10,-24,-14,17,2,-19,0,-3,-16,-13,-27,-18
-8,-23,-15,15,3,-19,0,-1,-14,-12,-25,-18
-4,-19,-15,11,5,-17,3,0,-13,-11,-25,-18
-4,-19,-15,11,5,-17,4,0,-12,-11,-25,-18
-5,-20,-15,12,5,-18,4,0,-12,-11,-25,-19
-5,-20,-15,12,5,-18,4,1,-11,-10,-25,-19
-7,-20,-13,13,3,-17,4,1,-11,-9,-25,-18
-8,-20,-12,14,2,-16,5,2,-11,-7,-25,-18
-9,-21,-12,15,1,-17,4,3,-12,-7,-25,-18
-12,-23,-11,17,-1,-17,4,2,-12,-7,-26,-18
-13,-23,-10,18,-2,-17,4,2,-12,-6,-26,-17
-11,-22,-11,16,0,-17,4,3,-11,-5,-24,-17
-11,-21,-10,16,-1,-16,5,4,-11,-6,-24,-17
-11,-24,-13,17,1,-19,4,3,-11,-7,-24,-17
-13,-25,-12,19,-1,-19,4,3,-11,-8,-23,-17
-10,-23,-13,16,1,-18,6,5,-9,-8,-22,-16
-10,-21,-11,15,0,-16,7,6,-9,-8,-21,-16
-11,-22,-11,16,0,-17,7,6,-8,-7,-21,-16
-9,-20,-11,14,1,-16,8,7,-7,-7,-20,-16
-9,-20,-11,14,1,-16,7,8,-7,-7,-20,-16
-8,-19,-11,13,1,-15,7,8,-7,-8,-20,-16
-7,-18,-11,12,2,-15,6,9,-6,-8,-20,-16
-8,-19,-11,13,1,-15,6,9,-6,-8,-20,-17
-9,-19,-10,14,0,-15,6,9,-5,-7,-21,-16
-7,-18,-11,12,2,-15,8,11,-4,-5,-20,-15
-8,-18,-10,13,1,-14,9,11,-4,-4,-20,-16
-7,-17,-10,12,1,-14,10,12,-3,-3,-19,-15
-6,-17,-11,11,2,-14,10,13,-3,-3,-19,-15
-6,-16,-10,11,2,-13,11,14,-3,-3,-19,-15
-6,-16,-10,11,2,-13,11,15,-3,-3,-19,-15
-8,-17,-9,12,0,-13,10,15,-3,-4,-19,-15
-11,-19,-8,15,-2,-14,10,14,-3,-5,-20,-15
-11,-19,-8,15,-2,-14,10,15,-2,-4,-19,-14
-11,-18,-7,14,-2,-13,11,17,-1,-4,-18,-13
-14,-21,-7,17,-4,-14,11,17,-1,-5,-19,-15
-15,-22,-7,18,-4,-15,11,17,-1,-5,-19,-16
-18,-25,-7,21,-6,-16,9,16,-2,-6,-19,-17
-20,-28,-8,24,-6,-18,9,16,-3,-7,-21,-19
-20,-28,-8,24,-6,-18,9,16,-3,-7,-23,-19
-19,-27,-8,23,-6,-18,10,17,-2,-6,-23,-18
-18,-25,-7,21,-6,-16,11,19,-2,-5,-23,-17
-18,-25,-7,21,-6,-16,11,20,-1,-5,-23,-17
-17,-24,-7,20,-5,-16,12,21,0,-5,-22,-16
-18,-26,-8,22,-5,-17,10,22,0,-5,-21,-16
-17,-26,-9,21,-4,-18,10,22,1,-4,-21,-15
-16,-26,-10,21,-3,-18,11,24,2,-4,-20,-15
-16,-26,-10,21,-3,-18,12,25,3,-3,-20,-14
-17,-26,-9,21,-4,-18,13,25,4,-4,-19,-14
-17,-27,-10,22,-4,-19,13,26,5,-4,-19,-14
-15,-25,-10,20,-3,-18,14,27,6,-3,-18,-13
-15,-24,-9,19,-3,-17,15,28,7,-2,-18,-12
-13,-21,-8,17,-3,-15,16,30,8,0,-17,-11
-11,-17,-6,14,-3,-12,18,33,10,0,-16,-10
-9,-16,-7,12,-1,-12,18,35,11,0,-15,-10
-7,-17,-10,12,1,-14,16,35,11,0,-16,-10
-9,-19,-10,14,0,-15,16,36,11,0,-15,-9
-10,-18,-8,14,-1,-13,17,38,13,1,-13,-7
-11,-17,-6,14,-3,-12,18,39,15,2,-12,-6
-8,-14,-6,11,-1,-10,19,40,17,3,-12,-5
-7,-13,-6,10,-1,-10,19,41,18,4,-12,-5
-8,-14,-6,11,-1,-10,20,42,19,5,-11,-5
-8,-14,-6,11,-1,-10,20,44,20,5,-11,-5
-6,-12,-6,9,0,-9,22,46,21,6,-10,-3
-8,-14,-6,11,-1,-10,23,48,22,7,-9,-3
-11,-16,-5,13,-3,-11,23,49,22,7,-8,-2
-13,-18,-5,15,-4,-12,24,51,25,9,-7,-1
-13,-19,-6,16,-4,-13,24,54,27,11,-6,0
-12,-18,-6,15,-3,-12,24,56,29,13,-6,0
-13,-18,-5,15,-4,-12,24,58,31,14,-6,0
-12,-16,-4,14,-4,-10,24,61,32,14,-5,0
-8,-11,-3,9,-3,-7,26,64,35,16,-3,2
-6,-10,-4,8,-1,-7,27,66,37,17,-3,4
-7,-11,-4,9,-2,-8,28,68,39,17,-2,3
-8,-12,-4,10,-2,-8,29,70,40,18,-1,3
-8,-12,-4,10,-2,-8,30,72,42,19,0,3
-7,-11,-4,9,-2,-8,32,75,43,20,1,4
-6,-10,-4,8,-1,-7,32,77,46,22,2,5
-6,-9,-3,7,-2,-6,33,80,48,23,4,7
-7,-9,-2,8,-3,-6,33,82,50,25,4,8
-8,-8,0,8,-4,-4,34,84,53,26,5,8
-6,-7,-1,6,-3,-4,35,87,55,27,4,9
-5,-5,0,5,-3,-3,35,89,57,28,5,9
-4,-4,0,4,-2,-2,36,93,60,28,6,9
0,0,0,0,0,0,38,97,63,30,8,10
4,3,-1,-3,3,1,40,101,67,32,10,12
5,4,-1,-4,3,2,42,105,71,35,12,15
6,6,0,-6,3,3,44,108,75,38,14,17
4,4,0,-4,2,2,42,109,77,40,16,18
-1,0,1,0,-1,0,39,109,78,40,16,17
-5,-3,2,4,-4,-1,38,111,80,42,17,17
-6,-3,3,4,-5,0,38,113,82,44,19,19
-5,-1,4,3,-5,1,39,115,86,47,22,21
-2,2,4,0,-3,3,40,117,89,49,24,23
-1,4,5,-1,-3,4,41,119,92,51,25,25
-2,3,5,0,-3,4,41,121,95,52,26,26
-4,2,6,1,-5,4,41,123,97,54,26,26
-5,2,7,1,-6,4,41,125,99,55,27,27
-3,4,7,0,-5,5,42,127,101,57,29,28
-3,4,7,0,-5,5,42,129,103,59,31,29
-4,3,7,0,-5,5,41,130,105,60,32,29
-3,4,7,0,-5,5,41,131,107,62,33,30
0,8,8,-4,-4,8,42,133,109,65,35,31
3,10,7,-6,-2,9,42,134,111,66,37,33
4,10,6,-7,-1,8,41,134,112,67,38,33
3,11,8,-7,-2,10,40,135,113,68,38,34
4,11,7,-7,-1,9,40,135,114,69,38,36
8,15,7,-11,1,11,41,136,116,71,40,38
10,16,6,-13,2,11,42,136,116,72,41,40
9,15,6,-12,2,11,41,134,115,72,40,40
8,15,7,-11,1,11,41,133,115,72,40,40
6,17,11,-11,-2,14,39,131,114,72,40,41
5,16,11,-10,-3,14,37,128,112,71,40,41
3,14,11,-8,-4,13,34,124,110,69,38,40
-1,10,11,-4,-6,10,30,119,107,66,37,37
-3,8,11,-2,-7,9,27,115,104,64,36,37
-4,7,11,-1,-7,9,24,110,101,63,35,36
-3,9,12,-3,-7,10,23,106,99,62,35,35
0,11,11,-5,-5,11,21,102,96,61,34,36
1,12,11,-6,-5,12,19,97,92,60,35,36
0,11,11,-5,-5,11,17,91,87,58,34,35
-2,10,12,-4,-7,11,15,85,82,56,32,34
-3,10,13,-3,-8,11,13,80,77,54,31,33
-1,13,14,-6,-7,13,12,76,74,52,31,33
0,15,15,-7,-7,15,9,71,70,50,31,33
4,17,13,-10,-4,15,7,65,66,48,30,32
7,19,12,-13,-2,16,6,60,62,46,29,31
7,18,11,-12,-2,15,4,54,56,43,27,30
4,14,10,-9,-3,12,2,48,49,39,23,29
2,10,8,-6,-3,9,1,43,44,36,21,27
1,9,8,-5,-3,9,1,39,38,33,19,25
0,8,8,-4,-4,8,-1,34,33,29,16,23
-2,6,8,-2,-5,7,-3,28,27,26,13,20
-4,5,9,0,-6,7,-5,24,22,22,12,18
-3,5,8,-1,-5,6,-6,20,19,20,11,17
-2,4,6,-1,-4,5,-7,17,16,17,9,16
-1,3,4,-1,-2,3,-8,15,12,14,7,14
-1,1,2,0,-1,1,-10,11,9,11,4,13
-3,-2,1,2,-2,-1,-11,8,5,8,2,11
-5,-4,1,4,-3,-2,-12,5,2,5,0,9
-7,-6,1,6,-4,-3,-14,2,-1,4,-1,7
-8,-7,1,7,-5,-3,-14,1,-4,3,-3,6
-9,-8,1,8,-5,-4,-14,0,-7,0,-5,4
-11,-9,2,10,-7,-4,-14,-2,-9,0,-7,2
-11,-9,2,10,-7,-4,-14,-5,-10,-2,-8,1
-13,-11,2,12,-8,-5,-15,-7,-13,-5,-9,0
-13,-15,-2,14,-6,-9,-17,-10,-15,-7,-10,-1
-15,-19,-4,17,-6,-12,-18,-11,-16,-8,-11,-2
-17,-21,-4,19,-7,-13,-18,-11,-17,-8,-11,-2
-16,-21,-5,18,-6,-13,-17,-12,-18,-8,-12,-3
-13,-19,-6,16,-4,-13,-16,-13,-18,-8,-13,-3
-11,-16,-5,13,-3,-11,-16,-14,-19,-9,-14,-4
-9,-14,-5,11,-2,-10,-16,-14,-18,-9,-14,-4
-6,-12,-6,9,0,-9,-16,-13,-18,-9,-13,-4
-7,-14,-7,10,0,-11,-17,-15,-19,-11,-14,-5
-9,-16,-7,12,-1,-12,-17,-16,-21,-13,-15,-5
-10,-18,-8,14,-1,-13,-17,-17,-22,-15,-16,-6
-9,-17,-8,13,-1,-13,-15,-15,-22,-14,-14,-5
-6,-13,-7,9,0,-10,-13,-14,-21,-12,-13,-5
-9,-16,-7,12,-1,-12,-13,-15,-22,-13,-15,-8
-12,-19,-7,15,-3,-13,-15,-17,-23,-14,-17,-10
-15,-21,-6,18,-5,-14,-15,-17,-24,-15,-17,-12
-18,-25,-7,21,-6,-16,-17,-18,-25,-17,-18,-14
-23,-30,-7,26,-8,-19,-19,-19,-27,-19,-19,-15
-25,-32,-7,28,-9,-20,-20,-20,-28,-21,-20,-16
-25,-33,-8,29,-9,-21,-20,-20,-29,-22,-21,-16
-23,-31,-8,27,-8,-20,-20,-20,-31,-23,-22,-17
-19,-28,-9,23,-5,-19,-18,-20,-31,-23,-23,-17
-18,-26,-8,22,-5,-17,-17,-20,-31,-22,-23,-18
