LabelType,Lead,StartX,StartY,EndX,EndY,Author,CreateDate
P0,II,18,0,78,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,432,0,492,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,841,0,901,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,1250,0,1310,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,1665,0,1725,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,2077,0,2137,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,2486,0,2546,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,2894,0,2954,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,3308,0,3368,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,3720,0,3780,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,4129,0,4189,0,SYSTEM,2025-02-28 7:00:15 PM
P0,II,4536,0,4596,0,SYSTEM,2025-02-28 7:00:15 PM
