TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-3,1,-6,1,-3,1,4,1,0,1,-5,1,2,1,-17,1,-14,1,-16,1,-20,1,-12,1
2,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-14,1,-17,1,-20,1,-13,1
3,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-16,1,-14,1,-17,1,-20,1,-13,1
4,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-16,1,-14,1,-16,1,-20,1,-13,1
5,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-16,1,-15,1,-16,1,-20,1,-14,1
6,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-15,1,-15,1,-16,1,-20,1,-14,1
7,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-15,1,-15,1,-16,1,-20,1,-13,1
8,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-15,1,-15,1,-16,1,-20,1,-13,1
9,-3,1,-6,1,-3,1,4,1,0,1,-5,1,2,1,-15,1,-16,1,-16,1,-20,1,-14,1
10,-3,1,-6,1,-3,1,4,1,0,1,-5,1,2,1,-16,1,-16,1,-17,1,-20,1,-14,1
11,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-16,1,-15,1,-17,1,-21,1,-13,1
12,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-16,1,-16,1,-17,1,-21,1,-13,1
13,-3,1,-5,1,-2,1,4,1,-1,1,-4,1,3,1,-17,1,-16,1,-16,1,-21,1,-13,1
14,-3,1,-5,1,-2,1,4,1,-1,1,-4,1,3,1,-17,1,-16,1,-16,1,-21,1,-14,1
15,-3,1,-5,1,-2,1,4,1,-1,1,-4,1,3,1,-17,1,-17,1,-16,1,-21,1,-14,1
16,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-15,1
17,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-14,1
18,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-14,1
19,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-14,1
20,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-15,1
21,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-15,1
22,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-15,1
23,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-17,1,-15,1,-21,1,-16,1
24,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-17,1,-16,1,-15,1,-20,1,-16,1
25,-3,1,-6,1,-3,1,4,1,0,1,-5,1,3,1,-18,1,-16,1,-15,1,-20,1,-15,1
26,-4,1,-6,1,-2,1,5,1,-1,1,-4,1,3,1,-18,1,-16,1,-15,1,-20,1,-16,1
27,-4,1,-6,1,-2,1,5,1,-1,1,-4,1,3,1,-17,1,-16,1,-16,1,-20,1,-16,1
28,-3,1,-7,1,-4,1,5,1,0,1,-6,1,3,1,-17,1,-16,1,-16,1,-20,1,-16,1
29,-3,1,-7,1,-4,1,5,1,0,1,-6,1,3,1,-16,1,-16,1,-16,1,-20,1,-16,1
30,-3,1,-7,1,-4,1,5,1,0,1,-6,1,3,1,-16,1,-16,1,-16,1,-20,1,-16,1
31,-3,1,-7,1,-4,1,5,1,0,1,-6,1,3,1,-16,1,-16,1,-16,1,-20,1,-16,1
32,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-16,1,-16,1,-16,1,-20,1,-16,1
33,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-16,1,-16,1,-16,1,-21,1,-16,1
34,-4,1,-8,1,-4,1,6,1,0,1,-6,1,3,1,-17,1,-16,1,-16,1,-21,1,-16,1
35,-4,1,-8,1,-4,1,6,1,0,1,-6,1,3,1,-17,1,-16,1,-16,1,-20,1,-17,1
36,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,3,1,-17,1,-16,1,-16,1,-20,1,-17,1
37,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,3,1,-18,1,-16,1,-16,1,-20,1,-17,1
38,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,3,1,-18,1,-16,1,-16,1,-20,1,-17,1
39,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,3,1,-19,1,-16,1,-16,1,-20,1,-16,1
40,-4,1,-7,1,-3,1,5,1,-1,1,-5,1,3,1,-19,1,-16,1,-15,1,-20,1,-17,1
41,-4,1,-8,1,-4,1,6,1,0,1,-6,1,3,1,-19,1,-16,1,-16,1,-19,1,-17,1
42,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-16,1,-16,1,-19,1,-17,1
43,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-16,1,-16,1,-19,1,-17,1
44,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-16,1,-16,1,-18,1,-17,1
45,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-16,1,-16,1,-19,1,-17,1
46,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-16,1,-16,1,-20,1,-18,1
47,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-16,1,-16,1,-19,1,-18,1
48,-3,1,-8,1,-5,1,5,1,1,1,-7,1,3,1,-18,1,-15,1,-16,1,-19,1,-18,1
49,-3,1,-7,1,-4,1,5,1,0,1,-6,1,3,1,-18,1,-15,1,-16,1,-19,1,-18,1
50,-2,1,-6,1,-4,1,4,1,1,1,-5,1,3,1,-18,1,-15,1,-16,1,-19,1,-17,1
51,-2,1,-6,1,-4,1,4,1,1,1,-5,1,3,1,-18,1,-15,1,-16,1,-20,1,-17,1
