TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-22,1,-24,1,-2,1,23,1,-10,1,-13,1,4,1,0,1,-23,1,-30,1,7,1,62,1
2,-23,1,-27,1,-4,1,25,1,-10,1,-16,1,5,1,-8,1,-23,1,-30,1,0,1,51,1
3,-24,1,-29,1,-5,1,26,1,-10,1,-17,1,6,1,-14,1,-24,1,-31,1,-11,1,28,1
4,-25,1,-30,1,-5,1,27,1,-10,1,-18,1,6,1,-17,1,-26,1,-32,1,-17,1,15,1
5,-26,1,-32,1,-6,1,29,1,-10,1,-19,1,4,1,-13,1,-28,1,-34,1,-12,1,29,1
6,-27,1,-33,1,-6,1,30,1,-11,1,-20,1,4,1,-10,1,-30,1,-35,1,-1,1,57,1
7,-28,1,-33,1,-5,1,30,1,-12,1,-19,1,6,1,-14,1,-29,1,-35,1,-10,1,44,1
8,-29,1,-34,1,-5,1,31,1,-12,1,-20,1,7,1,-14,1,-29,1,-36,1,-17,1,24,1
9,-31,1,-34,1,-3,1,32,1,-14,1,-19,1,8,1,-13,1,-29,1,-36,1,-21,1,13,1
10,-30,1,-33,1,-3,1,31,1,-14,1,-18,1,7,1,-7,1,-29,1,-37,1,-13,1,28,1
11,-30,1,-33,1,-3,1,31,1,-14,1,-18,1,7,1,-5,1,-30,1,-37,1,-1,1,57,1
12,-31,1,-35,1,-4,1,33,1,-14,1,-20,1,9,1,-14,1,-30,1,-38,1,-9,1,47,1
13,-32,1,-37,1,-5,1,34,1,-14,1,-21,1,10,1,-19,1,-31,1,-39,1,-18,1,28,1
14,-32,1,-38,1,-6,1,35,1,-13,1,-22,1,10,1,-22,1,-32,1,-40,1,-24,1,15,1
15,-33,1,-38,1,-5,1,35,1,-14,1,-22,1,8,1,-17,1,-34,1,-41,1,-16,1,29,1
16,-33,1,-37,1,-4,1,35,1,-15,1,-21,1,8,1,-13,1,-33,1,-41,1,-4,1,58,1
17,-34,1,-38,1,-4,1,36,1,-15,1,-21,1,10,1,-17,1,-33,1,-40,1,-10,1,47,1
18,-35,1,-38,1,-3,1,36,1,-16,1,-21,1,10,1,-15,1,-32,1,-40,1,-16,1,29,1
