TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,12,1,28,1,16,1,-20,1,-2,1,22,1,1,1,0,1,0,1,8,1,-21,1,-3,1
2,11,1,26,1,15,1,-18,1,-2,1,21,1,1,1,-1,1,0,1,6,1,-22,1,-4,1
3,11,1,26,1,15,1,-18,1,-2,1,21,1,0,1,-2,1,-1,1,6,1,-23,1,-4,1
4,12,1,26,1,14,1,-19,1,-1,1,20,1,1,1,-2,1,0,1,6,1,-22,1,-4,1
5,14,1,28,1,14,1,-21,1,0,1,21,1,2,1,-1,1,0,1,6,1,-22,1,-4,1
6,13,1,29,1,16,1,-21,1,-1,1,23,1,1,1,-1,1,0,1,6,1,-22,1,-4,1
7,12,1,28,1,16,1,-20,1,-2,1,22,1,1,1,-2,1,-1,1,5,1,-22,1,-5,1
8,12,1,27,1,15,1,-19,1,-1,1,21,1,1,1,-2,1,-2,1,4,1,-23,1,-6,1
9,12,1,27,1,15,1,-19,1,-1,1,21,1,0,1,-2,1,-2,1,4,1,-23,1,-7,1
10,13,1,28,1,15,1,-20,1,-1,1,22,1,1,1,-2,1,-2,1,4,1,-23,1,-6,1
11,14,1,29,1,15,1,-21,1,0,1,22,1,1,1,-2,1,-2,1,2,1,-23,1,-6,1
12,13,1,29,1,16,1,-21,1,-1,1,23,1,1,1,-2,1,-2,1,2,1,-22,1,-6,1
13,10,1,28,1,18,1,-19,1,-4,1,23,1,2,1,-2,1,-1,1,2,1,-23,1,-5,1
14,11,1,29,1,18,1,-20,1,-3,1,24,1,2,1,-1,1,0,1,2,1,-22,1,-5,1
15,12,1,28,1,16,1,-20,1,-2,1,22,1,2,1,-1,1,0,1,3,1,-22,1,-6,1
16,9,1,26,1,17,1,-17,1,-4,1,22,1,1,1,-3,1,-1,1,2,1,-23,1,-7,1
17,8,1,24,1,16,1,-16,1,-4,1,20,1,0,1,-3,1,-1,1,1,1,-24,1,-8,1
18,10,1,27,1,17,1,-18,1,-3,1,22,1,0,1,-2,1,0,1,1,1,-23,1,-7,1
19,14,1,31,1,17,1,-22,1,-1,1,24,1,1,1,-1,1,0,1,2,1,-23,1,-7,1
20,14,1,31,1,17,1,-22,1,-1,1,24,1,0,1,-2,1,-1,1,0,1,-24,1,-7,1
21,11,1,29,1,18,1,-20,1,-3,1,24,1,-1,1,-2,1,-2,1,-1,1,-25,1,-8,1
22,9,1,29,1,20,1,-19,1,-5,1,25,1,-2,1,-3,1,-2,1,-2,1,-25,1,-8,1
23,10,1,28,1,18,1,-19,1,-4,1,23,1,-2,1,-3,1,-2,1,-1,1,-25,1,-8,1
24,11,1,29,1,18,1,-20,1,-3,1,24,1,-1,1,-3,1,-1,1,-1,1,-24,1,-8,1
25,11,1,29,1,18,1,-20,1,-3,1,24,1,-1,1,-2,1,-1,1,-1,1,-23,1,-8,1
26,8,1,25,1,17,1,-16,1,-4,1,21,1,-3,1,-4,1,-2,1,-2,1,-24,1,-10,1
27,9,1,25,1,16,1,-17,1,-3,1,21,1,-3,1,-4,1,-2,1,-2,1,-24,1,-10,1
28,7,1,23,1,16,1,-15,1,-4,1,20,1,-3,1,-4,1,-2,1,-2,1,-24,1,-11,1
29,5,1,21,1,16,1,-13,1,-5,1,19,1,-3,1,-4,1,-2,1,-3,1,-25,1,-12,1
30,8,1,22,1,14,1,-15,1,-3,1,18,1,-2,1,-4,1,-2,1,-4,1,-26,1,-12,1
31,11,1,25,1,14,1,-18,1,-1,1,20,1,-1,1,-3,1,-1,1,-3,1,-26,1,-12,1
32,11,1,26,1,15,1,-18,1,-2,1,21,1,-1,1,-3,1,-1,1,-2,1,-26,1,-11,1
33,11,1,27,1,16,1,-19,1,-2,1,22,1,0,1,-3,1,-1,1,-2,1,-26,1,-11,1
34,11,1,26,1,15,1,-18,1,-2,1,21,1,0,1,-3,1,-1,1,-1,1,-26,1,-10,1
35,11,1,27,1,16,1,-19,1,-2,1,22,1,0,1,-3,1,-1,1,-1,1,-25,1,-9,1
36,7,1,24,1,17,1,-15,1,-5,1,21,1,-1,1,-3,1,-2,1,-1,1,-25,1,-10,1
37,6,1,22,1,16,1,-14,1,-5,1,19,1,-1,1,-4,1,-2,1,-2,1,-25,1,-10,1
38,6,1,21,1,15,1,-13,1,-4,1,18,1,-2,1,-4,1,-2,1,-3,1,-25,1,-11,1
39,7,1,21,1,14,1,-14,1,-3,1,18,1,-1,1,-3,1,-2,1,-4,1,-25,1,-11,1
40,7,1,21,1,14,1,-14,1,-3,1,18,1,-1,1,-3,1,-2,1,-4,1,-26,1,-12,1
41,8,1,22,1,14,1,-15,1,-3,1,18,1,-1,1,-2,1,-1,1,-4,1,-26,1,-12,1
42,9,1,24,1,15,1,-16,1,-3,1,20,1,-1,1,-2,1,-1,1,-4,1,-25,1,-12,1
43,9,1,25,1,16,1,-17,1,-3,1,21,1,0,1,-2,1,-1,1,-4,1,-25,1,-12,1
44,9,1,25,1,16,1,-17,1,-3,1,21,1,-1,1,-3,1,-2,1,-5,1,-25,1,-12,1
45,8,1,25,1,17,1,-16,1,-4,1,21,1,-1,1,-3,1,-2,1,-5,1,-25,1,-13,1
46,9,1,26,1,17,1,-17,1,-4,1,22,1,0,1,-3,1,-2,1,-4,1,-24,1,-12,1
47,10,1,27,1,17,1,-18,1,-3,1,22,1,0,1,-3,1,-2,1,-4,1,-24,1,-12,1
48,10,1,27,1,17,1,-18,1,-3,1,22,1,0,1,-4,1,-1,1,-4,1,-24,1,-12,1
49,10,1,27,1,17,1,-18,1,-3,1,22,1,1,1,-3,1,-1,1,-4,1,-23,1,-11,1
50,11,1,28,1,17,1,-19,1,-3,1,23,1,2,1,-3,1,0,1,-4,1,-23,1,-11,1
51,10,1,28,1,18,1,-19,1,-4,1,23,1,2,1,-2,1,0,1,-4,1,-24,1,-11,1
52,9,1,28,1,19,1,-18,1,-5,1,24,1,3,1,-2,1,0,1,-5,1,-23,1,-10,1
53,8,1,28,1,20,1,-18,1,-6,1,24,1,4,1,-1,1,1,1,-4,1,-23,1,-10,1
54,8,1,29,1,21,1,-18,1,-6,1,25,1,5,1,-1,1,2,1,-4,1,-23,1,-10,1
55,8,1,30,1,22,1,-19,1,-7,1,26,1,6,1,0,1,3,1,-3,1,-22,1,-10,1
56,8,1,31,1,23,1,-19,1,-7,1,27,1,8,1,0,1,4,1,-2,1,-22,1,-10,1
57,8,1,30,1,22,1,-19,1,-7,1,26,1,8,1,1,1,5,1,-2,1,-22,1,-10,1
58,8,1,30,1,22,1,-19,1,-7,1,26,1,8,1,1,1,4,1,-2,1,-22,1,-10,1
59,10,1,32,1,22,1,-21,1,-6,1,27,1,9,1,2,1,5,1,-2,1,-21,1,-10,1
60,9,1,33,1,24,1,-21,1,-7,1,29,1,9,1,3,1,6,1,-2,1,-22,1,-10,1
61,7,1,33,1,26,1,-20,1,-9,1,30,1,10,1,4,1,7,1,-1,1,-20,1,-9,1
62,6,1,33,1,27,1,-19,1,-10,1,30,1,11,1,5,1,7,1,-1,1,-20,1,-8,1
63,7,1,33,1,26,1,-20,1,-9,1,30,1,11,1,5,1,7,1,0,1,-20,1,-8,1
64,10,1,34,1,24,1,-22,1,-7,1,29,1,12,1,5,1,8,1,0,1,-19,1,-7,1
65,9,1,33,1,24,1,-21,1,-7,1,29,1,11,1,5,1,8,1,-1,1,-18,1,-8,1
66,9,1,33,1,24,1,-21,1,-7,1,29,1,11,1,4,1,8,1,0,1,-17,1,-7,1
67,10,1,33,1,23,1,-21,1,-6,1,28,1,10,1,4,1,8,1,0,1,-16,1,-7,1
68,10,1,33,1,23,1,-21,1,-6,1,28,1,9,1,5,1,8,1,0,1,-15,1,-7,1
69,10,1,33,1,23,1,-21,1,-6,1,28,1,9,1,5,1,7,1,0,1,-15,1,-8,1
70,11,1,34,1,23,1,-22,1,-6,1,29,1,8,1,4,1,7,1,0,1,-15,1,-8,1
71,11,1,36,1,25,1,-23,1,-7,1,31,1,7,1,4,1,7,1,0,1,-15,1,-8,1
72,11,1,36,1,25,1,-23,1,-7,1,31,1,5,1,4,1,7,1,0,1,-15,1,-8,1
